event_key,year,round,event_name,event_format,rehearsal_source,field_size,roster_source,target_result_used_for_roster,forecast_sha256,target_read_after_forecast_frozen,training_event_count,baseline_qualifying_mae,baseline_qualifying_kendall,baseline_qualifying_top3_overlap,Q1_fixed_rank_blend_mae,Q1_fixed_rank_blend_kendall,Q1_fixed_rank_blend_top3_overlap,Q2_ridge_rank_residual_mae,Q2_ridge_rank_residual_kendall,Q2_ridge_rank_residual_top3_overlap,lap_scored_rows,lap_forecast_rows,lap_target_missing_rows,lap_raw_rehearsal_missing_rows,wet_rehearsal_fraction,clean_lap_count_median,baseline_best_lap_mae,L1_fractional_source_shift_mae,L2_huber_context_residual_mae
202201,2022,1,Bahrain Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,c46cbf4556632ad040c041ea700dd3ac0a942c12b7b53e4a05b2a2fafa861262,True,0,3.4,0.5263157894736842,0.6666666666666666,3.1,0.5789473684210527,0.6666666666666666,3.4,0.5263157894736842,0.6666666666666666,19,20,0,1,0.0,9.0,2.0101052631578944,2.0101052631578944,2.0101052631578944
202202,2022,2,Saudi Arabian Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,25fdff61e17024618f82701545a02a04e66061d1f0515bddbf761aca04f0c81b,True,1,2.7,0.5894736842105264,0.6666666666666666,2.6,0.6421052631578947,0.6666666666666666,2.7,0.5894736842105264,0.6666666666666666,19,20,1,0,0.0,10.0,0.8920222470985387,0.820611078112578,0.8920222470985387
202203,2022,3,Australian Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,9e9c7147aa45d9ccf74b8db734f3b329ffeef3c61e3a0b4ec6081770563614e9,True,2,2.3,0.7052631578947369,0.6666666666666666,2.0,0.7578947368421053,0.6666666666666666,2.3,0.7052631578947369,0.6666666666666666,18,20,1,1,0.0,7.0,1.1622064576248547,0.8677815456609821,1.1622064576248547
202205,2022,5,Miami Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,0d3bdabc55dd2ef23b18f8293024272ec9dd323b07e672b067ffbd325eac52c9,True,3,5.5,0.22105263157894736,0.6666666666666666,4.9,0.2736842105263158,0.6666666666666666,5.5,0.22105263157894736,0.6666666666666666,19,20,1,1,0.0,12.0,0.6186140352243721,0.6152734800471679,0.6186140352243721
202206,2022,6,Spanish Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,56442fc8d7422a4328460ac8a15ebb7decf27985cd2f9f3f93e53fa45a88ebba,True,4,2.0,0.7473684210526316,0.6666666666666666,2.1,0.7473684210526316,0.6666666666666666,2.0,0.7473684210526316,0.6666666666666666,19,20,0,1,0.0,8.5,1.0436842105263142,0.8942579024367265,1.0436842105263142
202207,2022,7,Monaco Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,c5efc9c65cf4a3cf33118cf7a8aad3a19a99e425197e1f57e1ae023d6e48aa93,True,5,2.5,0.6526315789473685,1.0,2.1,0.6947368421052632,1.0,2.5,0.6526315789473685,1.0,20,20,0,0,0.0,17.0,0.4373866666147386,0.4257375717710282,0.4373866666147386
202208,2022,8,Azerbaijan Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,9ee4e28c6640e7ca4f643e0249e449fa2db7feaccd64620978ec69dbc3a4dfe8,True,6,2.6,0.6421052631578947,1.0,2.2,0.6947368421052632,1.0,2.6,0.6421052631578947,1.0,20,20,0,0,0.0,9.0,0.5663266667705216,0.562299999999999,0.5663266667705216
202209,2022,9,Canadian Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,025469f1b18f56942bdd2d4e6928608ef92e254a74f0e08e93fefe827ea6e3e4,True,7,6.2,0.052631578947368425,0.3333333333333333,5.9,0.09473684210526316,0.3333333333333333,6.2,0.052631578947368425,0.3333333333333333,19,20,0,1,0.95,9.5,6.984431579193346,6.959884804625987,6.984431579193346
202210,2022,10,British Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,b8d893c419ca222cc0c2dfa00888fcc5244f89ea57813a282f65934712661c1c,True,8,3.7,0.5157894736842106,0.6666666666666666,3.5,0.5263157894736842,0.6666666666666666,3.7,0.5157894736842106,0.6666666666666666,20,20,0,0,0.0,12.0,13.278035412019744,13.159059701325187,13.278035412019744
202212,2022,12,French Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,dabf3e385ef43bb70a5e8786f8f0ccd07e60e7ec180d67f57cb2d1893d34c459,True,9,2.9,0.5894736842105264,0.6666666666666666,2.7,0.6421052631578947,0.6666666666666666,2.9,0.5894736842105264,0.6666666666666666,20,20,0,0,0.0,9.0,0.44917333322947783,0.4570589190740115,0.44917333322947783
202213,2022,13,Hungarian Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,78511cf21c668d73f3d18f64abb1bdf0f45ccf6080554fe2869883a1425e9dab,True,10,5.5,0.16842105263157894,0.3333333333333333,4.5,0.3473684210526316,0.6666666666666666,5.5,0.16842105263157894,0.3333333333333333,20,20,0,0,1.0,8.0,24.975533333852617,24.80125045830315,24.975533333852617
202214,2022,14,Belgian Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,17e6d864a04d9339733e3ad4c260e42369c527e7aeedbd4256206b7d5f272cc1,True,11,3.2,0.5789473684210527,1.0,2.2,0.6736842105263158,1.0,3.2,0.5789473684210527,1.0,20,20,0,0,0.0,9.5,0.7867099998442129,0.8605582067466756,0.7867099998442129
202215,2022,15,Dutch Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,83037e0e7e8adf9a53853cee6550bd965b80a795196b4bb598f77f057ac1b698,True,12,3.1,0.5578947368421052,0.6666666666666666,3.0,0.5894736842105264,0.6666666666666666,3.2,0.5894736842105264,0.6666666666666666,20,20,0,0,0.0,12.0,0.38629000015578685,0.4919835328546462,0.5028154591043041
202216,2022,16,Italian Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,fa8be9aa9f36a06c4a4bd6db8a370738d032a0b2227d461a73d39c8632099313,True,13,2.5,0.6631578947368422,0.6666666666666666,2.0,0.7473684210526316,1.0,1.9,0.768421052631579,1.0,20,20,0,0,0.0,12.0,0.4720933329179083,0.3968108160716092,0.22583449626532898
202217,2022,17,Singapore Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,5f8d68cf872d8bf72d96993b03351ea2d035ab2e438f04a06f19637ee9b605fe,True,14,4.2,0.39999999999999997,0.3333333333333333,4.0,0.4631578947368421,0.3333333333333333,3.7,0.5473684210526316,0.3333333333333333,20,20,0,0,1.0,7.5,6.723133333852618,6.348313018071057,5.513923657275108
202218,2022,18,Japanese Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,44a2d5e1ee1c90da386bb34dcd4dee863ef1198d0749437096d0403dc67d8ad2,True,15,2.5,0.6631578947368422,1.0,2.4,0.6736842105263158,1.0,2.5,0.6736842105263158,0.6666666666666666,20,20,0,0,0.0,17.0,0.3373300003115702,0.32783338079987345,4.0589312175745755
202219,2022,19,United States Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,42223d28d600b3bcbcc6edc41dafaf46333f651aa220485c73bb27f9570d1940,True,16,2.3,0.6842105263157895,1.0,2.1,0.7157894736842105,1.0,2.0,0.7263157894736842,1.0,20,20,0,0,0.0,10.0,0.5174499999999995,0.5174499999999995,0.7057171090972645
202220,2022,20,Mexico City Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,4b189b46b09d46245ce612cf1be62e5b356e8c85eb63a0095a0f44bc562620ce,True,17,2.3,0.6947368421052632,1.0,2.3,0.6736842105263158,1.0,2.1,0.7052631578947369,1.0,20,20,0,0,0.0,14.0,0.6933143152915242,0.5175327099225988,0.5041495771983158
202222,2022,22,Abu Dhabi Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,76d8df1b1644727ad3f718f5f475c2b6c29542017010502461998d9fa172d67e,True,18,2.4,0.6736842105263158,0.6666666666666666,1.9,0.7368421052631579,0.6666666666666666,2.0,0.7368421052631579,0.6666666666666666,20,20,0,0,0.0,10.0,0.40266350849529287,0.32909490213684334,0.21862215858412243
202301,2023,1,Bahrain Grand Prix,unknown,practice_3,20,latest_target_aligned_pre_qualifying_session_only,False,8375032f0313c216ede43d1b828c8081f95cfa66a5ba64d088820feb3bdb1da7,True,19,3.1,0.5894736842105264,0.6666666666666666,2.7,0.6421052631578947,0.6666666666666666,2.5,0.6631578947368422,0.6666666666666666,20,20,0,0,0.0,7.0,2.0808500000000003,2.0808500000000003,0.8508330081545047
