Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
1151.209,NOR,1,1.0,,,23.812,62.768,1.0,MEDIUM,1.0,True,McLaren,126,,False,234.0,234.0,102.0,96.0,1014.076,,False,,False
1783.009,NOR,1,2.0,,40.404,20.046,,1.0,MEDIUM,2.0,True,McLaren,671,,False,249.0,291.0,,176.0,,1255.812,False,,False
2205.11,NOR,1,3.0,,43.538,22.121,,2.0,MEDIUM,3.0,False,McLaren,1,,False,232.0,276.0,,190.0,1783.009,1889.117,False,,False
2306.521,NOR,1,4.0,101.411,40.252,20.724,40.435,3.0,MEDIUM,4.0,False,McLaren,1,,False,237.0,263.0,293.0,189.0,2207.809,,False,,False
2391.427,NOR,1,5.0,84.906,29.609,18.321,36.976,3.0,MEDIUM,5.0,False,McLaren,1,,True,262.0,265.0,276.0,282.0,,,False,,False
2475.818,NOR,1,6.0,84.391,29.862,18.361,36.168,3.0,MEDIUM,6.0,False,McLaren,1,,True,264.0,289.0,286.0,233.0,,,False,,False
2578.242,NOR,1,7.0,,29.637,25.959,,3.0,MEDIUM,7.0,False,McLaren,1,,False,195.0,193.0,,260.0,,2578.242,False,,False
1048.745,VER,3,1.0,124.309,58.007,22.645,43.657,1.0,MEDIUM,1.0,True,Red Bull Racing,12,,False,234.0,254.0,274.0,146.0,929.473,,False,,False
1153.318,VER,3,2.0,104.573,31.865,18.298,54.41,1.0,MEDIUM,2.0,True,Red Bull Racing,26,,False,244.0,277.0,116.0,213.0,,,False,,False
1268.899,VER,3,3.0,115.581,46.488,23.017,46.076,1.0,MEDIUM,3.0,True,Red Bull Racing,671,,False,210.0,246.0,274.0,147.0,,,False,,False
1351.819,VER,3,4.0,82.92,29.225,17.878,35.817,1.0,MEDIUM,4.0,True,Red Bull Racing,1,,True,246.0,280.0,287.0,291.0,,,False,,False
1502.82,VER,3,5.0,,68.827,23.938,58.213,1.0,MEDIUM,5.0,True,Red Bull Racing,1,,False,216.0,205.0,275.0,207.0,,,False,,False
1585.125,VER,3,6.0,82.305,29.148,17.841,35.316,1.0,MEDIUM,6.0,True,Red Bull Racing,1,,True,246.0,282.0,284.0,282.0,,,False,,False
1714.466,VER,3,7.0,129.341,41.316,27.488,60.537,1.0,MEDIUM,7.0,True,Red Bull Racing,1,,True,189.0,128.0,276.0,215.0,,,False,,False
1812.436,VER,3,8.0,97.97,33.394,23.27,41.306,1.0,MEDIUM,8.0,True,Red Bull Racing,1,,True,207.0,235.0,278.0,294.0,,,False,,False
1894.743,VER,3,9.0,82.307,28.936,17.887,35.484,1.0,MEDIUM,9.0,True,Red Bull Racing,1,,True,244.0,279.0,284.0,293.0,,,False,,False
2074.771,VER,3,10.0,,82.771,27.15,70.169,1.0,MEDIUM,10.0,True,Red Bull Racing,1,,False,188.0,143.0,,210.0,,2046.567,False,,False
2180.351,VER,3,11.0,105.58,39.142,20.656,45.782,2.0,MEDIUM,11.0,False,Red Bull Racing,1,,False,240.0,260.0,278.0,168.0,2076.821,,False,,False
2261.754,VER,3,12.0,81.403,28.648,17.806,34.949,2.0,MEDIUM,12.0,False,Red Bull Racing,1,,True,245.0,280.0,287.0,296.0,,,False,,False
2870.34,VER,3,13.0,,34.656,21.523,,2.0,MEDIUM,13.0,False,Red Bull Racing,1,,False,234.0,252.0,,237.0,,2356.872,False,,False
2973.487,VER,3,14.0,103.147,39.606,22.331,41.21,3.0,SOFT,1.0,True,Red Bull Racing,1,,False,240.0,266.0,279.0,188.0,2872.307,,False,,False
3054.395,VER,3,15.0,80.908,28.394,17.739,34.775,3.0,SOFT,2.0,True,Red Bull Racing,1,,True,252.0,286.0,290.0,295.0,,,False,,False
3187.959,VER,3,16.0,133.564,42.072,26.164,65.328,3.0,SOFT,3.0,True,Red Bull Racing,1,,False,193.0,234.0,,196.0,,3168.807,False,,False
3299.193,VER,3,17.0,111.234,41.522,21.415,48.297,4.0,SOFT,4.0,False,Red Bull Racing,1,,False,228.0,265.0,279.0,145.0,3189.983,,False,,False
