Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
3.099,20.1,73.2,1015.0,False,33.2,34,0.6
63.102,20.2,72.9,1015.1,False,33.9,15,1.2
123.101,20.2,72.3,1015.0,False,33.3,75,1.3
183.107,20.1,73.2,1015.0,False,32.9,6,0.3
243.112,20.2,73.4,1015.0,False,32.4,95,1.7
303.133,20.2,73.0,1015.0,False,33.5,24,0.5
363.146,20.3,72.3,1015.0,False,33.8,1,0.7
423.176,20.3,72.3,1014.9,False,33.9,345,2.2
483.173,20.3,72.4,1014.9,False,33.8,57,1.2
543.204,20.4,72.2,1015.0,False,35.0,57,0.7
603.204,20.4,71.8,1014.9,False,34.6,118,1.5
663.22,20.4,71.2,1014.9,False,33.8,43,2.5
723.234,20.5,70.4,1014.8,False,34.0,109,2.2
783.23,20.5,70.8,1014.9,False,33.9,59,1.6
843.235,20.4,72.0,1014.8,False,35.0,91,1.5
903.234,20.4,72.5,1014.8,False,34.2,99,0.3
963.227,20.5,71.7,1014.9,False,33.9,92,2.2
1023.243,20.6,71.7,1014.8,False,33.5,58,1.8
1083.237,20.5,71.8,1014.8,False,34.7,2,1.4
1143.241,20.4,71.8,1014.7,False,33.6,69,1.7
1203.234,20.5,71.7,1014.7,False,33.7,86,0.8
1263.233,20.5,72.1,1014.7,False,33.6,16,1.5
1323.234,20.7,71.1,1014.8,False,33.7,348,3.6
1383.245,20.6,71.4,1014.7,False,34.5,329,1.5
1443.237,20.6,72.2,1014.7,False,34.7,127,1.1
1503.242,20.7,72.3,1014.8,False,34.4,100,2.1
1563.238,20.7,71.7,1014.7,False,34.8,59,0.6
1623.251,20.8,71.1,1014.7,False,34.8,104,2.0
1683.249,20.7,71.3,1014.7,False,34.7,71,2.2
1743.237,20.6,71.9,1014.7,False,35.1,92,2.6
1803.254,20.6,71.0,1014.6,False,34.4,75,2.3
1863.252,20.7,70.6,1014.6,False,34.5,108,1.0
1923.247,20.8,71.1,1014.6,False,33.7,87,3.2
1983.24,20.8,71.6,1014.5,False,34.5,24,1.9
2043.253,20.7,72.5,1014.6,False,34.6,69,2.2
2103.247,20.6,72.6,1014.5,False,34.4,100,3.1
2163.251,20.6,72.4,1014.6,False,35.0,91,1.7
2223.247,20.7,71.9,1014.5,False,34.8,85,2.9
2283.252,20.7,70.9,1014.5,False,34.5,71,1.7
2343.245,20.7,70.9,1014.6,False,34.5,79,1.4
2403.251,20.7,71.8,1014.6,False,34.7,69,2.7
2463.256,20.8,71.4,1014.6,False,35.2,26,1.5
2523.25,20.7,71.2,1014.6,False,35.0,72,2.1
2583.253,20.7,70.8,1014.5,False,34.9,71,1.3
2643.251,20.7,71.8,1014.5,False,35.2,328,0.5
2703.26,20.7,71.8,1014.4,False,35.6,82,2.5
2763.261,20.8,70.3,1014.4,False,35.1,104,2.0
2823.268,20.8,70.2,1014.5,False,35.3,87,1.7
2883.286,20.7,71.4,1014.4,False,35.7,92,2.2
2943.252,20.7,71.0,1014.3,False,35.6,107,2.7
3003.287,20.8,69.2,1014.3,False,35.4,347,2.7
3063.296,20.8,69.1,1014.3,False,35.5,118,0.5
3123.317,20.9,70.2,1014.3,False,35.2,73,2.2
3183.306,20.9,71.1,1014.3,False,36.4,78,0.8
3243.326,21.0,71.2,1014.3,False,36.3,106,1.7
3303.335,21.2,69.5,1014.3,False,35.2,82,1.6
3363.355,21.2,68.5,1014.3,False,35.1,84,2.4
3423.383,21.2,68.9,1014.3,False,36.4,79,1.5
3483.369,21.1,69.9,1014.3,False,36.6,0,0.0
3543.397,21.1,69.8,1014.3,False,36.7,12,1.1
3603.386,21.0,69.8,1014.3,False,36.3,345,2.5
3663.389,21.0,70.6,1014.2,False,36.7,59,0.6
3723.397,21.1,71.4,1014.3,False,36.4,323,0.3
3783.401,21.1,69.9,1014.3,False,36.7,16,0.7
3843.392,21.2,69.0,1014.3,False,37.3,20,0.9
3903.416,21.1,69.0,1014.1,False,37.0,92,1.9
3963.405,21.2,68.3,1014.1,False,36.9,91,2.3
4023.401,21.2,68.9,1014.1,False,36.9,316,1.1
4083.395,21.1,70.4,1014.1,False,36.9,330,0.6
4143.398,21.2,71.0,1014.1,False,37.6,336,1.8
4203.403,21.3,69.3,1014.0,False,36.9,107,2.2
4263.396,21.3,68.4,1014.1,False,37.0,73,2.6
4323.401,21.3,68.4,1014.0,False,37.2,119,1.3
4383.401,21.2,69.4,1014.0,False,37.5,86,1.0
4443.394,21.1,69.6,1014.0,False,36.9,107,2.5
4503.402,21.1,69.3,1014.0,False,37.6,306,1.4
4563.4,21.2,69.2,1014.0,False,37.4,1,2.6
4623.401,21.1,69.6,1014.0,False,37.3,325,2.7
4683.4,21.1,70.2,1014.0,False,38.0,358,1.1
4743.405,21.2,70.1,1014.0,False,38.0,359,1.6
4803.414,21.1,69.0,1013.9,False,37.9,71,1.9
4863.399,20.7,69.0,1013.9,False,37.9,71,1.9
