Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
1097.451,RUS,63,1.0,111.876,41.997,19.351,50.528,1.0,SOFT,1.0,True,Mercedes,1,,False,263.0,287.0,273.0,199.0,988.955,,False,,False
1177.291,RUS,63,2.0,79.84,27.99,17.599,34.251,1.0,SOFT,2.0,True,Mercedes,1,,True,265.0,278.0,294.0,292.0,,,False,,False
1298.86,RUS,63,3.0,121.569,40.873,22.025,58.671,1.0,SOFT,3.0,True,Mercedes,1,,False,222.0,283.0,,201.0,,1284.695,False,,False
1922.05,RUS,63,4.0,,46.779,22.489,,2.0,SOFT,4.0,False,Mercedes,125,,False,230.0,284.0,,129.0,1302.023,1418.517,False,,False
2032.363,RUS,63,5.0,110.313,52.39,19.564,38.359,3.0,SOFT,5.0,False,Mercedes,1,,False,246.0,284.0,279.0,136.0,1932.182,,False,,False
2125.609,RUS,63,6.0,93.246,31.116,23.1,39.03,3.0,SOFT,6.0,False,Mercedes,1,,True,267.0,281.0,274.0,248.0,,,False,,False
2205.116,RUS,63,7.0,79.507,27.908,17.413,34.186,3.0,SOFT,7.0,False,Mercedes,1,,True,266.0,282.0,301.0,296.0,,,False,,False
2891.335,RUS,63,8.0,,44.215,22.959,,3.0,SOFT,8.0,False,Mercedes,12,,False,204.0,281.0,,240.0,,2311.168,False,,False
3030.583,RUS,63,9.0,139.248,61.667,23.062,54.519,4.0,SOFT,1.0,True,Mercedes,1,,False,254.0,171.0,274.0,197.0,2916.384,,True,TRACK LIMITS AT TURN 9 LAP 10 ,False
3109.517,RUS,63,10.0,78.934,27.816,17.287,33.831,4.0,SOFT,2.0,True,Mercedes,1,,True,273.0,285.0,301.0,294.0,,,False,,False
3359.334,RUS,63,11.0,,33.193,20.833,,4.0,SOFT,3.0,True,Mercedes,1,,False,252.0,263.0,,231.0,,3204.879,False,,False
3467.988,RUS,63,12.0,108.654,48.833,20.916,38.905,5.0,SOFT,4.0,False,Mercedes,1,,False,250.0,282.0,274.0,134.0,3364.11,,False,,False
3546.975,RUS,63,13.0,78.987,27.662,17.426,33.899,5.0,SOFT,5.0,False,Mercedes,1,,True,268.0,280.0,297.0,294.0,,,False,,False
4352.018,RUS,63,14.0,,34.526,20.997,,5.0,SOFT,6.0,False,Mercedes,12,,False,249.0,279.0,,212.0,,3643.685,False,,False
4460.101,RUS,63,15.0,108.083,47.304,19.118,41.661,6.0,SOFT,1.0,True,Mercedes,1,,False,256.0,282.0,278.0,144.0,4356.744,,False,,False
4970.956,RUS,63,16.0,,27.522,,,6.0,SOFT,2.0,True,Mercedes,152,,False,269.0,,,297.0,,4557.248,False,,False
5075.583,RUS,63,17.0,,,21.85,44.759,7.0,SOFT,2.0,False,Mercedes,1,,False,162.0,251.0,276.0,181.0,4970.956,,False,,False
5154.667,RUS,63,18.0,79.084,27.674,17.488,33.922,7.0,SOFT,3.0,False,Mercedes,1,,True,269.0,274.0,298.0,293.0,,,False,,False
5321.689,RUS,63,19.0,,31.059,19.934,,7.0,SOFT,4.0,False,Mercedes,1,,False,257.0,282.0,,265.0,,5242.485,False,,False
5424.317,RUS,63,20.0,102.628,43.32,19.771,39.537,8.0,SOFT,1.0,True,Mercedes,1,,False,255.0,268.0,278.0,125.0,5326.192,,False,,False
5502.835,RUS,63,21.0,78.518,27.498,17.284,33.736,8.0,SOFT,2.0,True,Mercedes,1,,True,267.0,284.0,296.0,296.0,,,False,,False
5607.599,RUS,63,22.0,,33.644,23.366,,8.0,SOFT,3.0,True,Mercedes,1,,False,228.0,218.0,,236.0,,5607.599,False,,False
2089.014,ANT,12,1.0,119.979,57.486,20.671,41.822,1.0,SOFT,1.0,True,Mercedes,1,,False,240.0,272.0,264.0,180.0,1986.451,,False,,False
2169.134,ANT,12,2.0,80.12,28.214,17.61,34.296,1.0,SOFT,2.0,True,Mercedes,1,,True,264.0,273.0,292.0,279.0,,,False,,False
2277.628,ANT,12,3.0,108.494,35.026,24.129,49.339,1.0,SOFT,3.0,True,Mercedes,1,,True,207.0,234.0,263.0,259.0,,,False,,False
2357.917,ANT,12,4.0,80.289,28.414,17.745,34.13,1.0,SOFT,4.0,True,Mercedes,1,,True,261.0,273.0,292.0,282.0,,,False,,False
2882.851,ANT,12,5.0,,33.419,21.126,,1.0,SOFT,5.0,True,Mercedes,12,,False,236.0,256.0,,236.0,,2454.685,False,,False
3004.906,ANT,12,6.0,122.055,59.75,19.667,42.638,2.0,SOFT,1.0,True,Mercedes,1,,False,240.0,275.0,277.0,175.0,2899.626,,False,,False
3084.51,ANT,12,7.0,79.604,27.908,17.495,34.201,2.0,SOFT,2.0,True,Mercedes,1,,True,273.0,278.0,299.0,294.0,,,False,,False
3353.586,ANT,12,8.0,,36.062,23.975,,2.0,SOFT,3.0,True,Mercedes,1,,False,229.0,257.0,,285.0,,3189.374,False,,False
3455.793,ANT,12,9.0,102.207,42.908,19.645,39.654,3.0,SOFT,4.0,False,Mercedes,1,,False,246.0,281.0,274.0,157.0,3356.888,,False,,False
3535.228,ANT,12,10.0,79.435,28.002,17.497,33.936,3.0,SOFT,5.0,False,Mercedes,1,,True,279.0,285.0,292.0,286.0,,,False,,False
4347.734,ANT,12,11.0,,42.834,21.402,,3.0,SOFT,6.0,False,Mercedes,12,,False,229.0,272.0,,257.0,,3641.123,False,,False
4450.463,ANT,12,12.0,102.729,41.705,19.802,41.222,4.0,SOFT,1.0,True,Mercedes,1,,False,242.0,251.0,269.0,167.0,4350.463,,False,,False
4964.909,ANT,12,13.0,,27.637,,,4.0,SOFT,2.0,True,Mercedes,152,,False,275.0,,,290.0,,4548.952,False,,False
5063.288,ANT,12,14.0,,,20.849,40.285,5.0,SOFT,2.0,False,Mercedes,1,,False,241.0,248.0,270.0,193.0,4964.909,,False,,False
5295.643,ANT,12,15.0,,33.411,25.69,,5.0,SOFT,3.0,False,Mercedes,1,,False,244.0,276.0,,289.0,,5158.949,False,,False
5392.554,ANT,12,16.0,96.911,37.877,19.532,39.502,6.0,SOFT,1.0,True,Mercedes,1,,False,249.0,270.0,272.0,201.0,5298.391,,False,,False
5471.365,ANT,12,17.0,78.811,27.556,17.44,33.815,6.0,SOFT,2.0,True,Mercedes,1,,True,272.0,274.0,298.0,289.0,,,False,,False
5575.374,ANT,12,18.0,,33.233,24.05,,6.0,SOFT,3.0,True,Mercedes,1,,False,238.0,251.0,,252.0,,5575.374,False,,False
1144.324,HAD,6,1.0,108.799,41.25,19.672,47.877,1.0,SOFT,1.0,True,Red Bull Racing,1,,False,247.0,288.0,281.0,176.0,1037.791,,False,,False
1224.769,HAD,6,2.0,80.445,28.2,17.919,34.326,1.0,SOFT,2.0,True,Red Bull Racing,1,,True,284.0,268.0,310.0,301.0,,,False,,False
2121.885,HAD,6,3.0,,39.694,24.509,,1.0,SOFT,3.0,True,Red Bull Racing,125,,False,213.0,250.0,,251.0,,1330.492,False,,False
2242.651,HAD,6,4.0,120.766,49.159,19.801,51.806,2.0,SOFT,4.0,False,Red Bull Racing,1,,False,245.0,276.0,279.0,141.0,2126.576,,False,,False
2322.674,HAD,6,5.0,80.023,28.076,17.558,34.389,2.0,SOFT,5.0,False,Red Bull Racing,1,,True,261.0,280.0,303.0,302.0,,,False,,False
2963.364,HAD,6,6.0,,37.219,25.138,,2.0,SOFT,6.0,False,Red Bull Racing,12,,False,230.0,272.0,,192.0,,2425.25,False,,False
3071.627,HAD,6,7.0,108.263,40.601,19.895,47.767,3.0,SOFT,1.0,True,Red Bull Racing,1,,False,247.0,289.0,281.0,159.0,2965.48,,False,,False
3151.333,HAD,6,8.0,79.706,27.798,17.735,34.173,3.0,SOFT,2.0,True,Red Bull Racing,1,,True,288.0,270.0,307.0,302.0,,,False,,False
3499.056,HAD,6,9.0,,37.48,22.217,,3.0,SOFT,3.0,True,Red Bull Racing,1,,False,235.0,258.0,,236.0,,3251.729,False,,False
3609.073,HAD,6,10.0,110.017,43.03,21.74,45.247,4.0,SOFT,4.0,False,Red Bull Racing,1,,False,247.0,278.0,279.0,171.0,3503.729,,False,,False
3688.726,HAD,6,11.0,79.653,27.899,17.564,34.19,4.0,SOFT,5.0,False,Red Bull Racing,1,,True,268.0,279.0,305.0,301.0,,,False,,False
4458.213,HAD,6,12.0,,36.812,22.939,,4.0,SOFT,6.0,False,Red Bull Racing,12,,False,217.0,272.0,,296.0,,3789.133,False,,False
4975.722,HAD,6,13.0,,39.05,,,5.0,SOFT,1.0,True,Red Bull Racing,152,,False,250.0,,,185.0,4458.213,4569.889,False,,False
5081.542,HAD,6,14.0,,,22.547,43.443,6.0,SOFT,1.0,False,Red Bull Racing,1,,False,240.0,249.0,281.0,170.0,4975.722,,False,,False
5161.167,HAD,6,15.0,79.625,27.852,17.453,34.32,6.0,SOFT,2.0,False,Red Bull Racing,1,,True,261.0,280.0,304.0,302.0,,,False,,False
5361.826,HAD,6,16.0,,31.985,20.227,,6.0,SOFT,3.0,False,Red Bull Racing,1,,False,245.0,282.0,,259.0,,5250.891,False,,False
5470.706,HAD,6,17.0,108.88,47.558,22.152,39.17,7.0,SOFT,1.0,True,Red Bull Racing,1,,False,246.0,246.0,283.0,168.0,5369.582,,False,,False
5550.009,HAD,6,18.0,79.303,27.747,17.52,34.036,7.0,SOFT,2.0,True,Red Bull Racing,1,,True,260.0,277.0,304.0,305.0,,,False,,False
5659.934,HAD,6,19.0,,38.304,22.914,,7.0,SOFT,3.0,True,Red Bull Racing,1,,False,213.0,227.0,,262.0,,5659.934,False,,False
1105.305,LEC,16,1.0,111.48,43.936,20.576,46.968,1.0,MEDIUM,1.0,True,Ferrari,1,,False,237.0,272.0,281.0,141.0,997.794,,False,,False
1186.017,LEC,16,2.0,80.712,28.361,17.661,34.69,1.0,MEDIUM,2.0,True,Ferrari,1,,True,262.0,284.0,301.0,294.0,,,False,,False
1293.935,LEC,16,3.0,107.918,36.526,23.713,47.679,1.0,MEDIUM,3.0,True,Ferrari,1,,True,182.0,180.0,279.0,260.0,,,False,,False
1374.161,LEC,16,4.0,80.226,28.211,17.611,34.404,1.0,MEDIUM,4.0,True,Ferrari,1,,True,263.0,290.0,299.0,293.0,,,False,,False
1981.553,LEC,16,5.0,,,,,1.0,MEDIUM,5.0,True,Ferrari,125,,False,,,,245.0,,1492.486,False,,False
2094.935,LEC,16,6.0,113.382,51.732,20.232,41.418,2.0,MEDIUM,6.0,False,Ferrari,1,,False,246.0,268.0,281.0,154.0,1994.513,,False,,False
2808.678,LEC,16,7.0,,34.873,23.527,,2.0,MEDIUM,7.0,False,Ferrari,12,,False,127.0,250.0,,294.0,,2195.533,False,,False
2910.346,LEC,16,8.0,,93.719,20.816,38.328,3.0,SOFT,1.0,True,Ferrari,1,,False,242.0,265.0,283.0,97.0,2808.678,,False,,False
2990.434,LEC,16,9.0,80.088,28.049,17.687,34.352,3.0,SOFT,2.0,True,Ferrari,1,,True,272.0,278.0,300.0,294.0,,,False,,False
3097.079,LEC,16,10.0,106.645,36.817,26.393,43.435,3.0,SOFT,3.0,True,Ferrari,1,,True,195.0,221.0,307.0,263.0,,,False,,False
3193.543,LEC,16,11.0,96.464,31.125,23.424,41.915,3.0,SOFT,4.0,True,Ferrari,1,,True,248.0,201.0,280.0,274.0,,,False,,False
3273.839,LEC,16,12.0,80.296,28.069,17.625,34.602,3.0,SOFT,5.0,True,Ferrari,1,,True,263.0,280.0,296.0,294.0,,,False,,False
3480.216,LEC,16,13.0,,31.297,19.952,,3.0,SOFT,6.0,True,Ferrari,1,,False,251.0,274.0,,262.0,,3361.735,False,,False
3575.75,LEC,16,14.0,95.534,38.306,20.054,37.174,4.0,SOFT,1.0,True,Ferrari,1,,False,252.0,272.0,283.0,146.0,3482.51,,False,,False
3655.107,LEC,16,15.0,79.357,27.679,17.527,34.151,4.0,SOFT,2.0,True,Ferrari,1,,True,265.0,281.0,299.0,295.0,,,False,,False
4326.852,LEC,16,16.0,,32.339,20.298,,4.0,SOFT,3.0,True,Ferrari,12,,False,246.0,274.0,,266.0,,3746.898,False,,False
4444.729,LEC,16,17.0,117.877,54.408,21.224,42.245,5.0,SOFT,1.0,True,Ferrari,1,,False,242.0,247.0,286.0,153.0,4336.229,,False,,False
4980.695,LEC,16,18.0,,31.253,,,5.0,SOFT,2.0,True,Ferrari,152,,False,,,,253.0,,4551.658,False,,False
5097.832,LEC,16,19.0,117.137,50.027,21.373,45.737,6.0,SOFT,3.0,False,Ferrari,1,,False,236.0,242.0,279.0,187.0,4990.835,,False,,False
5178.076,LEC,16,20.0,80.244,28.225,17.64,34.379,6.0,SOFT,4.0,False,Ferrari,1,,True,264.0,286.0,298.0,291.0,,,False,,False
5359.882,LEC,16,21.0,,30.696,19.942,,6.0,SOFT,5.0,False,Ferrari,1,,False,251.0,274.0,,253.0,,5267.782,False,,False
5458.334,LEC,16,22.0,98.452,40.728,19.974,37.75,7.0,SOFT,1.0,True,Ferrari,1,,False,252.0,254.0,283.0,119.0,5364.254,,False,,False
5537.661,LEC,16,23.0,79.327,27.761,17.505,34.061,7.0,SOFT,2.0,True,Ferrari,1,,True,265.0,284.0,300.0,295.0,,,False,,False
976.665,PIA,81,1.0,121.546,55.995,20.95,44.601,1.0,SOFT,1.0,True,McLaren,1,,False,119.0,282.0,285.0,139.0,863.3,,False,,False
1057.217,PIA,81,2.0,80.552,28.413,17.592,34.547,1.0,SOFT,2.0,True,McLaren,1,,True,263.0,282.0,304.0,291.0,,,False,,False
1168.042,PIA,81,3.0,110.825,37.464,24.329,49.032,1.0,SOFT,3.0,True,McLaren,1,,True,202.0,218.0,180.0,208.0,,,False,,False
1273.342,PIA,81,4.0,105.3,40.219,22.767,42.314,1.0,SOFT,4.0,True,McLaren,1,,True,241.0,274.0,286.0,172.0,,,False,,False
1353.614,PIA,81,5.0,80.272,28.037,17.825,34.41,1.0,SOFT,5.0,True,McLaren,1,,True,262.0,268.0,297.0,294.0,,,False,,False
1926.464,PIA,81,6.0,,35.125,,,1.0,SOFT,6.0,True,McLaren,125,,False,208.0,,,207.0,,1464.908,False,,False
2030.254,PIA,81,7.0,,,20.406,38.361,2.0,SOFT,7.0,False,McLaren,1,,False,250.0,269.0,275.0,140.0,1926.464,,False,,False
2119.228,PIA,81,8.0,88.974,30.781,20.043,38.15,2.0,SOFT,8.0,False,McLaren,1,,True,259.0,274.0,285.0,273.0,,,False,,False
2198.892,PIA,81,9.0,79.664,27.947,17.684,34.033,2.0,SOFT,9.0,False,McLaren,1,,True,264.0,272.0,300.0,292.0,,,False,,False
2866.459,PIA,81,10.0,,36.822,21.22,,2.0,SOFT,10.0,False,McLaren,12,,False,213.0,275.0,,268.0,,2300.199,False,,False
2982.977,PIA,81,11.0,116.518,57.131,19.974,39.413,3.0,SOFT,1.0,True,McLaren,1,,False,261.0,274.0,274.0,133.0,2878.93,,False,,False
3087.727,PIA,81,12.0,104.75,31.529,19.824,53.397,3.0,SOFT,2.0,True,McLaren,1,,True,266.0,286.0,288.0,272.0,,,False,,False
3167.309,PIA,81,13.0,79.582,28.042,17.537,34.003,3.0,SOFT,3.0,True,McLaren,1,,True,262.0,281.0,306.0,297.0,,,False,,False
3368.456,PIA,81,14.0,,34.598,21.576,,3.0,SOFT,4.0,True,McLaren,1,,False,213.0,275.0,,195.0,,3262.693,False,,False
3475.123,PIA,81,15.0,106.667,45.759,20.092,40.816,4.0,SOFT,5.0,False,McLaren,1,,False,257.0,273.0,286.0,169.0,3373.188,,False,,False
3554.648,PIA,81,16.0,79.525,27.811,17.594,34.12,4.0,SOFT,6.0,False,McLaren,1,,True,261.0,272.0,306.0,291.0,,,False,,False
4305.332,PIA,81,17.0,,35.135,21.09,,4.0,SOFT,7.0,False,McLaren,12,,False,218.0,274.0,,245.0,,3649.889,False,,False
4404.016,PIA,81,18.0,,,20.205,39.33,5.0,SOFT,1.0,True,McLaren,1,,False,261.0,272.0,274.0,172.0,4305.332,,False,,False
4494.073,PIA,81,19.0,90.057,31.186,19.99,38.881,5.0,SOFT,2.0,True,McLaren,1,,True,262.0,273.0,286.0,278.0,,,False,,False
4981.175,PIA,81,20.0,,,,,5.0,SOFT,3.0,True,McLaren,152,,False,,,,,,4612.423,False,,False
5089.533,PIA,81,21.0,,,20.068,47.4,6.0,SOFT,1.0,False,McLaren,1,,False,252.0,275.0,285.0,176.0,4981.175,,False,,False
5169.855,PIA,81,22.0,80.322,28.196,17.565,34.561,6.0,SOFT,2.0,False,McLaren,1,,True,265.0,275.0,303.0,294.0,,,False,,False
5354.066,PIA,81,23.0,,31.041,20.45,,6.0,SOFT,3.0,False,McLaren,1,,False,253.0,274.0,,286.0,,5257.704,False,,False
5449.32,PIA,81,24.0,95.254,37.343,20.017,37.894,7.0,SOFT,1.0,True,McLaren,1,,False,256.0,270.0,285.0,171.0,5356.707,,False,,False
5528.7,PIA,81,25.0,79.38,27.737,17.655,33.988,7.0,SOFT,2.0,True,McLaren,1,,True,263.0,265.0,298.0,294.0,,,False,,False
969.95,NOR,1,1.0,126.258,61.485,20.141,44.632,1.0,SOFT,1.0,True,McLaren,1,,False,259.0,277.0,279.0,117.0,853.07,,False,,False
1051.182,NOR,1,2.0,81.232,28.774,17.849,34.609,1.0,SOFT,2.0,True,McLaren,1,,True,263.0,277.0,295.0,289.0,,,False,,False
1160.906,NOR,1,3.0,109.724,38.668,22.908,48.148,1.0,SOFT,3.0,True,McLaren,1,,True,211.0,244.0,279.0,240.0,,,False,,False
1258.39,NOR,1,4.0,97.484,33.785,20.231,43.468,1.0,SOFT,4.0,True,McLaren,1,,True,212.0,274.0,275.0,250.0,,,False,,False
1338.838,NOR,1,5.0,80.448,28.195,17.929,34.324,1.0,SOFT,5.0,True,McLaren,1,,True,271.0,260.0,301.0,288.0,,,False,,False
1907.118,NOR,1,6.0,,33.518,,,1.0,SOFT,6.0,True,McLaren,125,,False,218.0,,,250.0,,1444.642,False,,False
2005.536,NOR,1,7.0,,,20.382,37.64,2.0,SOFT,7.0,False,McLaren,1,,False,251.0,270.0,257.0,174.0,1907.118,,False,,False
2100.59,NOR,1,8.0,95.054,30.482,19.839,44.733,2.0,SOFT,8.0,False,McLaren,1,,True,257.0,274.0,281.0,243.0,,,False,,False
