Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
3836.437,NOR,1,1.0,96.458,,18.163,38.796,1.0,MEDIUM,1.0,True,McLaren,1,6.0,False,229.0,291.0,304.0,217.0,,,False,,False
3923.781,NOR,1,2.0,87.344,31.074,18.116,38.154,1.0,MEDIUM,2.0,True,McLaren,1,6.0,True,243.0,287.0,303.0,260.0,,,False,,False
4010.644,NOR,1,3.0,86.863,30.541,18.252,38.07,1.0,MEDIUM,3.0,True,McLaren,1,7.0,True,245.0,311.0,286.0,273.0,,,False,,False
4096.501,NOR,1,4.0,85.857,30.19,18.193,37.474,1.0,MEDIUM,4.0,True,McLaren,1,7.0,True,249.0,304.0,283.0,276.0,,,False,,False
4182.074,NOR,1,5.0,85.573,29.93,17.868,37.775,1.0,MEDIUM,5.0,True,McLaren,1,7.0,True,260.0,297.0,280.0,276.0,,,False,,False
4267.11,NOR,1,6.0,85.036,30.025,17.829,37.182,1.0,MEDIUM,6.0,True,McLaren,1,7.0,True,256.0,313.0,293.0,273.0,,,False,,False
4352.088,NOR,1,7.0,84.978,30.067,17.764,37.147,1.0,MEDIUM,7.0,True,McLaren,1,7.0,True,253.0,316.0,297.0,285.0,,,False,,False
4437.387,NOR,1,8.0,85.299,30.191,17.97,37.138,1.0,MEDIUM,8.0,True,McLaren,1,7.0,True,253.0,311.0,298.0,280.0,,,False,,False
4523.026,NOR,1,9.0,85.639,30.135,17.77,37.734,1.0,MEDIUM,9.0,True,McLaren,1,7.0,True,262.0,315.0,284.0,276.0,,,False,,False
4608.321,NOR,1,10.0,85.295,30.117,17.924,37.254,1.0,MEDIUM,10.0,True,McLaren,1,7.0,True,261.0,311.0,295.0,277.0,,,False,,False
4711.712,NOR,1,11.0,103.391,30.117,17.987,55.287,1.0,MEDIUM,11.0,True,McLaren,16,9.0,False,251.0,309.0,,289.0,,4695.593,False,,False
4829.787,NOR,1,12.0,118.075,44.892,27.737,45.446,2.0,HARD,1.0,True,McLaren,6,9.0,False,238.0,127.0,201.0,230.0,4714.141,,False,,False
4941.719,NOR,1,13.0,111.932,41.529,27.589,42.814,2.0,HARD,2.0,True,McLaren,671,9.0,False,230.0,146.0,289.0,203.0,,,False,,False
5025.952,NOR,1,14.0,84.233,29.882,17.87,36.481,2.0,HARD,3.0,True,McLaren,1,9.0,True,251.0,306.0,287.0,279.0,,,False,,False
5109.736,NOR,1,15.0,83.784,29.402,17.899,36.483,2.0,HARD,4.0,True,McLaren,1,9.0,True,269.0,301.0,288.0,278.0,,,False,,False
5193.648,NOR,1,16.0,83.912,29.524,17.919,36.469,2.0,HARD,5.0,True,McLaren,1,9.0,True,255.0,301.0,290.0,286.0,,,False,,False
5277.701,NOR,1,17.0,84.053,29.442,18.015,36.596,2.0,HARD,6.0,True,McLaren,1,9.0,True,262.0,303.0,291.0,287.0,,,False,,False
5373.105,NOR,1,18.0,95.404,29.758,17.788,47.858,2.0,HARD,7.0,True,McLaren,126,5.0,False,259.0,312.0,223.0,291.0,,,False,,False
5489.175,NOR,1,19.0,116.07,42.456,22.738,50.876,2.0,HARD,8.0,True,McLaren,67,5.0,False,184.0,238.0,278.0,184.0,,,False,,False
5574.949,NOR,1,20.0,85.774,30.612,18.63,36.532,2.0,HARD,9.0,True,McLaren,71,5.0,False,259.0,290.0,282.0,219.0,,,False,,False
5658.921,NOR,1,21.0,83.972,29.499,18.129,36.344,2.0,HARD,10.0,True,McLaren,1,5.0,True,243.0,296.0,285.0,283.0,,,False,,False
5742.608,NOR,1,22.0,83.687,29.317,17.999,36.371,2.0,HARD,11.0,True,McLaren,1,5.0,True,257.0,297.0,285.0,288.0,,,False,,False
5826.142,NOR,1,23.0,83.534,29.254,17.992,36.288,2.0,HARD,12.0,True,McLaren,1,5.0,True,264.0,298.0,285.0,285.0,,,False,,False
5909.536,NOR,1,24.0,83.394,29.302,17.929,36.163,2.0,HARD,13.0,True,McLaren,1,5.0,True,260.0,297.0,284.0,287.0,,,False,,False
5993.036,NOR,1,25.0,83.5,29.373,17.925,36.202,2.0,HARD,14.0,True,McLaren,1,5.0,True,262.0,299.0,295.0,286.0,,,False,,False
6076.439,NOR,1,26.0,83.403,29.35,17.894,36.159,2.0,HARD,15.0,True,McLaren,1,5.0,True,259.0,306.0,294.0,293.0,,,False,,False
6160.335,NOR,1,27.0,83.896,29.426,18.011,36.459,2.0,HARD,16.0,True,McLaren,1,5.0,True,266.0,298.0,289.0,294.0,,,False,,False
6244.375,NOR,1,28.0,84.04,29.538,17.988,36.514,2.0,HARD,17.0,True,McLaren,1,5.0,True,257.0,301.0,293.0,288.0,,,False,,False
6328.455,NOR,1,29.0,84.08,29.692,17.992,36.396,2.0,HARD,18.0,True,McLaren,1,5.0,True,254.0,302.0,288.0,288.0,,,False,,False
6412.416,NOR,1,30.0,83.961,29.515,17.966,36.48,2.0,HARD,19.0,True,McLaren,1,5.0,True,264.0,301.0,289.0,288.0,,,False,,False
6496.51,NOR,1,31.0,84.094,29.604,17.958,36.532,2.0,HARD,20.0,True,McLaren,1,5.0,True,262.0,300.0,293.0,286.0,,,False,,False
