Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
1026.163,NOR,1,1.0,,,36.604,50.656,1.0,MEDIUM,1.0,True,McLaren,1,,False,252.0,243.0,227.0,282.0,898.051,,False,,False
1132.893,NOR,1,2.0,106.73,28.276,32.957,45.497,1.0,MEDIUM,2.0,True,McLaren,12,,True,255.0,259.0,257.0,284.0,,,False,,False
1230.435,NOR,1,3.0,97.542,25.762,29.433,42.347,1.0,MEDIUM,3.0,True,McLaren,1,,True,275.0,267.0,244.0,312.0,,,False,,False
1353.561,NOR,1,4.0,123.126,31.004,36.784,55.338,1.0,MEDIUM,4.0,True,McLaren,1,,False,207.0,218.0,,293.0,,1351.721,False,,False
1519.581,NOR,1,5.0,,55.215,46.507,64.313,2.0,MEDIUM,5.0,False,McLaren,167,,False,205.0,203.0,249.0,255.0,1380.175,,False,,False
1627.675,NOR,1,6.0,108.094,27.416,31.201,49.477,2.0,MEDIUM,6.0,False,McLaren,1,,True,254.0,148.0,257.0,292.0,,,False,,False
1764.969,NOR,1,7.0,137.294,24.861,30.153,82.28,2.0,MEDIUM,7.0,False,McLaren,126,,False,279.0,114.0,213.0,109.0,,,False,,False
1886.851,NOR,1,8.0,121.882,30.039,33.544,58.299,2.0,MEDIUM,8.0,False,McLaren,6,,False,239.0,233.0,243.0,207.0,,,False,,False
1995.872,NOR,1,9.0,109.021,28.921,30.812,49.288,2.0,MEDIUM,9.0,False,McLaren,671,,False,261.0,267.0,274.0,274.0,,,False,,False
2091.444,NOR,1,10.0,95.572,24.857,28.836,41.879,2.0,MEDIUM,10.0,False,McLaren,1,,True,279.0,274.0,245.0,306.0,,,False,,False
2207.997,NOR,1,11.0,116.553,33.376,33.525,49.652,2.0,MEDIUM,11.0,False,McLaren,1,,True,248.0,261.0,272.0,294.0,,,False,,False
2322.398,NOR,1,12.0,114.401,32.952,33.881,47.568,2.0,MEDIUM,12.0,False,McLaren,1,,True,266.0,255.0,271.0,293.0,,,True,TRACK LIMITS AT TURN 2 LAP 13 ,False
2425.224,NOR,1,13.0,102.826,24.907,28.862,49.057,2.0,MEDIUM,13.0,False,McLaren,1,,False,278.0,272.0,,305.0,,2423.382,False,,False
2974.249,NOR,1,14.0,,,31.036,44.362,3.0,MEDIUM,14.0,False,McLaren,1,,False,239.0,259.0,273.0,293.0,2871.583,,False,,False
3073.131,NOR,1,15.0,98.882,25.427,29.527,43.928,3.0,MEDIUM,15.0,False,McLaren,1,,True,275.0,260.0,269.0,300.0,,,False,,False
3173.337,NOR,1,16.0,100.206,25.936,29.962,44.308,3.0,MEDIUM,16.0,False,McLaren,1,,True,283.0,273.0,273.0,322.0,,,False,,False
3271.084,NOR,1,17.0,97.747,25.665,29.597,42.485,3.0,MEDIUM,17.0,False,McLaren,1,,True,277.0,263.0,273.0,311.0,,,False,,False
3368.45,NOR,1,18.0,97.366,25.63,29.478,42.258,3.0,MEDIUM,18.0,False,McLaren,1,,True,276.0,262.0,273.0,307.0,,,False,,False
3466.245,NOR,1,19.0,97.795,25.781,29.485,42.529,3.0,MEDIUM,19.0,False,McLaren,1,,True,276.0,266.0,273.0,318.0,,,False,,False
3570.05,NOR,1,20.0,103.805,25.774,29.923,48.108,3.0,MEDIUM,20.0,False,McLaren,1,,False,273.0,259.0,,302.0,,3568.296,False,,False
3929.443,NOR,1,21.0,,,30.222,44.677,4.0,SOFT,1.0,True,McLaren,12,,False,262.0,266.0,273.0,285.0,3828.413,,False,,False
4023.143,NOR,1,22.0,93.7,24.337,28.275,41.088,4.0,SOFT,2.0,True,McLaren,1,,True,288.0,272.0,258.0,309.0,,,False,,False
4148.732,NOR,1,23.0,125.589,33.422,36.51,55.657,4.0,SOFT,3.0,True,McLaren,1,,True,207.0,201.0,276.0,273.0,,,False,,False
4242.477,NOR,1,24.0,93.745,24.43,28.305,41.01,4.0,SOFT,4.0,True,McLaren,1,,True,294.0,274.0,258.0,312.0,,,False,,False
4367.783,NOR,1,25.0,125.306,33.232,40.959,51.115,4.0,SOFT,5.0,True,McLaren,1,,True,168.0,150.0,275.0,298.0,,,False,,False
4461.079,NOR,1,26.0,93.296,24.358,28.258,40.68,4.0,SOFT,6.0,True,McLaren,1,,True,289.0,275.0,257.0,311.0,,,False,,False
4587.38,NOR,1,27.0,126.301,32.593,35.021,58.687,4.0,SOFT,7.0,True,McLaren,1,,True,181.0,224.0,42.0,287.0,,,False,,False
4742.342,NOR,1,28.0,,70.602,31.252,53.108,4.0,SOFT,8.0,True,McLaren,1,,False,304.0,245.0,109.0,233.0,,,False,,False
4896.73,NOR,1,29.0,,66.678,28.96,58.752,4.0,SOFT,9.0,True,McLaren,1,,False,304.0,260.0,,185.0,,4894.896,False,,False
1035.968,VER,3,1.0,,,33.719,48.811,1.0,MEDIUM,1.0,True,Red Bull Racing,1,,False,240.0,243.0,241.0,286.0,914.804,,False,,False
1142.954,VER,3,2.0,106.986,27.885,31.257,47.844,1.0,MEDIUM,2.0,True,Red Bull Racing,12,,True,224.0,258.0,275.0,253.0,,,False,,False
1239.006,VER,3,3.0,96.052,25.152,28.977,41.923,1.0,MEDIUM,3.0,True,Red Bull Racing,1,,True,294.0,283.0,254.0,307.0,,,False,,False
1366.678,VER,3,4.0,127.672,31.821,39.111,56.74,1.0,MEDIUM,4.0,True,Red Bull Racing,1,,True,187.0,242.0,273.0,238.0,,,False,,False
1500.002,VER,3,5.0,133.324,25.066,36.221,72.037,1.0,MEDIUM,5.0,True,Red Bull Racing,167,,False,292.0,151.0,274.0,258.0,,,False,,False
1596.042,VER,3,6.0,96.04,24.962,28.807,42.271,1.0,MEDIUM,6.0,True,Red Bull Racing,1,,True,291.0,282.0,264.0,299.0,,,False,,False
1713.696,VER,3,7.0,117.654,28.428,32.023,57.203,1.0,MEDIUM,7.0,True,Red Bull Racing,126,,False,244.0,246.0,,174.0,,1711.884,False,,False
2798.727,VER,3,8.0,,,31.001,43.466,2.0,MEDIUM,8.0,False,Red Bull Racing,671,,False,249.0,269.0,273.0,306.0,2698.3,,False,,False
2897.458,VER,3,9.0,98.731,25.893,30.206,42.632,2.0,MEDIUM,9.0,False,Red Bull Racing,1,,True,271.0,263.0,273.0,304.0,,,False,,False
2996.698,VER,3,10.0,99.24,26.076,30.437,42.727,2.0,MEDIUM,10.0,False,Red Bull Racing,1,,True,269.0,260.0,271.0,305.0,,,False,,False
3096.196,VER,3,11.0,99.498,26.209,30.454,42.835,2.0,MEDIUM,11.0,False,Red Bull Racing,1,,True,270.0,262.0,272.0,306.0,,,False,,False
3196.562,VER,3,12.0,100.366,26.323,30.669,43.374,2.0,MEDIUM,12.0,False,Red Bull Racing,1,,True,271.0,257.0,273.0,306.0,,,False,,False
3296.189,VER,3,13.0,99.627,26.317,30.639,42.671,2.0,MEDIUM,13.0,False,Red Bull Racing,1,,True,275.0,261.0,273.0,314.0,,,False,,False
3395.987,VER,3,14.0,99.798,26.202,30.481,43.115,2.0,MEDIUM,14.0,False,Red Bull Racing,1,,True,272.0,265.0,270.0,306.0,,,False,,False
3496.413,VER,3,15.0,100.426,26.435,30.71,43.281,2.0,MEDIUM,15.0,False,Red Bull Racing,1,,True,266.0,260.0,271.0,304.0,,,False,,False
3606.831,VER,3,16.0,110.418,26.566,31.13,52.722,2.0,MEDIUM,16.0,False,Red Bull Racing,1,,False,266.0,254.0,,285.0,,3604.28,False,,False
3999.083,VER,3,17.0,,,30.857,47.193,3.0,SOFT,1.0,True,Red Bull Racing,12,,False,247.0,244.0,277.0,250.0,3894.331,,False,,False
4093.624,VER,3,18.0,94.541,24.709,28.499,41.333,3.0,SOFT,2.0,True,Red Bull Racing,1,,True,293.0,286.0,262.0,306.0,,,False,,False
4224.129,VER,3,19.0,130.505,36.342,42.26,51.903,3.0,SOFT,3.0,True,Red Bull Racing,1,,True,194.0,167.0,276.0,305.0,,,False,,False
4318.935,VER,3,20.0,94.806,24.774,28.747,41.285,3.0,SOFT,4.0,True,Red Bull Racing,1,,True,289.0,283.0,267.0,304.0,,,False,,False
4451.134,VER,3,21.0,132.199,31.595,42.185,58.419,3.0,SOFT,5.0,True,Red Bull Racing,1,,True,209.0,149.0,232.0,221.0,,,False,,False
4568.393,VER,3,22.0,117.259,30.237,31.742,55.28,3.0,SOFT,6.0,True,Red Bull Racing,1,,True,204.0,250.0,103.0,253.0,,,False,,False
4708.051,VER,3,23.0,139.658,45.269,31.155,63.234,3.0,SOFT,7.0,True,Red Bull Racing,1,,True,262.0,246.0,75.0,275.0,,,False,,False
4855.539,VER,3,24.0,147.488,65.592,31.03,50.866,3.0,SOFT,8.0,True,Red Bull Racing,1,,False,259.0,225.0,,287.0,,4853.186,False,,False
