Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
1100.726,RUS,63,1.0,,,30.974,54.663,1.0,MEDIUM,1.0,True,Mercedes,1,,False,247.0,245.0,277.0,260.0,986.869,,False,,False
1193.756,RUS,63,2.0,93.03,24.276,28.182,40.572,1.0,MEDIUM,2.0,True,Mercedes,1,,True,276.0,264.0,259.0,318.0,,,False,,False
1319.292,RUS,63,3.0,125.536,30.753,37.442,57.341,1.0,MEDIUM,3.0,True,Mercedes,1,,False,251.0,158.0,,303.0,,1317.427,False,,False
2164.934,RUS,63,4.0,,,36.881,53.641,2.0,MEDIUM,1.0,True,Mercedes,12,,False,235.0,50.0,280.0,260.0,2045.072,,False,,False
2257.175,RUS,63,5.0,92.241,24.062,27.79,40.389,2.0,MEDIUM,2.0,True,Mercedes,1,,True,275.0,265.0,255.0,320.0,,,False,,False
2393.019,RUS,63,6.0,135.844,33.777,42.586,59.481,2.0,MEDIUM,3.0,True,Mercedes,1,,True,198.0,213.0,280.0,258.0,,,False,,False
2485.312,RUS,63,7.0,92.293,24.226,27.831,40.236,2.0,MEDIUM,4.0,True,Mercedes,1,,True,274.0,259.0,256.0,316.0,,,False,,False
2604.637,RUS,63,8.0,119.325,29.64,33.981,55.704,2.0,MEDIUM,5.0,True,Mercedes,1,,False,250.0,260.0,,232.0,,2602.743,False,,False
3059.533,RUS,63,9.0,,,30.159,46.145,3.0,SOFT,1.0,True,Mercedes,12,,False,239.0,237.0,281.0,258.0,2957.856,,False,,False
3151.053,RUS,63,10.0,91.52,23.962,27.569,39.989,3.0,SOFT,2.0,True,Mercedes,1,,True,269.0,255.0,260.0,313.0,,,False,,False
3274.675,RUS,63,11.0,123.622,33.731,41.687,48.204,3.0,SOFT,3.0,True,Mercedes,1,,True,204.0,179.0,282.0,291.0,,,False,,False
3366.382,RUS,63,12.0,91.707,23.974,27.627,40.106,3.0,SOFT,4.0,True,Mercedes,1,,True,271.0,252.0,258.0,315.0,,,False,,False
3497.764,RUS,63,13.0,131.382,31.386,36.132,63.864,3.0,SOFT,5.0,True,Mercedes,1,,False,209.0,200.0,,219.0,,3495.09,False,,False
1096.817,ANT,12,1.0,,,36.386,51.567,1.0,MEDIUM,1.0,True,Mercedes,1,,False,223.0,245.0,276.0,256.0,978.447,,False,,False
1190.272,ANT,12,2.0,93.455,24.508,28.154,40.793,1.0,MEDIUM,2.0,True,Mercedes,1,,True,279.0,269.0,254.0,314.0,,,False,,False
1320.21,ANT,12,3.0,129.938,38.392,37.667,53.879,1.0,MEDIUM,3.0,True,Mercedes,1,,False,158.0,238.0,,301.0,,1318.411,False,,False
2154.761,ANT,12,4.0,,,34.617,51.849,2.0,MEDIUM,1.0,True,Mercedes,12,,False,257.0,253.0,276.0,269.0,2031.57,,False,,False
2247.331,ANT,12,5.0,92.57,24.308,27.903,40.359,2.0,MEDIUM,2.0,True,Mercedes,1,,True,276.0,261.0,257.0,318.0,,,False,,False
2375.97,ANT,12,6.0,128.639,32.251,41.142,55.246,2.0,MEDIUM,3.0,True,Mercedes,1,,True,192.0,183.0,278.0,176.0,,,False,,False
2468.261,ANT,12,7.0,92.291,24.204,27.806,40.281,2.0,MEDIUM,4.0,True,Mercedes,1,,True,274.0,259.0,258.0,317.0,,,False,,False
2584.066,ANT,12,8.0,115.805,28.946,32.865,53.994,2.0,MEDIUM,5.0,True,Mercedes,1,,False,230.0,240.0,,243.0,,2582.177,False,,False
3051.518,ANT,12,9.0,,,30.74,45.437,3.0,SOFT,1.0,True,Mercedes,12,,False,226.0,257.0,280.0,262.0,2949.246,,False,,False
3143.398,ANT,12,10.0,91.88,23.966,27.558,40.356,3.0,SOFT,2.0,True,Mercedes,1,,True,272.0,251.0,259.0,313.0,,,False,,False
3267.882,ANT,12,11.0,124.484,31.58,43.059,49.845,3.0,SOFT,3.0,True,Mercedes,1,,True,181.0,172.0,280.0,263.0,,,False,,False
3359.691,ANT,12,12.0,91.809,23.998,27.598,40.213,3.0,SOFT,4.0,True,Mercedes,1,,True,271.0,260.0,257.0,313.0,,,False,,False
3475.407,ANT,12,13.0,115.716,29.011,31.734,54.971,3.0,SOFT,5.0,True,Mercedes,1,,False,226.0,223.0,,261.0,,3472.562,False,,False
975.287,NOR,1,1.0,,,31.498,45.987,1.0,MEDIUM,1.0,True,McLaren,1,,False,252.0,265.0,257.0,288.0,865.315,,False,,False
1089.059,NOR,1,2.0,113.772,26.331,31.92,55.521,1.0,MEDIUM,2.0,True,McLaren,1,,True,273.0,234.0,275.0,95.0,,,False,,False
1182.842,NOR,1,3.0,93.783,24.587,28.412,40.784,1.0,MEDIUM,3.0,True,McLaren,1,,True,289.0,275.0,259.0,313.0,,,False,,False
1304.611,NOR,1,4.0,121.769,32.938,33.596,55.235,1.0,MEDIUM,4.0,True,McLaren,1,,False,234.0,244.0,,256.0,,1302.742,False,,False
2038.378,NOR,1,5.0,,,31.26,46.413,2.0,MEDIUM,1.0,True,McLaren,12,,False,265.0,262.0,256.0,289.0,1924.921,,False,,False
2149.642,NOR,1,6.0,111.264,28.048,30.49,52.726,2.0,MEDIUM,2.0,True,McLaren,1,,True,264.0,264.0,275.0,303.0,,,False,,False
2242.805,NOR,1,7.0,93.163,24.356,28.181,40.626,2.0,MEDIUM,3.0,True,McLaren,1,,True,288.0,274.0,258.0,314.0,,,False,,False
2370.105,NOR,1,8.0,127.3,31.866,38.53,56.904,2.0,MEDIUM,4.0,True,McLaren,1,,True,195.0,215.0,275.0,163.0,,,False,,False
2463.191,NOR,1,9.0,93.086,24.451,28.086,40.549,2.0,MEDIUM,5.0,True,McLaren,1,,True,281.0,271.0,258.0,312.0,,,False,,False
2582.261,NOR,1,10.0,119.07,29.762,33.662,55.646,2.0,MEDIUM,6.0,True,McLaren,1,,False,244.0,226.0,,216.0,,2580.412,False,,False
3329.06,NOR,1,11.0,,,29.38,50.445,3.0,SOFT,1.0,True,McLaren,12,,False,247.0,256.0,278.0,289.0,3219.966,,False,,False
3421.201,NOR,1,12.0,92.141,23.961,27.616,40.564,3.0,SOFT,2.0,True,McLaren,1,,True,278.0,272.0,259.0,306.0,,,False,,False
3544.724,NOR,1,13.0,123.523,30.635,34.457,58.431,3.0,SOFT,3.0,True,McLaren,1,,False,210.0,207.0,,208.0,,3542.501,False,,False
967.499,PIA,81,1.0,,,32.34,48.353,1.0,MEDIUM,1.0,True,McLaren,1,,False,253.0,265.0,253.0,260.0,850.143,,False,,False
1076.67,PIA,81,2.0,109.171,28.415,32.389,48.367,1.0,MEDIUM,2.0,True,McLaren,1,,True,267.0,266.0,275.0,290.0,,,False,,False
1170.483,PIA,81,3.0,93.813,24.517,28.436,40.86,1.0,MEDIUM,3.0,True,McLaren,1,,True,289.0,275.0,259.0,312.0,,,False,,False
1301.069,PIA,81,4.0,130.586,35.467,39.124,55.995,1.0,MEDIUM,4.0,True,McLaren,1,,False,200.0,234.0,,236.0,,1299.298,False,,False
2029.487,PIA,81,5.0,,,31.847,46.092,2.0,MEDIUM,1.0,True,McLaren,12,,False,260.0,255.0,251.0,290.0,1918.655,,False,,False
2143.307,PIA,81,6.0,113.82,28.163,32.976,52.681,2.0,MEDIUM,2.0,True,McLaren,1,,True,277.0,258.0,276.0,193.0,,,False,,False
2236.453,PIA,81,7.0,93.146,24.363,28.129,40.654,2.0,MEDIUM,3.0,True,McLaren,1,,True,288.0,275.0,258.0,312.0,,,False,,False
2362.67,PIA,81,8.0,126.217,33.583,37.124,55.51,2.0,MEDIUM,4.0,True,McLaren,1,,True,208.0,187.0,277.0,252.0,,,False,,False
2455.708,PIA,81,9.0,93.038,24.368,28.101,40.569,2.0,MEDIUM,5.0,True,McLaren,1,,True,289.0,273.0,257.0,313.0,,,False,,False
2578.512,PIA,81,10.0,122.804,30.49,34.393,57.921,2.0,MEDIUM,6.0,True,McLaren,1,,False,213.0,212.0,,229.0,,2576.658,False,,False
3340.976,PIA,81,11.0,,,30.906,46.366,3.0,SOFT,1.0,True,McLaren,12,,False,251.0,247.0,280.0,259.0,3226.232,,False,,False
3433.2,PIA,81,12.0,92.224,23.913,27.793,40.518,3.0,SOFT,2.0,True,McLaren,1,,True,285.0,272.0,258.0,307.0,,,False,,False
3561.968,PIA,81,13.0,128.768,30.452,35.39,62.926,3.0,SOFT,3.0,True,McLaren,1,,False,204.0,216.0,,211.0,,3556.832,False,,False
951.697,LEC,16,1.0,,,30.972,56.034,1.0,MEDIUM,1.0,True,Ferrari,1,,False,265.0,253.0,276.0,249.0,823.184,,False,,False
1045.945,LEC,16,2.0,94.248,24.506,28.67,41.072,1.0,MEDIUM,2.0,True,Ferrari,1,,True,269.0,273.0,261.0,311.0,,,False,,False
1172.658,LEC,16,3.0,126.713,35.198,33.441,58.074,1.0,MEDIUM,3.0,True,Ferrari,1,,True,235.0,232.0,276.0,132.0,,,False,,False
1266.081,LEC,16,4.0,93.423,24.395,28.29,40.738,1.0,MEDIUM,4.0,True,Ferrari,1,,True,269.0,273.0,266.0,310.0,,,False,,False
1393.519,LEC,16,5.0,127.438,32.139,40.235,55.064,1.0,MEDIUM,5.0,True,Ferrari,1,,True,206.0,165.0,277.0,221.0,,,False,,False
1486.713,LEC,16,6.0,93.194,24.492,28.15,40.552,1.0,MEDIUM,6.0,True,Ferrari,1,,True,273.0,274.0,261.0,311.0,,,False,,False
1599.82,LEC,16,7.0,113.107,28.614,34.276,50.217,1.0,MEDIUM,7.0,True,Ferrari,1,,False,248.0,270.0,,283.0,,1597.991,False,,False
2119.455,LEC,16,8.0,,,31.419,56.041,2.0,MEDIUM,1.0,True,Ferrari,12,,False,270.0,141.0,277.0,252.0,2005.397,,False,,False
2212.057,LEC,16,9.0,92.602,24.184,28.106,40.312,2.0,MEDIUM,2.0,True,Ferrari,1,,True,272.0,270.0,255.0,312.0,,,False,,False
2330.452,LEC,16,10.0,118.395,29.569,33.567,55.259,2.0,MEDIUM,3.0,True,Ferrari,1,,False,250.0,225.0,,269.0,,2328.732,False,,False
2599.84,LEC,16,11.0,,,32.953,55.678,3.0,MEDIUM,4.0,False,Ferrari,1,,False,279.0,269.0,,263.0,2484.788,2598.023,False,,False
3078.219,LEC,16,12.0,,,35.54,46.284,4.0,SOFT,1.0,True,Ferrari,12,,False,267.0,262.0,279.0,251.0,2969.35,,False,,False
3170.951,LEC,16,13.0,92.732,24.13,28.243,40.359,4.0,SOFT,2.0,True,Ferrari,1,,True,272.0,260.0,254.0,304.0,,,False,,False
3292.477,LEC,16,14.0,121.526,33.287,37.211,51.028,4.0,SOFT,3.0,True,Ferrari,1,,True,173.0,186.0,278.0,280.0,,,False,,False
3385.005,LEC,16,15.0,92.528,24.105,27.77,40.653,4.0,SOFT,4.0,True,Ferrari,1,,True,273.0,276.0,252.0,299.0,,,False,,False
3515.662,LEC,16,16.0,130.657,31.811,32.575,66.271,4.0,SOFT,5.0,True,Ferrari,1,,False,200.0,198.0,,144.0,,3512.43,False,,False
961.71,HAM,44,1.0,,,31.395,53.024,1.0,MEDIUM,1.0,True,Ferrari,1,,False,260.0,261.0,276.0,252.0,844.808,,False,,False
1055.44,HAM,44,2.0,93.73,24.74,28.122,40.868,1.0,MEDIUM,2.0,True,Ferrari,1,,True,271.0,273.0,263.0,314.0,,,False,,False
1189.155,HAM,44,3.0,133.715,35.236,44.23,54.249,1.0,MEDIUM,3.0,True,Ferrari,1,,True,206.0,178.0,275.0,263.0,,,False,,False
1282.303,HAM,44,4.0,93.148,24.684,28.061,40.403,1.0,MEDIUM,4.0,True,Ferrari,1,,True,272.0,277.0,256.0,318.0,,,False,,False
1414.76,HAM,44,5.0,132.457,33.072,42.259,57.126,1.0,MEDIUM,5.0,True,Ferrari,1,,False,224.0,251.0,,260.0,,1411.342,False,,False
2128.506,HAM,44,6.0,,,31.258,54.197,2.0,MEDIUM,1.0,True,Ferrari,12,,False,262.0,246.0,277.0,254.0,2014.913,,False,,False
