Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
2904.706,NOR,1,1.0,,,31.201,43.008,1.0,MEDIUM,5.0,False,McLaren,12,4.0,False,291.0,275.0,274.0,328.0,,,False,,False
3002.796,NOR,1,2.0,98.09,25.842,29.806,42.442,1.0,MEDIUM,6.0,False,McLaren,1,4.0,True,281.0,269.0,272.0,311.0,,,False,,False
3100.743,NOR,1,3.0,97.947,25.835,29.63,42.482,1.0,MEDIUM,7.0,False,McLaren,1,4.0,True,280.0,269.0,268.0,308.0,,,False,,False
3198.765,NOR,1,4.0,98.022,25.829,29.566,42.627,1.0,MEDIUM,8.0,False,McLaren,1,4.0,True,279.0,269.0,271.0,306.0,,,False,,False
3296.285,NOR,1,5.0,97.52,25.663,29.547,42.31,1.0,MEDIUM,9.0,False,McLaren,1,4.0,True,280.0,268.0,273.0,304.0,,,False,,False
3393.654,NOR,1,6.0,97.369,25.494,29.506,42.369,1.0,MEDIUM,10.0,False,McLaren,1,4.0,True,281.0,270.0,273.0,308.0,,,False,,False
3492.293,NOR,1,7.0,98.639,25.675,29.542,43.422,1.0,MEDIUM,11.0,False,McLaren,1,5.0,True,280.0,267.0,273.0,304.0,,,False,,False
3589.648,NOR,1,8.0,97.355,25.612,29.551,42.192,1.0,MEDIUM,12.0,False,McLaren,1,5.0,True,285.0,273.0,272.0,315.0,,,False,,False
3687.19,NOR,1,9.0,97.542,25.646,29.589,42.307,1.0,MEDIUM,13.0,False,McLaren,1,5.0,True,282.0,268.0,274.0,310.0,,,False,,False
3785.039,NOR,1,10.0,97.849,25.781,29.704,42.364,1.0,MEDIUM,14.0,False,McLaren,1,5.0,True,282.0,269.0,271.0,311.0,,,False,,False
3883.021,NOR,1,11.0,97.982,25.676,29.74,42.566,1.0,MEDIUM,15.0,False,McLaren,1,5.0,True,281.0,270.0,273.0,305.0,,,False,,False
3981.096,NOR,1,12.0,98.075,25.799,29.608,42.668,1.0,MEDIUM,16.0,False,McLaren,1,5.0,True,281.0,270.0,273.0,306.0,,,False,,False
4090.434,NOR,1,13.0,109.338,25.83,29.617,53.891,1.0,MEDIUM,17.0,False,McLaren,124,5.0,False,280.0,269.0,,304.0,,4088.812,False,,False
4246.109,NOR,1,14.0,,52.387,39.752,63.546,2.0,SOFT,4.0,False,McLaren,4,3.0,False,273.0,264.0,201.0,221.0,4111.262,,False,,False
4394.08,NOR,1,15.0,147.971,39.765,43.029,65.177,2.0,SOFT,5.0,False,McLaren,4,3.0,False,237.0,226.0,209.0,172.0,,,False,,False
4536.304,NOR,1,16.0,142.224,37.827,42.171,62.226,2.0,SOFT,6.0,False,McLaren,41,3.0,False,260.0,178.0,275.0,224.0,,,False,,False
4632.87,NOR,1,17.0,96.566,25.443,29.11,42.013,2.0,SOFT,7.0,False,McLaren,1,3.0,True,289.0,280.0,268.0,322.0,,,False,,False
4729.394,NOR,1,18.0,96.524,25.694,28.984,41.846,2.0,SOFT,8.0,False,McLaren,1,4.0,True,284.0,270.0,273.0,309.0,,,False,,False
4825.102,NOR,1,19.0,95.708,25.106,28.88,41.722,2.0,SOFT,9.0,False,McLaren,1,4.0,True,281.0,270.0,274.0,309.0,,,False,,False
2905.726,GAS,10,1.0,,,30.951,43.17,1.0,MEDIUM,7.0,False,Alpine,12,6.0,False,286.0,267.0,277.0,334.0,,,False,,False
