Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
1382.404,ANT,12,1.0,,,31.796,52.366,1.0,SOFT,1.0,True,Mercedes,1,,False,223.0,262.0,276.0,227.0,1271.543,,False,,False
1475.709,ANT,12,2.0,93.305,24.288,28.048,40.969,1.0,SOFT,2.0,True,Mercedes,1,,True,283.0,276.0,260.0,311.0,,,False,,False
1598.179,ANT,12,3.0,122.47,35.87,33.268,53.332,1.0,SOFT,3.0,True,Mercedes,1,,False,168.0,243.0,,202.0,,1596.396,False,,False
2498.394,ANT,12,4.0,,,30.815,45.794,2.0,SOFT,4.0,False,Mercedes,1,,False,241.0,260.0,278.0,243.0,2394.384,,False,,False
2591.344,ANT,12,5.0,92.95,24.156,27.861,40.933,2.0,SOFT,5.0,False,Mercedes,1,,True,285.0,272.0,251.0,311.0,,,False,,False
2736.628,ANT,12,6.0,145.284,29.606,56.034,59.644,2.0,SOFT,6.0,False,Mercedes,1,,False,118.0,240.0,,101.0,,2733.957,False,,False
3128.325,ANT,12,7.0,,,36.839,45.507,3.0,SOFT,1.0,True,Mercedes,1,,False,253.0,261.0,280.0,249.0,3016.034,,False,,False
3220.768,ANT,12,8.0,92.443,24.141,27.726,40.576,3.0,SOFT,2.0,True,Mercedes,1,,True,286.0,279.0,256.0,314.0,,,False,,False
3342.041,ANT,12,9.0,121.273,30.445,37.844,52.984,3.0,SOFT,3.0,True,Mercedes,12,,False,228.0,255.0,,293.0,,3340.144,False,,False
3816.133,ANT,12,10.0,,,30.145,45.507,4.0,SOFT,1.0,True,Mercedes,12,,False,243.0,263.0,278.0,240.0,3713.555,,False,,False
3908.455,ANT,12,11.0,92.322,24.003,27.714,40.605,4.0,SOFT,2.0,True,Mercedes,1,,True,285.0,273.0,251.0,310.0,,,False,,False
4016.711,ANT,12,12.0,108.256,27.758,31.08,49.418,4.0,SOFT,3.0,True,Mercedes,1,,False,244.0,249.0,,290.0,,4015.066,False,,False
4351.323,ANT,12,13.0,,,30.303,44.716,5.0,SOFT,1.0,True,Mercedes,1,,False,223.0,255.0,279.0,250.0,4250.568,,False,,False
4443.387,ANT,12,14.0,92.064,24.013,27.664,40.387,5.0,SOFT,2.0,True,Mercedes,1,,True,286.0,276.0,253.0,308.0,,,False,,False
4561.449,ANT,12,15.0,118.062,28.716,31.585,57.761,5.0,SOFT,3.0,True,Mercedes,1,,False,229.0,233.0,,278.0,,4557.507,False,,False
1397.101,RUS,63,1.0,,,31.251,50.605,1.0,SOFT,1.0,True,Mercedes,1,,False,253.0,261.0,279.0,249.0,1288.268,,False,,False
1490.363,RUS,63,2.0,93.262,24.208,28.109,40.945,1.0,SOFT,2.0,True,Mercedes,1,,True,289.0,278.0,256.0,311.0,,,False,,False
1621.837,RUS,63,3.0,131.474,38.378,37.882,55.214,1.0,SOFT,3.0,True,Mercedes,1,,False,180.0,263.0,,293.0,,1619.861,False,,False
2507.671,RUS,63,4.0,,,30.505,46.921,2.0,SOFT,4.0,False,Mercedes,1,,False,256.0,263.0,279.0,253.0,2400.447,,False,,False
2600.194,RUS,63,5.0,92.523,24.085,27.868,40.57,2.0,SOFT,5.0,False,Mercedes,1,,True,285.0,270.0,258.0,317.0,,,False,,False
2716.439,RUS,63,6.0,116.245,29.371,34.46,52.414,2.0,SOFT,6.0,False,Mercedes,1,,False,190.0,266.0,,296.0,,2714.617,False,,False
3136.267,RUS,63,7.0,,,30.502,49.316,3.0,SOFT,1.0,True,Mercedes,1,,False,222.0,253.0,280.0,252.0,3026.193,,False,,False
3254.204,RUS,63,8.0,117.937,26.726,41.01,50.201,3.0,SOFT,2.0,True,Mercedes,12,,True,202.0,203.0,256.0,281.0,,,True,DOUBLE YELLOW AT TURN 16,False
3359.821,RUS,63,9.0,105.617,24.539,29.898,51.18,3.0,SOFT,3.0,True,Mercedes,21,,False,285.0,273.0,,292.0,,3358.01,False,,False
3956.668,RUS,63,10.0,,,58.848,94.919,4.0,SOFT,1.0,True,Mercedes,12,,False,98.0,102.0,,100.0,3717.563,3954.683,False,,False
