Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
18.401,17.6,36.5,1023.7,False,32.3,65,3.9
78.41,17.6,36.2,1023.6,False,32.4,68,3.8
138.417,17.6,36.0,1023.7,False,32.3,68,2.7
198.42,17.6,36.0,1023.7,False,32.3,68,2.7
258.399,17.7,35.5,1023.5,False,32.5,30,3.2
318.402,17.7,35.0,1023.6,False,32.5,46,2.8
378.421,17.7,34.5,1023.6,False,32.4,60,4.0
438.417,17.7,34.6,1023.6,False,32.2,31,2.7
498.415,17.7,34.6,1023.6,False,31.8,43,5.3
558.413,17.7,34.9,1023.5,False,31.7,49,4.9
618.412,17.6,35.7,1023.6,False,32.0,58,3.1
678.403,17.7,35.1,1023.6,False,32.2,67,1.9
738.417,17.6,34.6,1023.7,False,32.3,60,1.3
798.416,17.8,34.3,1023.5,False,32.0,59,3.1
858.435,17.8,34.3,1023.5,False,32.0,59,3.1
918.453,17.8,34.9,1023.5,False,31.8,36,3.6
978.444,17.7,35.0,1023.5,False,32.0,52,3.5
1038.451,17.7,35.1,1023.5,False,31.7,71,2.8
1098.457,17.7,34.7,1023.5,False,32.1,65,2.6
1158.474,17.8,34.3,1023.5,False,32.3,61,1.8
1218.463,17.8,34.5,1023.6,False,32.3,64,2.6
1278.465,17.8,33.9,1023.4,False,31.8,59,5.2
1338.461,17.9,33.3,1023.4,False,31.6,59,3.3
1398.464,17.9,33.1,1023.5,False,31.7,65,3.1
1458.465,17.9,33.5,1023.5,False,31.9,67,1.9
1518.484,17.9,33.5,1023.5,False,31.9,67,1.9
1578.514,17.8,33.6,1023.5,False,32.1,65,2.1
1638.531,17.8,33.4,1023.6,False,32.3,72,1.7
1698.532,17.9,33.4,1023.6,False,32.3,88,2.1
1758.527,18.0,33.0,1023.7,False,32.2,64,1.6
1818.521,18.0,33.5,1023.5,False,32.2,52,2.6
1878.545,18.0,34.1,1023.5,False,32.3,57,1.9
1938.556,18.0,33.8,1023.7,False,32.1,69,1.1
1998.56,18.0,33.8,1023.6,False,32.2,87,1.5
2058.568,18.1,33.3,1023.5,False,31.9,66,1.0
2118.566,18.1,32.4,1023.6,False,32.0,125,1.1
2178.569,18.1,32.4,1023.6,False,32.0,125,1.1
2238.557,18.3,32.4,1023.5,False,32.2,74,2.4
2298.565,18.1,33.4,1023.6,False,31.5,61,2.3
2358.567,18.0,34.1,1023.6,False,31.2,58,3.8
2418.561,17.9,34.7,1023.6,False,30.9,41,3.8
2478.601,17.8,35.3,1023.5,False,30.4,49,1.4
2538.606,17.8,35.2,1023.6,False,30.5,79,2.3
2598.621,17.7,35.0,1023.6,False,30.6,41,3.8
2658.626,17.7,35.2,1023.6,False,30.3,44,4.5
2718.62,17.6,35.0,1023.6,False,30.3,37,2.7
2778.607,17.6,35.1,1023.6,False,30.5,47,3.7
2838.595,17.6,35.1,1023.6,False,30.5,47,3.7
2898.626,17.7,34.8,1023.5,False,29.9,62,4.3
2958.657,17.8,34.4,1023.5,False,29.4,40,5.3
3018.662,17.8,34.5,1023.5,False,29.6,30,2.8
3078.668,17.8,34.7,1023.5,False,29.5,42,4.5
3138.688,17.7,35.3,1023.5,False,29.8,50,3.9
3198.7,17.8,35.5,1023.5,False,30.1,38,4.1
3258.721,17.7,34.3,1023.5,False,29.9,65,2.8
3318.709,17.6,34.4,1023.4,False,29.9,59,3.0
3378.722,17.6,34.4,1023.5,False,29.6,40,5.4
3438.735,17.6,34.6,1023.4,False,29.3,47,3.6
3498.742,17.6,34.6,1023.4,False,29.3,47,3.6
3558.741,17.7,35.0,1023.5,False,30.0,65,2.6
3618.78,17.7,34.9,1023.6,False,29.9,18,1.2
3678.764,17.6,34.7,1023.6,False,29.9,58,3.5
3738.786,17.6,34.1,1023.5,False,29.5,47,4.0
3798.798,17.5,34.1,1023.4,False,29.9,60,2.7
3858.775,17.6,34.3,1023.5,False,29.8,88,1.5
3918.787,17.7,34.2,1023.5,False,30.0,63,1.0
3978.804,17.7,34.0,1023.5,False,29.9,39,0.7
4038.81,17.8,33.8,1023.5,False,30.0,74,1.0
4098.824,17.9,33.3,1023.5,False,29.9,101,1.6
4158.836,17.9,33.3,1023.5,False,29.9,101,1.6
4218.836,17.7,33.0,1023.5,False,30.1,60,2.4
4278.85,17.6,33.5,1023.5,False,30.0,59,1.4
4338.865,17.6,33.9,1023.5,False,29.4,76,0.9
4398.848,17.6,34.2,1023.6,False,30.0,54,2.1
4458.884,17.6,34.5,1023.5,False,29.6,54,2.8
4518.898,17.7,34.5,1023.4,False,29.5,63,2.3
4578.897,17.6,34.5,1023.5,False,29.5,33,0.8
4638.887,17.6,34.7,1023.6,False,29.5,38,1.9
4698.897,17.6,34.8,1023.6,False,29.5,39,1.8
