Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
3486.903,GAS,10,1.0,102.591,,30.332,42.559,1.0,MEDIUM,1.0,True,Alpine,12,5.0,False,283.0,265.0,272.0,337.0,,,False,,False
3585.82,GAS,10,2.0,98.917,26.232,30.273,42.412,1.0,MEDIUM,2.0,True,Alpine,1,5.0,True,275.0,261.0,268.0,320.0,,,False,,False
3684.743,GAS,10,3.0,98.923,26.327,30.046,42.55,1.0,MEDIUM,3.0,True,Alpine,1,5.0,True,272.0,261.0,265.0,314.0,,,False,,False
3783.46,GAS,10,4.0,98.717,26.278,29.879,42.56,1.0,MEDIUM,4.0,True,Alpine,1,5.0,True,274.0,260.0,269.0,314.0,,,False,,False
3881.934,GAS,10,5.0,98.474,26.142,29.826,42.506,1.0,MEDIUM,5.0,True,Alpine,1,5.0,True,272.0,259.0,269.0,312.0,,,False,,False
3980.232,GAS,10,6.0,98.298,26.134,29.798,42.366,1.0,MEDIUM,6.0,True,Alpine,1,5.0,True,272.0,262.0,271.0,314.0,,,False,,False
4078.867,GAS,10,7.0,98.635,26.039,30.089,42.507,1.0,MEDIUM,7.0,True,Alpine,1,5.0,True,272.0,258.0,268.0,313.0,,,False,,False
4177.294,GAS,10,8.0,98.427,26.03,29.874,42.523,1.0,MEDIUM,8.0,True,Alpine,1,5.0,True,272.0,258.0,267.0,312.0,,,False,,False
4275.903,GAS,10,9.0,98.609,26.192,29.903,42.514,1.0,MEDIUM,9.0,True,Alpine,1,5.0,True,272.0,257.0,268.0,311.0,,,False,,False
4388.897,GAS,10,10.0,112.994,26.099,29.86,57.035,1.0,MEDIUM,10.0,True,Alpine,124,5.0,False,271.0,258.0,,215.0,,4387.031,False,,False
4547.651,GAS,10,11.0,,54.68,40.781,63.178,2.0,HARD,1.0,True,Alpine,4,9.0,False,238.0,221.0,203.0,257.0,4410.471,,False,,False
4697.634,GAS,10,12.0,,42.739,44.215,63.121,2.0,HARD,2.0,True,Alpine,4,9.0,False,207.0,200.0,157.0,154.0,,,False,,False
4843.193,GAS,10,13.0,145.559,36.457,45.437,63.665,2.0,HARD,3.0,True,Alpine,41,9.0,False,207.0,183.0,250.0,184.0,,,False,,False
4943.601,GAS,10,14.0,100.408,27.047,30.627,42.734,2.0,HARD,4.0,True,Alpine,1,10.0,True,279.0,264.0,266.0,328.0,,,False,,False
5042.484,GAS,10,15.0,98.883,26.131,30.252,42.5,2.0,HARD,5.0,True,Alpine,1,10.0,True,282.0,272.0,268.0,353.0,,,False,,False
5141.128,GAS,10,16.0,98.644,26.058,30.253,42.333,2.0,HARD,6.0,True,Alpine,1,9.0,True,287.0,270.0,274.0,338.0,,,False,,False
5239.366,GAS,10,17.0,98.238,25.803,30.3,42.135,2.0,HARD,7.0,True,Alpine,1,8.0,True,286.0,269.0,271.0,337.0,,,False,,False
5336.959,GAS,10,18.0,97.593,25.714,29.545,42.334,2.0,HARD,8.0,True,Alpine,12,8.0,True,282.0,263.0,255.0,343.0,,,False,,False
5436.284,GAS,10,19.0,99.325,26.154,30.545,42.626,2.0,HARD,9.0,True,Alpine,1,8.0,True,280.0,259.0,271.0,327.0,,,False,,False
5535.788,GAS,10,20.0,99.504,27.158,30.103,42.243,2.0,HARD,10.0,True,Alpine,1,9.0,True,280.0,266.0,273.0,332.0,,,False,,False
5634.996,GAS,10,21.0,99.208,26.059,30.115,43.034,2.0,HARD,11.0,True,Alpine,1,9.0,True,284.0,272.0,248.0,343.0,,,False,,False
5734.334,GAS,10,22.0,99.338,26.564,30.393,42.381,2.0,HARD,12.0,True,Alpine,1,10.0,True,277.0,268.0,274.0,333.0,,,False,,False
5832.401,GAS,10,23.0,98.067,25.759,30.001,42.307,2.0,HARD,13.0,True,Alpine,1,9.0,True,291.0,269.0,273.0,328.0,,,False,,False
5930.774,GAS,10,24.0,98.373,25.781,29.894,42.698,2.0,HARD,14.0,True,Alpine,1,9.0,True,283.0,269.0,267.0,336.0,,,False,,False
6029.342,GAS,10,25.0,98.568,26.28,30.069,42.219,2.0,HARD,15.0,True,Alpine,1,9.0,True,280.0,265.0,276.0,335.0,,,False,,False
6127.162,GAS,10,26.0,97.82,25.953,29.802,42.065,2.0,HARD,16.0,True,Alpine,1,9.0,True,280.0,270.0,274.0,333.0,,,False,,False
6225.325,GAS,10,27.0,98.163,25.744,29.934,42.485,2.0,HARD,17.0,True,Alpine,12,9.0,True,286.0,270.0,271.0,332.0,,,False,,False
6323.55,GAS,10,28.0,98.225,25.886,29.866,42.473,2.0,HARD,18.0,True,Alpine,21,8.0,True,284.0,269.0,268.0,335.0,,,False,,False
6421.116,GAS,10,29.0,97.566,25.857,29.475,42.234,2.0,HARD,19.0,True,Alpine,1,7.0,True,273.0,258.0,271.0,312.0,,,False,,False
6519.248,GAS,10,30.0,98.132,25.679,29.518,42.935,2.0,HARD,20.0,True,Alpine,1,7.0,True,272.0,260.0,270.0,311.0,,,False,,False
6616.882,GAS,10,31.0,97.634,25.811,29.447,42.376,2.0,HARD,21.0,True,Alpine,1,7.0,True,273.0,259.0,270.0,309.0,,,False,,False
6714.135,GAS,10,32.0,97.253,25.75,29.413,42.09,2.0,HARD,22.0,True,Alpine,1,7.0,True,273.0,260.0,273.0,313.0,,,False,,False
6811.258,GAS,10,33.0,97.123,25.649,29.312,42.162,2.0,HARD,23.0,True,Alpine,12,7.0,True,273.0,260.0,272.0,313.0,,,False,,False
6908.451,GAS,10,34.0,97.193,25.703,29.32,42.17,2.0,HARD,24.0,True,Alpine,1,7.0,True,273.0,258.0,271.0,313.0,,,False,,False
7005.744,GAS,10,35.0,97.293,25.72,29.432,42.141,2.0,HARD,25.0,True,Alpine,1,7.0,True,274.0,260.0,271.0,312.0,,,False,,False
7102.847,GAS,10,36.0,97.103,25.743,29.398,41.962,2.0,HARD,26.0,True,Alpine,1,7.0,True,273.0,261.0,273.0,313.0,,,False,,False
7199.599,GAS,10,37.0,96.752,25.561,29.247,41.944,2.0,HARD,27.0,True,Alpine,1,7.0,True,274.0,261.0,274.0,314.0,,,False,,False
7296.271,GAS,10,38.0,96.672,25.579,29.221,41.872,2.0,HARD,28.0,True,Alpine,1,7.0,True,274.0,261.0,274.0,313.0,,,False,,False
7393.025,GAS,10,39.0,96.754,25.596,29.263,41.895,2.0,HARD,29.0,True,Alpine,1,7.0,True,275.0,263.0,273.0,313.0,,,False,,False
7489.89,GAS,10,40.0,96.865,25.632,29.297,41.936,2.0,HARD,30.0,True,Alpine,1,7.0,True,275.0,261.0,273.0,314.0,,,False,,False
7587.104,GAS,10,41.0,97.214,25.596,29.407,42.211,2.0,HARD,31.0,True,Alpine,1,7.0,True,277.0,260.0,275.0,315.0,,,False,,False
7684.13,GAS,10,42.0,97.026,25.53,29.337,42.159,2.0,HARD,32.0,True,Alpine,1,7.0,True,275.0,261.0,274.0,314.0,,,False,,False
7781.007,GAS,10,43.0,96.877,25.507,29.286,42.084,2.0,HARD,33.0,True,Alpine,1,7.0,True,276.0,261.0,275.0,313.0,,,False,,False
7877.771,GAS,10,44.0,96.764,25.497,29.267,42.0,2.0,HARD,34.0,True,Alpine,1,7.0,True,276.0,265.0,274.0,315.0,,,False,,False
7974.666,GAS,10,45.0,96.895,25.484,29.296,42.115,2.0,HARD,35.0,True,Alpine,1,6.0,True,277.0,262.0,275.0,313.0,,,False,,False
8071.414,GAS,10,46.0,96.748,25.528,29.293,41.927,2.0,HARD,36.0,True,Alpine,1,6.0,True,276.0,262.0,273.0,314.0,,,False,,False
8168.998,GAS,10,47.0,97.584,25.608,29.299,42.677,2.0,HARD,37.0,True,Alpine,1,6.0,True,277.0,262.0,274.0,316.0,,,False,,False
8266.008,GAS,10,48.0,97.01,25.56,29.288,42.162,2.0,HARD,38.0,True,Alpine,1,6.0,True,275.0,261.0,275.0,312.0,,,False,,False
8362.76,GAS,10,49.0,96.752,25.496,29.22,42.036,2.0,HARD,39.0,True,Alpine,1,6.0,True,278.0,263.0,277.0,319.0,,,False,,False
8459.8,GAS,10,50.0,97.04,25.51,29.456,42.074,2.0,HARD,40.0,True,Alpine,1,6.0,True,279.0,268.0,275.0,328.0,,,False,,False
8556.553,GAS,10,51.0,96.753,25.517,29.221,42.015,2.0,HARD,41.0,True,Alpine,1,6.0,True,277.0,263.0,276.0,312.0,,,False,,False
