Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
1046.863,NOR,1,1.0,,,47.991,28.662,1.0,MEDIUM,1.0,True,McLaren,671,,False,255.0,264.0,,140.0,906.027,1045.417,False,,False
2301.611,NOR,1,2.0,,,45.227,21.57,2.0,MEDIUM,2.0,False,McLaren,1,,False,269.0,255.0,268.0,254.0,2178.187,,False,,False
2396.206,NOR,1,3.0,94.595,33.696,42.133,18.766,2.0,MEDIUM,3.0,False,McLaren,1,,True,267.0,312.0,254.0,273.0,,,True,TRACK LIMITS AT TURN 14 LAP 4 ,False
2520.827,NOR,1,4.0,124.621,43.813,56.858,23.95,2.0,MEDIUM,4.0,False,McLaren,1,,True,173.0,270.0,269.0,174.0,,,False,,False
2613.978,NOR,1,5.0,93.151,33.658,41.167,18.326,2.0,MEDIUM,5.0,False,McLaren,1,,True,264.0,312.0,253.0,273.0,,,False,,False
2756.113,NOR,1,6.0,142.135,47.169,60.13,34.836,2.0,MEDIUM,6.0,False,McLaren,1,,True,204.0,234.0,270.0,155.0,,,False,,False
2860.563,NOR,1,7.0,104.45,33.783,50.633,20.034,2.0,MEDIUM,7.0,False,McLaren,1,,True,270.0,272.0,277.0,259.0,,,False,,False
2953.08,NOR,1,8.0,92.517,33.186,41.156,18.175,2.0,MEDIUM,8.0,False,McLaren,1,,True,266.0,311.0,255.0,272.0,,,False,,False
3076.412,NOR,1,9.0,123.332,43.66,59.129,20.543,2.0,MEDIUM,9.0,False,McLaren,1,,True,206.0,266.0,267.0,256.0,,,False,,False
3168.688,NOR,1,10.0,92.276,33.237,40.939,18.1,2.0,MEDIUM,10.0,False,McLaren,1,,True,270.0,316.0,257.0,273.0,,,False,,False
3283.039,NOR,1,11.0,114.351,43.365,48.711,22.275,2.0,MEDIUM,11.0,False,McLaren,1,,False,260.0,278.0,,260.0,,3281.654,False,,False
3852.335,NOR,1,12.0,,,43.287,24.995,3.0,SOFT,1.0,True,McLaren,1,,False,260.0,283.0,250.0,249.0,3745.83,,False,,False
3961.491,NOR,1,13.0,109.156,35.012,52.158,21.986,3.0,SOFT,2.0,True,McLaren,1,,True,238.0,282.0,250.0,229.0,,,False,,False
4053.289,NOR,1,14.0,91.798,33.176,40.719,17.903,3.0,SOFT,3.0,True,McLaren,1,,True,269.0,318.0,261.0,277.0,,,False,,False
4167.565,NOR,1,15.0,114.276,43.014,50.422,20.84,3.0,SOFT,4.0,True,McLaren,1,,True,249.0,263.0,260.0,229.0,,,False,,False
4261.92,NOR,1,16.0,94.355,34.361,41.811,18.183,3.0,SOFT,5.0,True,McLaren,1,,True,268.0,315.0,280.0,276.0,,,False,,False
4356.426,NOR,1,17.0,94.506,34.452,41.776,18.278,3.0,SOFT,6.0,True,McLaren,1,,True,258.0,317.0,284.0,281.0,,,False,,False
4450.152,NOR,1,18.0,93.726,33.962,41.641,18.123,3.0,SOFT,7.0,True,McLaren,1,,True,260.0,318.0,280.0,279.0,,,False,,False
4544.117,NOR,1,19.0,93.965,34.101,41.789,18.075,3.0,SOFT,8.0,True,McLaren,1,,True,259.0,314.0,279.0,276.0,,,False,,False
4672.375,NOR,1,20.0,128.258,43.567,55.643,29.048,3.0,SOFT,9.0,True,McLaren,1,,False,217.0,201.0,,188.0,,4670.982,False,,False
1112.418,VER,3,1.0,,,55.171,27.834,1.0,MEDIUM,1.0,True,Red Bull Racing,1,,False,242.0,83.0,266.0,233.0,993.191,,False,,False
1206.507,VER,3,2.0,94.089,34.236,41.805,18.048,1.0,MEDIUM,2.0,True,Red Bull Racing,1,,True,269.0,337.0,270.0,290.0,,,False,,False
1323.743,VER,3,3.0,117.236,45.614,50.459,21.163,1.0,MEDIUM,3.0,True,Red Bull Racing,1,,True,233.0,274.0,270.0,236.0,,,False,,False
1417.105,VER,3,4.0,93.362,33.611,41.768,17.983,1.0,MEDIUM,4.0,True,Red Bull Racing,1,,True,270.0,331.0,261.0,287.0,,,False,,False
1531.216,VER,3,5.0,114.111,41.522,48.592,23.997,1.0,MEDIUM,5.0,True,Red Bull Racing,1,,False,239.0,274.0,,250.0,,1529.973,False,,False
1679.885,VER,3,6.0,148.669,81.516,45.821,21.332,2.0,MEDIUM,6.0,False,Red Bull Racing,1,,False,250.0,266.0,268.0,255.0,1572.59,,False,,False
1773.177,VER,3,7.0,93.292,33.869,41.38,18.043,2.0,MEDIUM,7.0,False,Red Bull Racing,1,,True,270.0,330.0,269.0,285.0,,,False,,False
1883.415,VER,3,8.0,110.238,39.606,47.127,23.505,2.0,MEDIUM,8.0,False,Red Bull Racing,1,,False,241.0,278.0,,255.0,,1882.129,False,,False
