Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
1136.639,ANT,12,1.0,,,44.711,20.281,1.0,SOFT,1.0,True,Mercedes,1,,False,259.0,262.0,259.0,250.0,1036.403,,False,,False
1226.674,ANT,12,2.0,90.035,32.388,39.93,17.717,1.0,SOFT,2.0,True,Mercedes,1,,True,280.0,326.0,265.0,280.0,,,False,,False
1342.98,ANT,12,3.0,116.306,42.15,48.389,25.767,1.0,SOFT,3.0,True,Mercedes,1,,False,148.0,284.0,,222.0,,1340.013,False,,False
2295.372,ANT,12,4.0,,,43.804,20.719,2.0,SOFT,4.0,False,Mercedes,1,,False,258.0,250.0,258.0,251.0,2196.271,,False,,False
2385.146,ANT,12,5.0,89.774,32.351,39.788,17.635,2.0,SOFT,5.0,False,Mercedes,1,,True,279.0,325.0,263.0,281.0,,,False,,False
2492.918,ANT,12,6.0,107.772,42.576,43.487,21.709,2.0,SOFT,6.0,False,Mercedes,1,,False,268.0,282.0,,269.0,,2491.619,False,,False
3027.624,ANT,12,7.0,,,48.662,23.169,3.0,SOFT,1.0,True,Mercedes,1,,False,259.0,273.0,248.0,265.0,2907.717,,False,,False
3116.672,ANT,12,8.0,89.048,32.178,39.398,17.472,3.0,SOFT,2.0,True,Mercedes,1,,True,280.0,328.0,265.0,282.0,,,False,,False
3228.895,ANT,12,9.0,112.223,40.596,45.482,26.145,3.0,SOFT,3.0,True,Mercedes,1,,False,255.0,285.0,,215.0,,3227.563,False,,False
3633.522,ANT,12,10.0,,,43.372,20.478,4.0,SOFT,1.0,True,Mercedes,1,,False,257.0,266.0,256.0,257.0,3535.524,,False,,False
3722.3,ANT,12,11.0,88.778,31.855,39.439,17.484,4.0,SOFT,2.0,True,Mercedes,1,,True,280.0,328.0,267.0,282.0,,,False,,False
3827.979,ANT,12,12.0,105.679,39.973,43.525,22.181,4.0,SOFT,3.0,True,Mercedes,1,,False,264.0,284.0,,269.0,,3826.587,False,,False
4170.558,ANT,12,13.0,,,43.496,20.153,5.0,SOFT,1.0,True,Mercedes,1,,False,259.0,263.0,261.0,252.0,4073.436,,False,,False
4259.397,ANT,12,14.0,88.839,31.827,39.548,17.464,5.0,SOFT,2.0,True,Mercedes,1,,True,280.0,328.0,265.0,282.0,,,False,,False
4375.859,ANT,12,15.0,116.462,40.038,45.332,31.092,5.0,SOFT,3.0,True,Mercedes,1,,False,261.0,227.0,,184.0,,4373.144,False,,False
1156.211,RUS,63,1.0,,,45.084,20.846,1.0,SOFT,1.0,True,Mercedes,1,,False,259.0,252.0,249.0,251.0,1052.287,,False,,False
1246.842,RUS,63,2.0,90.631,32.723,40.067,17.841,1.0,SOFT,2.0,True,Mercedes,1,,True,277.0,327.0,256.0,282.0,,,False,,False
1367.059,RUS,63,3.0,120.217,44.557,51.323,24.337,1.0,SOFT,3.0,True,Mercedes,1,,False,260.0,274.0,,261.0,,1365.718,False,,False
1584.837,RUS,63,4.0,,,44.377,21.248,2.0,SOFT,4.0,False,Mercedes,1,,False,251.0,249.0,247.0,249.0,1480.334,,False,,False
1674.804,RUS,63,5.0,89.967,32.443,39.791,17.733,2.0,SOFT,5.0,False,Mercedes,1,,True,279.0,326.0,256.0,281.0,,,False,,False
1794.484,RUS,63,6.0,119.68,46.872,47.528,25.28,2.0,SOFT,6.0,False,Mercedes,1,,False,132.0,278.0,,229.0,,1793.049,False,,False
2303.07,RUS,63,7.0,,,44.004,20.165,3.0,SOFT,7.0,False,Mercedes,1,,False,251.0,249.0,245.0,250.0,2201.73,,False,,False
2393.187,RUS,63,8.0,90.117,32.446,39.859,17.812,3.0,SOFT,8.0,False,Mercedes,1,,True,279.0,327.0,255.0,282.0,,,False,,False
2505.853,RUS,63,9.0,112.666,41.997,47.108,23.561,3.0,SOFT,9.0,False,Mercedes,1,,False,165.0,278.0,,265.0,,2504.491,False,,False
2710.501,RUS,63,10.0,,,44.259,20.204,4.0,SOFT,1.0,True,Mercedes,1,,False,254.0,249.0,249.0,250.0,2611.793,,False,,False
2800.268,RUS,63,11.0,89.767,32.165,39.769,17.833,4.0,SOFT,2.0,True,Mercedes,1,,True,281.0,325.0,255.0,280.0,,,False,,False
2925.158,RUS,63,12.0,124.89,47.78,52.771,24.339,4.0,SOFT,3.0,True,Mercedes,1,,True,259.0,287.0,106.0,229.0,,,False,,False
3046.734,RUS,63,13.0,121.576,49.785,52.237,19.554,4.0,SOFT,4.0,True,Mercedes,1,,True,262.0,275.0,250.0,267.0,,,False,,False
3136.42,RUS,63,14.0,89.686,32.264,39.715,17.707,4.0,SOFT,5.0,True,Mercedes,1,,True,278.0,329.0,257.0,281.0,,,False,,False
3241.584,RUS,63,15.0,105.164,37.646,44.568,22.95,4.0,SOFT,6.0,True,Mercedes,1,,False,264.0,279.0,,265.0,,3240.24,False,,False
3639.612,RUS,63,16.0,,,43.881,20.005,5.0,SOFT,1.0,True,Mercedes,1,,False,250.0,252.0,250.0,251.0,3541.89,,False,,False
3728.688,RUS,63,17.0,89.076,31.853,39.607,17.616,5.0,SOFT,2.0,True,Mercedes,1,,True,278.0,328.0,260.0,282.0,,,False,,False
3837.644,RUS,63,18.0,108.956,40.876,44.895,23.185,5.0,SOFT,3.0,True,Mercedes,1,,False,266.0,280.0,,266.0,,3836.309,False,,False
4177.246,RUS,63,19.0,,,43.456,20.458,6.0,SOFT,1.0,True,Mercedes,1,,False,251.0,251.0,252.0,250.0,4078.507,,False,,False
4266.441,RUS,63,20.0,89.195,31.782,39.643,17.77,6.0,SOFT,2.0,True,Mercedes,1,,True,278.0,324.0,259.0,281.0,,,False,,False
4393.798,RUS,63,21.0,127.357,47.089,51.41,28.858,6.0,SOFT,3.0,True,Mercedes,1,,False,218.0,241.0,,208.0,,4391.614,False,,False
986.034,PIA,81,1.0,,,45.516,20.191,1.0,SOFT,1.0,True,McLaren,1,,False,260.0,252.0,261.0,254.0,882.634,,False,,False
1076.472,PIA,81,2.0,90.438,32.546,40.03,17.862,1.0,SOFT,2.0,True,McLaren,1,,True,276.0,323.0,260.0,281.0,,,False,,False
1198.97,PIA,81,3.0,122.498,49.063,52.799,20.636,1.0,SOFT,3.0,True,McLaren,1,,True,219.0,242.0,264.0,236.0,,,False,,False
1289.294,PIA,81,4.0,90.324,32.578,39.943,17.803,1.0,SOFT,4.0,True,McLaren,1,,True,276.0,325.0,258.0,282.0,,,False,,False
1407.244,PIA,81,5.0,117.95,41.696,49.286,26.968,1.0,SOFT,5.0,True,McLaren,1,,False,235.0,233.0,,205.0,,1405.234,False,,False
1761.405,PIA,81,6.0,,,48.513,24.692,2.0,SOFT,6.0,False,McLaren,1,,False,161.0,249.0,264.0,252.0,1646.153,,False,,False
1851.605,PIA,81,7.0,90.2,32.604,39.788,17.808,2.0,SOFT,7.0,False,McLaren,1,,True,277.0,325.0,257.0,283.0,,,False,,False
1964.703,PIA,81,8.0,113.098,39.822,48.063,25.213,2.0,SOFT,8.0,False,McLaren,1,,False,237.0,255.0,,225.0,,1963.224,False,,False
2451.981,PIA,81,9.0,,,48.375,21.501,3.0,SOFT,1.0,True,McLaren,1,,False,260.0,239.0,263.0,239.0,2343.823,,False,,False
2541.432,PIA,81,10.0,89.451,32.131,39.743,17.577,3.0,SOFT,2.0,True,McLaren,1,,True,275.0,324.0,266.0,283.0,,,False,,False
2656.831,PIA,81,11.0,115.399,42.173,48.365,24.861,3.0,SOFT,3.0,True,McLaren,1,,False,235.0,227.0,,216.0,,2655.38,False,,False
2946.342,PIA,81,12.0,,,44.867,23.814,4.0,SOFT,4.0,False,McLaren,1,,False,257.0,197.0,266.0,156.0,2831.674,,False,,False
3036.171,PIA,81,13.0,89.829,32.439,39.772,17.618,4.0,SOFT,5.0,False,McLaren,1,,True,276.0,327.0,259.0,285.0,,,False,,False
3150.75,PIA,81,14.0,114.579,39.359,50.368,24.852,4.0,SOFT,6.0,False,McLaren,1,,False,266.0,251.0,,217.0,,3149.357,False,,False
3691.001,PIA,81,15.0,,,44.342,19.942,5.0,SOFT,1.0,True,McLaren,1,,False,258.0,256.0,264.0,256.0,3590.361,,False,,False
3780.133,PIA,81,16.0,89.132,31.963,39.557,17.612,5.0,SOFT,2.0,True,McLaren,1,,True,275.0,321.0,267.0,283.0,,,False,,False
3892.478,PIA,81,17.0,112.345,40.022,48.187,24.136,5.0,SOFT,3.0,True,McLaren,1,,False,242.0,240.0,,227.0,,3891.071,False,,False
4195.438,PIA,81,18.0,,,44.694,19.837,6.0,SOFT,1.0,True,McLaren,1,,False,261.0,254.0,266.0,256.0,4087.029,,False,,False
4284.636,PIA,81,19.0,89.198,31.954,39.657,17.587,6.0,SOFT,2.0,True,McLaren,1,,True,275.0,322.0,266.0,283.0,,,False,,False
4403.181,PIA,81,20.0,118.545,41.77,48.504,28.271,6.0,SOFT,3.0,True,McLaren,1,,False,218.0,258.0,,218.0,,4401.273,False,,False
1032.333,LEC,16,1.0,,,46.142,24.209,1.0,SOFT,1.0,True,Ferrari,1,,False,270.0,272.0,265.0,257.0,919.555,,False,,False
1122.411,LEC,16,2.0,90.078,32.378,40.032,17.668,1.0,SOFT,2.0,True,Ferrari,1,,True,281.0,331.0,250.0,285.0,,,False,,False
