Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
3922.17,NOR,1,1.0,97.206,,42.011,18.104,1.0,MEDIUM,1.0,True,McLaren,1,3.0,False,289.0,323.0,279.0,283.0,,,False,,False
4017.075,NOR,1,2.0,94.905,34.856,42.12,17.929,1.0,MEDIUM,2.0,True,McLaren,1,3.0,True,260.0,337.0,269.0,294.0,,,False,,False
4113.376,NOR,1,3.0,96.301,36.026,42.108,18.167,1.0,MEDIUM,3.0,True,McLaren,1,4.0,True,261.0,323.0,280.0,286.0,,,False,,False
4208.827,NOR,1,4.0,95.451,35.147,42.19,18.114,1.0,MEDIUM,4.0,True,McLaren,1,4.0,True,255.0,319.0,280.0,284.0,,,False,,False
4303.997,NOR,1,5.0,95.17,34.925,42.206,18.039,1.0,MEDIUM,5.0,True,McLaren,1,4.0,True,258.0,322.0,278.0,286.0,,,False,,False
4399.048,NOR,1,6.0,95.051,34.901,42.063,18.087,1.0,MEDIUM,6.0,True,McLaren,1,4.0,True,260.0,325.0,281.0,288.0,,,False,,False
4494.093,NOR,1,7.0,95.045,34.741,42.156,18.148,1.0,MEDIUM,7.0,True,McLaren,1,4.0,True,258.0,324.0,279.0,288.0,,,False,,False
4589.34,NOR,1,8.0,95.247,34.769,42.234,18.244,1.0,MEDIUM,8.0,True,McLaren,1,4.0,True,259.0,326.0,282.0,290.0,,,False,,False
4685.012,NOR,1,9.0,95.672,35.184,42.166,18.322,1.0,MEDIUM,9.0,True,McLaren,1,4.0,True,258.0,325.0,281.0,290.0,,,False,,False
4780.24,NOR,1,10.0,95.228,34.968,42.231,18.029,1.0,MEDIUM,10.0,True,McLaren,1,4.0,True,258.0,326.0,281.0,289.0,,,False,,False
4876.459,NOR,1,11.0,96.219,35.055,42.309,18.855,1.0,MEDIUM,11.0,True,McLaren,1,5.0,True,258.0,323.0,280.0,286.0,,,False,,False
4971.916,NOR,1,12.0,95.457,35.369,42.136,17.952,1.0,MEDIUM,12.0,True,McLaren,1,5.0,True,258.0,327.0,279.0,288.0,,,False,,False
5066.995,NOR,1,13.0,95.079,35.0,42.106,17.973,1.0,MEDIUM,13.0,True,McLaren,1,5.0,True,261.0,326.0,279.0,287.0,,,False,,False
