Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
195.927,NOR,1,1.0,,,46.513,34.939,1.0,HARD,1.0,True,McLaren,1,,False,188.0,96.0,262.0,140.0,78.191,,False,,False
287.868,NOR,1,2.0,91.941,31.583,34.614,25.744,1.0,HARD,2.0,True,McLaren,1,,True,214.0,191.0,259.0,311.0,,,False,,False
448.87,NOR,1,3.0,,50.099,68.67,42.351,1.0,HARD,3.0,True,McLaren,1,,False,136.0,60.0,261.0,86.0,,,False,,False
539.558,NOR,1,4.0,90.688,31.012,34.167,25.509,1.0,HARD,4.0,True,McLaren,1,,True,213.0,190.0,260.0,309.0,,,False,,False
695.846,NOR,1,5.0,,53.365,57.942,44.859,1.0,HARD,5.0,True,McLaren,1,,False,127.0,87.0,246.0,230.0,,,False,,False
786.695,NOR,1,6.0,90.849,31.215,34.219,25.415,1.0,HARD,6.0,True,McLaren,12,,True,217.0,190.0,258.0,307.0,,,False,,False
940.899,NOR,1,7.0,,49.367,65.986,38.889,1.0,HARD,7.0,True,McLaren,1,,False,124.0,83.0,262.0,257.0,,,False,,False
1031.234,NOR,1,8.0,90.335,30.899,34.075,25.361,1.0,HARD,8.0,True,McLaren,1,,True,213.0,191.0,260.0,308.0,,,False,,False
1146.498,NOR,1,9.0,115.264,36.736,41.712,36.816,1.0,HARD,9.0,True,McLaren,1,,False,186.0,154.0,,250.0,,1140.686,False,,False
1915.948,NOR,1,10.0,,,42.904,32.698,2.0,HARD,10.0,False,McLaren,1,,False,169.0,140.0,263.0,235.0,1771.461,,False,,False
2034.775,NOR,1,11.0,118.827,35.871,49.791,33.165,2.0,HARD,11.0,False,McLaren,1,,True,133.0,101.0,263.0,272.0,,,False,,False
2160.275,NOR,1,12.0,125.5,37.505,46.289,41.706,2.0,HARD,12.0,False,McLaren,1,,True,165.0,100.0,264.0,228.0,,,False,,False
2250.483,NOR,1,13.0,90.208,30.905,33.873,25.43,2.0,HARD,13.0,False,McLaren,1,,True,215.0,191.0,258.0,315.0,,,False,,False
2385.731,NOR,1,14.0,135.248,50.586,53.554,31.108,2.0,HARD,14.0,False,McLaren,1,,True,128.0,122.0,267.0,271.0,,,False,,False
2478.158,NOR,1,15.0,92.427,30.684,34.007,27.736,2.0,HARD,15.0,False,McLaren,1,,True,216.0,190.0,240.0,312.0,,,False,,False
2602.41,NOR,1,16.0,124.252,46.968,41.636,35.648,2.0,HARD,16.0,False,McLaren,1,,False,131.0,170.0,,212.0,,2596.54,False,,False
3345.924,NOR,1,17.0,,,42.511,27.415,3.0,HARD,17.0,False,McLaren,1,,False,201.0,168.0,287.0,262.0,3222.472,,False,,False
3439.169,NOR,1,18.0,93.245,31.98,35.104,26.161,3.0,HARD,18.0,False,McLaren,1,,True,210.0,185.0,268.0,303.0,,,False,,False
3533.429,NOR,1,19.0,94.26,32.401,35.132,26.727,3.0,HARD,19.0,False,McLaren,1,,True,210.0,183.0,268.0,299.0,,,False,,False
3628.057,NOR,1,20.0,94.628,32.915,35.545,26.168,3.0,HARD,20.0,False,McLaren,1,,True,206.0,184.0,263.0,311.0,,,False,,False
3722.957,NOR,1,21.0,94.9,32.763,35.712,26.425,3.0,HARD,21.0,False,McLaren,1,,True,210.0,183.0,276.0,303.0,,,True,TRACK LIMITS AT TURN 11 LAP 22 ,False
3817.074,NOR,1,22.0,94.117,32.698,35.278,26.141,3.0,HARD,22.0,False,McLaren,1,,True,210.0,183.0,270.0,308.0,,,False,,False
3911.199,NOR,1,23.0,94.125,32.729,35.302,26.094,3.0,HARD,23.0,False,McLaren,1,,True,209.0,182.0,273.0,308.0,,,False,,False
4005.596,NOR,1,24.0,94.397,32.751,35.476,26.17,3.0,HARD,24.0,False,McLaren,1,,True,209.0,183.0,268.0,307.0,,,False,,False
4100.287,NOR,1,25.0,94.691,32.931,35.528,26.232,3.0,HARD,25.0,False,McLaren,1,,True,207.0,183.0,273.0,309.0,,,False,,False
4203.376,NOR,1,26.0,103.089,32.908,35.278,34.903,3.0,HARD,26.0,False,McLaren,1,,False,209.0,182.0,,242.0,,4196.862,False,,False
4907.729,NOR,1,27.0,,,40.11,34.935,4.0,SOFT,1.0,True,McLaren,1,,False,189.0,101.0,266.0,268.0,4791.949,,False,,False
5002.168,NOR,1,28.0,94.439,30.478,33.896,30.065,4.0,SOFT,2.0,True,McLaren,1,,True,216.0,191.0,155.0,323.0,,,True,TRACK LIMITS AT TURN 17 LAP 29 ,False
5134.888,NOR,1,29.0,132.72,46.753,50.725,35.242,4.0,SOFT,3.0,True,McLaren,1,,True,117.0,126.0,163.0,222.0,,,False,,False
5260.574,NOR,1,30.0,125.686,45.295,49.368,31.023,4.0,SOFT,4.0,True,McLaren,1,,True,141.0,128.0,266.0,259.0,,,True,TRACK LIMITS AT TURN 19 LAP 31 ,False
5391.622,NOR,1,31.0,131.048,38.142,46.488,46.418,4.0,SOFT,5.0,True,McLaren,1,,True,187.0,140.0,256.0,101.0,,,False,,False
5481.931,NOR,1,32.0,90.309,31.419,33.738,25.152,4.0,SOFT,6.0,True,McLaren,1,,True,218.0,192.0,257.0,314.0,,,False,,False
5620.873,NOR,1,33.0,138.942,39.673,47.612,51.657,4.0,SOFT,7.0,True,McLaren,12,,True,161.0,135.0,46.0,133.0,,,False,,False
5782.433,NOR,1,34.0,,73.176,47.149,41.275,4.0,SOFT,8.0,True,McLaren,1,,False,165.0,169.0,50.0,177.0,,,False,,False
5936.62,NOR,1,35.0,,68.506,46.794,38.698,4.0,SOFT,9.0,True,McLaren,1,,False,190.0,170.0,,233.0,,5928.922,False,,False
206.542,VER,3,1.0,,,42.342,35.125,1.0,HARD,1.0,True,Red Bull Racing,1,,False,192.0,152.0,260.0,178.0,88.069,,False,,False
298.564,VER,3,2.0,92.022,32.29,34.39,25.342,1.0,HARD,2.0,True,Red Bull Racing,1,,True,216.0,190.0,260.0,319.0,,,False,,False
440.031,VER,3,3.0,141.467,46.691,56.281,38.495,1.0,HARD,3.0,True,Red Bull Racing,1,,True,134.0,63.0,255.0,208.0,,,False,,False
531.74,VER,3,4.0,91.709,31.652,34.594,25.463,1.0,HARD,4.0,True,Red Bull Racing,1,,True,217.0,189.0,266.0,316.0,,,False,,False
675.148,VER,3,5.0,143.408,51.212,47.27,44.926,1.0,HARD,5.0,True,Red Bull Racing,1,,True,136.0,146.0,254.0,216.0,,,False,,False
766.195,VER,3,6.0,91.047,31.495,34.221,25.331,1.0,HARD,6.0,True,Red Bull Racing,1,,True,220.0,190.0,264.0,316.0,,,False,,False
873.957,VER,3,7.0,107.762,34.678,38.885,34.199,1.0,HARD,7.0,True,Red Bull Racing,12,,False,200.0,169.0,,285.0,,868.606,False,,False
1430.637,VER,3,8.0,,,39.387,30.737,2.0,MEDIUM,1.0,True,Red Bull Racing,1,,False,191.0,171.0,254.0,247.0,1327.337,,False,,False
1521.102,VER,3,9.0,90.465,31.227,34.082,25.156,2.0,MEDIUM,2.0,True,Red Bull Racing,1,,True,217.0,191.0,268.0,314.0,,,False,,False
1647.784,VER,3,10.0,126.682,47.306,43.0,36.376,2.0,MEDIUM,3.0,True,Red Bull Racing,1,,False,146.0,155.0,,236.0,,1642.195,False,,False
1778.94,VER,3,11.0,131.156,58.161,41.467,31.528,3.0,MEDIUM,4.0,False,Red Bull Racing,1,,False,160.0,166.0,253.0,252.0,1669.521,,False,,False
1869.501,VER,3,12.0,90.561,31.183,34.128,25.25,3.0,MEDIUM,5.0,False,Red Bull Racing,1,,True,217.0,192.0,259.0,313.0,,,False,,False
1981.735,VER,3,13.0,112.234,36.593,40.44,35.201,3.0,MEDIUM,6.0,False,Red Bull Racing,1,,False,192.0,170.0,,243.0,,1976.17,False,,False
2588.193,VER,3,14.0,,,35.556,28.574,4.0,MEDIUM,7.0,False,Red Bull Racing,1,,False,197.0,177.0,247.0,267.0,2464.996,,False,,False
2681.449,VER,3,15.0,93.256,32.276,34.743,26.237,4.0,MEDIUM,8.0,False,Red Bull Racing,1,,True,217.0,174.0,264.0,306.0,,,False,,False
2774.638,VER,3,16.0,93.189,32.456,34.9,25.833,4.0,MEDIUM,9.0,False,Red Bull Racing,1,,True,215.0,186.0,268.0,307.0,,,False,,False
2869.053,VER,3,17.0,94.415,32.434,35.448,26.533,4.0,MEDIUM,10.0,False,Red Bull Racing,1,,True,214.0,172.0,259.0,298.0,,,True,TRACK LIMITS AT TURN 15 LAP 18 ,False
2962.625,VER,3,18.0,93.572,32.468,35.091,26.013,4.0,MEDIUM,11.0,False,Red Bull Racing,1,,True,216.0,180.0,267.0,309.0,,,False,,False
3056.273,VER,3,19.0,93.648,32.268,35.305,26.075,4.0,MEDIUM,12.0,False,Red Bull Racing,1,,True,214.0,182.0,278.0,312.0,,,False,,False
3150.201,VER,3,20.0,93.928,33.186,35.059,25.683,4.0,MEDIUM,13.0,False,Red Bull Racing,1,,True,214.0,185.0,270.0,314.0,,,False,,False
