Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
959.631,LEC,16,1.0,,,43.21,30.233,1.0,MEDIUM,1.0,True,Ferrari,1,,False,193.0,168.0,254.0,257.0,837.759,,False,,False
1048.921,LEC,16,2.0,89.29,30.401,33.839,25.05,1.0,MEDIUM,2.0,True,Ferrari,12,,True,220.0,192.0,253.0,326.0,,,False,,False
1169.656,LEC,16,3.0,120.735,42.075,44.329,34.331,1.0,MEDIUM,3.0,True,Ferrari,1,,True,165.0,136.0,167.0,172.0,,,False,,False
1293.044,LEC,16,4.0,123.388,45.733,47.413,30.242,1.0,MEDIUM,4.0,True,Ferrari,12,,True,164.0,129.0,249.0,259.0,,,True,DOUBLE YELLOW AT TURN 19,False
1381.777,LEC,16,5.0,88.733,30.318,33.566,24.849,1.0,MEDIUM,5.0,True,Ferrari,1,,True,219.0,192.0,258.0,325.0,,,False,,False
1498.276,LEC,16,6.0,116.499,39.163,41.761,35.575,1.0,MEDIUM,6.0,True,Ferrari,1,,False,175.0,130.0,,243.0,,1492.726,False,,False
2019.236,LEC,16,7.0,,,42.468,31.109,2.0,MEDIUM,1.0,True,Ferrari,1,,False,195.0,114.0,252.0,271.0,1904.942,,False,,False
2107.706,LEC,16,8.0,88.47,29.935,33.771,24.764,2.0,MEDIUM,2.0,True,Ferrari,1,,True,222.0,194.0,259.0,323.0,,,False,,False
2230.87,LEC,16,9.0,123.164,42.229,44.501,36.434,2.0,MEDIUM,3.0,True,Ferrari,1,,True,173.0,141.0,128.0,170.0,,,False,,False
2356.621,LEC,16,10.0,125.751,49.524,45.934,30.293,2.0,MEDIUM,4.0,True,Ferrari,1,,True,167.0,136.0,248.0,262.0,,,False,,False
2444.954,LEC,16,11.0,88.333,29.967,33.556,24.81,2.0,MEDIUM,5.0,True,Ferrari,1,,True,223.0,194.0,258.0,328.0,,,False,,False
2570.749,LEC,16,12.0,125.795,39.367,44.491,41.937,2.0,MEDIUM,6.0,True,Ferrari,1,,False,180.0,146.0,,154.0,,2564.923,False,,False
3218.213,LEC,16,13.0,,,40.366,29.157,3.0,SOFT,1.0,True,Ferrari,1,,False,191.0,166.0,253.0,275.0,3111.135,,False,,False
3306.452,LEC,16,14.0,88.239,29.674,33.761,24.804,3.0,SOFT,2.0,True,Ferrari,1,,True,223.0,193.0,260.0,325.0,,,False,,False
3429.495,LEC,16,15.0,,38.594,44.866,,3.0,SOFT,3.0,True,Ferrari,1,,False,177.0,156.0,,123.0,,3429.495,False,,False
1005.895,VER,3,1.0,,,45.718,35.135,1.0,MEDIUM,1.0,True,Red Bull Racing,12,,False,190.0,64.0,256.0,110.0,883.15,,False,,False
1095.696,VER,3,2.0,89.801,30.88,33.922,24.999,1.0,MEDIUM,2.0,True,Red Bull Racing,21,,True,224.0,193.0,259.0,322.0,,,False,,False
1222.053,VER,3,3.0,126.357,46.518,43.124,36.715,1.0,MEDIUM,3.0,True,Red Bull Racing,12,,False,160.0,170.0,,235.0,,1216.583,False,,False
2001.389,VER,3,4.0,,,39.898,34.058,2.0,MEDIUM,1.0,True,Red Bull Racing,1,,False,197.0,168.0,257.0,230.0,1879.275,,False,,False
2090.482,VER,3,5.0,89.093,30.477,33.715,24.901,2.0,MEDIUM,2.0,True,Red Bull Racing,1,,True,224.0,193.0,259.0,325.0,,,False,,False
2211.979,VER,3,6.0,121.497,44.315,46.319,30.863,2.0,MEDIUM,3.0,True,Red Bull Racing,1,,True,153.0,99.0,259.0,280.0,,,False,,False
2337.786,VER,3,7.0,125.807,48.37,42.74,34.697,2.0,MEDIUM,4.0,True,Red Bull Racing,1,,True,163.0,143.0,253.0,218.0,,,False,,False
2426.978,VER,3,8.0,89.192,30.593,33.637,24.962,2.0,MEDIUM,5.0,True,Red Bull Racing,1,,True,224.0,193.0,257.0,327.0,,,False,,False
2539.026,VER,3,9.0,112.048,36.426,41.19,34.432,2.0,MEDIUM,6.0,True,Red Bull Racing,1,,False,203.0,169.0,,240.0,,2533.527,False,,False
3256.181,VER,3,10.0,,,39.612,31.016,3.0,SOFT,1.0,True,Red Bull Racing,1,,False,197.0,162.0,260.0,254.0,3143.988,,False,,False
3344.642,VER,3,11.0,88.461,30.206,33.605,24.65,3.0,SOFT,2.0,True,Red Bull Racing,1,,True,225.0,194.0,263.0,327.0,,,False,,False
3460.873,VER,3,12.0,,38.694,44.33,,3.0,SOFT,3.0,True,Red Bull Racing,1,,False,174.0,150.0,,253.0,,3460.873,False,,False
951.578,PIA,81,1.0,,,41.199,31.554,1.0,MEDIUM,1.0,True,McLaren,1,,False,193.0,156.0,251.0,178.0,834.068,,False,,False
1047.955,PIA,81,2.0,96.377,30.926,33.939,31.512,1.0,MEDIUM,2.0,True,McLaren,12,,True,219.0,191.0,141.0,304.0,,,False,,False
1174.568,PIA,81,3.0,126.613,45.371,46.233,35.009,1.0,MEDIUM,3.0,True,McLaren,12,,True,152.0,109.0,249.0,183.0,,,False,,False
