Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
2745.655,NOR,1,1.0,,,34.285,25.979,1.0,MEDIUM,1.0,True,McLaren,1,1.0,False,214.0,188.0,276.0,295.0,,,False,,False
2838.229,NOR,1,2.0,92.574,31.618,34.972,25.984,1.0,MEDIUM,2.0,True,McLaren,1,1.0,True,216.0,185.0,270.0,299.0,,,False,,False
2930.412,NOR,1,3.0,92.183,31.634,34.77,25.779,1.0,MEDIUM,3.0,True,McLaren,1,1.0,True,216.0,188.0,273.0,300.0,,,False,,False
3023.012,NOR,1,4.0,92.6,31.657,35.077,25.866,1.0,MEDIUM,4.0,True,McLaren,1,1.0,True,217.0,183.0,274.0,299.0,,,False,,False
3115.597,NOR,1,5.0,92.585,31.861,34.863,25.861,1.0,MEDIUM,5.0,True,McLaren,1,1.0,True,216.0,186.0,276.0,299.0,,,False,,False
3207.526,NOR,1,6.0,91.929,31.692,34.668,25.569,1.0,MEDIUM,6.0,True,McLaren,1,1.0,True,214.0,187.0,281.0,301.0,,,False,,False
3299.672,NOR,1,7.0,92.146,31.804,34.722,25.62,1.0,MEDIUM,7.0,True,McLaren,1,1.0,True,216.0,186.0,279.0,300.0,,,False,,False
3391.916,NOR,1,8.0,92.244,31.674,34.872,25.698,1.0,MEDIUM,8.0,True,McLaren,1,1.0,True,213.0,185.0,278.0,301.0,,,False,,False
3484.342,NOR,1,9.0,92.426,31.65,35.146,25.63,1.0,MEDIUM,9.0,True,McLaren,1,1.0,True,214.0,186.0,282.0,302.0,,,False,,False
3576.227,NOR,1,10.0,91.885,31.612,34.806,25.467,1.0,MEDIUM,10.0,True,McLaren,1,1.0,True,214.0,187.0,282.0,304.0,,,False,,False
3668.168,NOR,1,11.0,91.941,31.5,34.959,25.482,1.0,MEDIUM,11.0,True,McLaren,1,1.0,True,215.0,187.0,284.0,303.0,,,False,,False
3760.361,NOR,1,12.0,92.193,31.676,34.921,25.596,1.0,MEDIUM,12.0,True,McLaren,1,1.0,True,212.0,188.0,283.0,304.0,,,False,,False
3852.86,NOR,1,13.0,92.499,31.635,35.26,25.604,1.0,MEDIUM,13.0,True,McLaren,1,1.0,True,216.0,184.0,281.0,304.0,,,False,,False
3945.211,NOR,1,14.0,92.351,31.686,35.087,25.578,1.0,MEDIUM,14.0,True,McLaren,1,1.0,True,215.0,184.0,283.0,304.0,,,False,,False
4037.518,NOR,1,15.0,92.307,31.493,35.187,25.627,1.0,MEDIUM,15.0,True,McLaren,1,1.0,True,218.0,185.0,285.0,306.0,,,False,,False
4129.678,NOR,1,16.0,92.16,31.719,34.928,25.513,1.0,MEDIUM,16.0,True,McLaren,1,1.0,True,215.0,188.0,285.0,306.0,,,False,,False
4221.696,NOR,1,17.0,92.018,31.566,34.966,25.486,1.0,MEDIUM,17.0,True,McLaren,1,1.0,True,216.0,188.0,287.0,307.0,,,False,,False
4313.829,NOR,1,18.0,92.133,31.461,35.055,25.617,1.0,MEDIUM,18.0,True,McLaren,1,1.0,True,217.0,187.0,280.0,290.0,,,False,,False
4406.743,NOR,1,19.0,92.914,31.717,35.59,25.607,1.0,MEDIUM,19.0,True,McLaren,1,1.0,True,215.0,188.0,289.0,300.0,,,False,,False
2746.667,PIA,81,1.0,,,34.57,25.731,1.0,MEDIUM,1.0,True,McLaren,1,2.0,False,216.0,182.0,274.0,299.0,,,False,,False
2839.44,PIA,81,2.0,92.773,31.878,34.901,25.994,1.0,MEDIUM,2.0,True,McLaren,1,2.0,True,212.0,186.0,267.0,303.0,,,False,,False
2931.967,PIA,81,3.0,92.527,31.708,34.866,25.953,1.0,MEDIUM,3.0,True,McLaren,1,2.0,True,213.0,184.0,267.0,305.0,,,False,,False
3024.56,PIA,81,4.0,92.593,31.541,35.179,25.873,1.0,MEDIUM,4.0,True,McLaren,1,2.0,True,214.0,185.0,272.0,305.0,,,False,,False
3117.094,PIA,81,5.0,92.534,31.756,35.132,25.646,1.0,MEDIUM,5.0,True,McLaren,1,2.0,True,211.0,186.0,283.0,306.0,,,False,,False
3209.534,PIA,81,6.0,92.44,31.757,35.055,25.628,1.0,MEDIUM,6.0,True,McLaren,1,2.0,True,215.0,187.0,280.0,307.0,,,False,,False
3301.762,PIA,81,7.0,92.228,31.772,34.754,25.702,1.0,MEDIUM,7.0,True,McLaren,1,2.0,True,213.0,187.0,277.0,307.0,,,False,,False
3394.241,PIA,81,8.0,92.479,31.854,34.968,25.657,1.0,MEDIUM,8.0,True,McLaren,1,2.0,True,212.0,186.0,281.0,306.0,,,False,,False
3486.675,PIA,81,9.0,92.434,31.574,35.237,25.623,1.0,MEDIUM,9.0,True,McLaren,1,2.0,True,211.0,185.0,284.0,307.0,,,False,,False
3578.974,PIA,81,10.0,92.299,31.739,34.946,25.614,1.0,MEDIUM,10.0,True,McLaren,1,2.0,True,214.0,186.0,283.0,306.0,,,False,,False
3671.258,PIA,81,11.0,92.284,31.622,35.059,25.603,1.0,MEDIUM,11.0,True,McLaren,1,2.0,True,214.0,186.0,283.0,305.0,,,False,,False
3763.489,PIA,81,12.0,92.231,31.47,35.103,25.658,1.0,MEDIUM,12.0,True,McLaren,1,2.0,True,209.0,187.0,285.0,305.0,,,False,,False
3856.043,PIA,81,13.0,92.554,31.472,35.417,25.665,1.0,MEDIUM,13.0,True,McLaren,1,2.0,True,213.0,185.0,283.0,305.0,,,False,,False
3948.421,PIA,81,14.0,92.378,31.505,35.247,25.626,1.0,MEDIUM,14.0,True,McLaren,1,2.0,True,215.0,183.0,283.0,308.0,,,False,,False
4040.939,PIA,81,15.0,92.518,31.607,35.294,25.617,1.0,MEDIUM,15.0,True,McLaren,1,2.0,True,213.0,186.0,281.0,310.0,,,False,,False
4133.018,PIA,81,16.0,92.079,31.566,34.978,25.535,1.0,MEDIUM,16.0,True,McLaren,1,2.0,True,213.0,186.0,283.0,310.0,,,False,,False
4225.854,PIA,81,17.0,92.836,31.888,35.303,25.645,1.0,MEDIUM,17.0,True,McLaren,1,2.0,True,213.0,184.0,286.0,307.0,,,False,,False
4318.149,PIA,81,18.0,92.295,31.54,35.166,25.589,1.0,MEDIUM,18.0,True,McLaren,1,2.0,True,212.0,186.0,287.0,307.0,,,False,,False
4410.509,PIA,81,19.0,92.36,31.621,35.228,25.511,1.0,MEDIUM,19.0,True,McLaren,1,2.0,True,214.0,185.0,286.0,311.0,,,False,,False
2747.613,LEC,16,1.0,,,34.899,25.671,1.0,MEDIUM,1.0,True,Ferrari,1,3.0,False,217.0,188.0,287.0,290.0,,,False,,False
2840.38,LEC,16,2.0,92.767,32.236,34.865,25.666,1.0,MEDIUM,2.0,True,Ferrari,1,3.0,True,213.0,186.0,292.0,292.0,,,False,,False
2933.084,LEC,16,3.0,92.704,32.084,34.744,25.876,1.0,MEDIUM,3.0,True,Ferrari,1,3.0,True,212.0,184.0,291.0,305.0,,,False,,False
3026.151,LEC,16,4.0,93.067,32.065,35.206,25.796,1.0,MEDIUM,4.0,True,Ferrari,1,3.0,True,213.0,184.0,281.0,302.0,,,False,,False
3118.639,LEC,16,5.0,92.488,31.776,35.006,25.706,1.0,MEDIUM,5.0,True,Ferrari,1,3.0,True,212.0,185.0,284.0,304.0,,,False,,False
3210.875,LEC,16,6.0,92.236,31.734,34.968,25.534,1.0,MEDIUM,6.0,True,Ferrari,1,3.0,True,215.0,186.0,285.0,302.0,,,False,,False
3303.079,LEC,16,7.0,92.204,31.853,34.8,25.551,1.0,MEDIUM,7.0,True,Ferrari,1,3.0,True,214.0,185.0,285.0,302.0,,,False,,False
3395.5,LEC,16,8.0,92.421,31.69,35.033,25.698,1.0,MEDIUM,8.0,True,Ferrari,1,3.0,True,211.0,184.0,284.0,302.0,,,False,,False
3487.93,LEC,16,9.0,92.43,31.684,35.16,25.586,1.0,MEDIUM,9.0,True,Ferrari,1,3.0,True,210.0,182.0,288.0,301.0,,,False,,False
3580.215,LEC,16,10.0,92.285,31.748,34.953,25.584,1.0,MEDIUM,10.0,True,Ferrari,1,3.0,True,212.0,182.0,285.0,302.0,,,False,,False
3672.179,LEC,16,11.0,91.964,31.673,34.859,25.432,1.0,MEDIUM,11.0,True,Ferrari,1,3.0,True,212.0,184.0,279.0,304.0,,,False,,False
3764.481,LEC,16,12.0,92.302,31.793,35.013,25.496,1.0,MEDIUM,12.0,True,Ferrari,1,3.0,True,211.0,182.0,284.0,292.0,,,False,,False
3856.893,LEC,16,13.0,92.412,31.773,35.146,25.493,1.0,MEDIUM,13.0,True,Ferrari,1,3.0,True,215.0,178.0,284.0,299.0,,,False,,False
3949.354,LEC,16,14.0,92.461,31.983,34.934,25.544,1.0,MEDIUM,14.0,True,Ferrari,1,3.0,True,212.0,178.0,282.0,298.0,,,False,,False
4041.517,LEC,16,15.0,92.163,31.849,34.965,25.349,1.0,MEDIUM,15.0,True,Ferrari,1,3.0,True,212.0,181.0,293.0,304.0,,,False,,False
4134.263,LEC,16,16.0,92.746,31.984,35.136,25.626,1.0,MEDIUM,16.0,True,Ferrari,1,3.0,True,211.0,181.0,281.0,289.0,,,False,,False
4226.665,LEC,16,17.0,92.402,31.831,34.979,25.592,1.0,MEDIUM,17.0,True,Ferrari,1,3.0,True,212.0,181.0,286.0,314.0,,,False,,False
4319.744,LEC,16,18.0,93.079,31.853,35.412,25.814,1.0,MEDIUM,18.0,True,Ferrari,1,3.0,True,212.0,181.0,259.0,328.0,,,True,TRACK LIMITS AT TURN 11 LAP 18 ,False
4412.994,LEC,16,19.0,93.25,32.238,35.145,25.867,1.0,MEDIUM,19.0,True,Ferrari,1,3.0,True,209.0,182.0,285.0,300.0,,,False,,False
2748.948,RUS,63,1.0,,,35.166,25.753,1.0,MEDIUM,1.0,True,Mercedes,1,5.0,False,218.0,183.0,285.0,299.0,,,False,,False
2841.994,RUS,63,2.0,93.046,32.201,35.132,25.713,1.0,MEDIUM,2.0,True,Mercedes,1,5.0,True,216.0,189.0,281.0,316.0,,,False,,False
2934.652,RUS,63,3.0,92.658,32.272,34.825,25.561,1.0,MEDIUM,3.0,True,Mercedes,1,5.0,True,214.0,187.0,277.0,323.0,,,False,,False
3027.481,RUS,63,4.0,92.829,32.268,35.008,25.553,1.0,MEDIUM,4.0,True,Mercedes,1,5.0,True,214.0,185.0,283.0,322.0,,,False,,False
3120.229,RUS,63,5.0,92.748,32.329,34.976,25.443,1.0,MEDIUM,5.0,True,Mercedes,1,5.0,True,214.0,184.0,294.0,321.0,,,False,,False
3212.838,RUS,63,6.0,92.609,32.283,34.819,25.507,1.0,MEDIUM,6.0,True,Mercedes,1,5.0,True,214.0,187.0,277.0,325.0,,,False,,False
3305.314,RUS,63,7.0,92.476,32.217,34.929,25.33,1.0,MEDIUM,7.0,True,Mercedes,1,4.0,True,214.0,186.0,278.0,337.0,,,False,,False
3399.599,RUS,63,8.0,94.285,32.372,36.128,25.785,1.0,MEDIUM,8.0,True,Mercedes,1,5.0,True,213.0,184.0,280.0,306.0,,,False,,False
3492.24,RUS,63,9.0,92.641,32.184,34.982,25.475,1.0,MEDIUM,9.0,True,Mercedes,1,5.0,True,213.0,184.0,284.0,322.0,,,False,,False
3584.627,RUS,63,10.0,92.387,32.102,34.76,25.525,1.0,MEDIUM,10.0,True,Mercedes,1,5.0,True,213.0,185.0,285.0,323.0,,,False,,False
3677.032,RUS,63,11.0,92.405,32.067,34.944,25.394,1.0,MEDIUM,11.0,True,Mercedes,1,5.0,True,214.0,183.0,286.0,319.0,,,False,,False
3769.938,RUS,63,12.0,92.906,32.04,35.163,25.703,1.0,MEDIUM,12.0,True,Mercedes,1,5.0,True,211.0,185.0,278.0,300.0,,,False,,False
3862.931,RUS,63,13.0,92.993,31.972,35.314,25.707,1.0,MEDIUM,13.0,True,Mercedes,1,5.0,True,212.0,183.0,278.0,314.0,,,False,,False
3955.472,RUS,63,14.0,92.541,31.774,35.013,25.754,1.0,MEDIUM,14.0,True,Mercedes,1,5.0,True,213.0,184.0,281.0,316.0,,,False,,False
4048.319,RUS,63,15.0,92.847,31.86,35.249,25.738,1.0,MEDIUM,15.0,True,Mercedes,1,5.0,True,214.0,185.0,279.0,315.0,,,False,,False
4141.046,RUS,63,16.0,92.727,31.915,35.094,25.718,1.0,MEDIUM,16.0,True,Mercedes,1,5.0,True,212.0,185.0,275.0,304.0,,,False,,False
4234.777,RUS,63,17.0,93.731,31.996,36.081,25.654,1.0,MEDIUM,17.0,True,Mercedes,1,5.0,True,215.0,184.0,285.0,313.0,,,True,TRACK LIMITS AT TURN 11 LAP 17 ,False
4327.269,RUS,63,18.0,92.492,31.685,35.283,25.524,1.0,MEDIUM,18.0,True,Mercedes,1,5.0,True,211.0,185.0,282.0,314.0,,,False,,False
4419.694,RUS,63,19.0,92.425,31.638,35.287,25.5,1.0,MEDIUM,19.0,True,Mercedes,1,5.0,True,213.0,185.0,284.0,326.0,,,False,,False
2749.971,VER,3,1.0,,,34.813,26.222,1.0,MEDIUM,4.0,False,Red Bull Racing,1,7.0,False,216.0,188.0,246.0,314.0,,,False,,False
2843.196,VER,3,2.0,93.225,32.677,34.843,25.705,1.0,MEDIUM,5.0,False,Red Bull Racing,1,7.0,True,210.0,176.0,275.0,316.0,,,False,,False
2936.11,VER,3,3.0,92.914,32.354,34.899,25.661,1.0,MEDIUM,6.0,False,Red Bull Racing,1,7.0,True,216.0,183.0,250.0,328.0,,,False,,False
