Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
1133.464,ANT,12,1.0,,,43.904,31.471,1.0,SOFT,4.0,False,Mercedes,1,,False,171.0,116.0,269.0,249.0,1021.643,,False,,False
1222.622,ANT,12,2.0,89.158,30.138,33.991,25.029,1.0,SOFT,5.0,False,Mercedes,1,,True,218.0,193.0,270.0,324.0,,,False,,False
1347.294,ANT,12,3.0,124.672,36.511,47.737,40.424,1.0,SOFT,6.0,False,Mercedes,1,,False,158.0,140.0,,104.0,,1341.426,False,,False
1625.605,ANT,12,4.0,,,42.641,33.604,2.0,SOFT,1.0,True,Mercedes,1,,False,177.0,69.0,271.0,247.0,1513.627,,False,,False
1714.258,ANT,12,5.0,88.653,29.817,34.062,24.774,2.0,SOFT,2.0,True,Mercedes,1,,True,219.0,192.0,268.0,324.0,,,False,,False
1831.664,ANT,12,6.0,117.406,36.767,40.627,40.012,2.0,SOFT,3.0,True,Mercedes,1,,False,159.0,161.0,,137.0,,1825.802,False,,False
2750.15,ANT,12,7.0,,,46.595,34.592,3.0,SOFT,1.0,True,Mercedes,12,,False,167.0,88.0,263.0,126.0,2620.691,,False,,False
2838.502,ANT,12,8.0,88.352,29.969,33.555,24.828,3.0,SOFT,2.0,True,Mercedes,1,,True,223.0,193.0,267.0,327.0,,,False,,False
2948.37,ANT,12,9.0,109.868,34.704,39.196,35.968,3.0,SOFT,3.0,True,Mercedes,1,,False,194.0,152.0,,262.0,,2942.095,False,,False
3228.87,ANT,12,10.0,,,39.886,31.522,4.0,SOFT,1.0,True,Mercedes,1,,False,178.0,141.0,268.0,259.0,3121.538,,False,,False
3317.159,ANT,12,11.0,88.289,29.879,33.658,24.752,4.0,SOFT,2.0,True,Mercedes,1,,True,220.0,194.0,267.0,325.0,,,False,,False
3473.131,ANT,12,12.0,155.972,40.928,41.371,73.673,4.0,SOFT,3.0,True,Mercedes,1,,False,180.0,152.0,,288.0,,3427.41,False,,False
4096.754,ANT,12,13.0,,,45.431,33.021,5.0,SOFT,1.0,True,Mercedes,12,,False,170.0,96.0,269.0,247.0,3973.954,,False,,False
4184.552,ANT,12,14.0,87.798,29.743,33.431,24.624,5.0,SOFT,2.0,True,Mercedes,1,,True,222.0,193.0,267.0,325.0,,,False,,False
4293.523,ANT,12,15.0,108.971,33.955,37.286,37.73,5.0,SOFT,3.0,True,Mercedes,1,,False,196.0,154.0,,225.0,,4286.963,False,,False
4520.557,ANT,12,16.0,,,39.505,31.629,6.0,SOFT,1.0,True,Mercedes,1,,False,179.0,117.0,274.0,253.0,4405.23,,False,,False
4634.629,ANT,12,17.0,,35.112,44.348,,6.0,SOFT,2.0,True,Mercedes,1,,False,185.0,104.0,,261.0,,4634.629,False,,False
965.776,VER,3,1.0,,,38.549,35.91,1.0,SOFT,4.0,False,Red Bull Racing,1,,False,200.0,167.0,262.0,182.0,846.176,,False,,False
1054.875,VER,3,2.0,89.099,30.369,33.772,24.958,1.0,SOFT,5.0,False,Red Bull Racing,1,,True,222.0,192.0,269.0,319.0,,,False,,False
1163.326,VER,3,3.0,108.451,34.388,38.203,35.86,1.0,SOFT,6.0,False,Red Bull Racing,1,,False,205.0,166.0,,213.0,,1157.797,False,,False
2620.862,VER,3,4.0,,,40.073,30.431,2.0,SOFT,1.0,True,Red Bull Racing,12,,False,207.0,111.0,266.0,248.0,2513.307,,False,,False
2709.793,VER,3,5.0,88.931,30.398,33.765,24.768,2.0,SOFT,2.0,True,Red Bull Racing,1,,True,224.0,193.0,274.0,322.0,,,False,,False
2822.424,VER,3,6.0,112.631,36.138,40.227,36.266,2.0,SOFT,3.0,True,Red Bull Racing,1,,False,200.0,169.0,,211.0,,2816.326,False,,False
3284.767,VER,3,7.0,,,40.716,30.037,3.0,SOFT,1.0,True,Red Bull Racing,1,,False,202.0,96.0,264.0,277.0,3171.514,,False,,False
