Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
26.131,33.7,35.0,1010.5,False,53.5,319,2.0
86.145,33.8,31.9,1010.6,False,52.5,294,4.3
146.139,33.9,31.9,1010.5,False,52.8,296,3.7
206.149,33.8,31.6,1010.7,False,53.8,321,3.6
266.149,33.8,30.8,1010.6,False,53.3,317,2.9
326.149,34.1,30.5,1010.5,False,54.2,290,4.6
386.143,34.1,30.3,1010.4,False,52.5,296,5.6
446.155,34.0,30.3,1010.6,False,52.7,308,5.0
506.128,33.9,30.5,1010.6,False,52.5,299,4.9
566.152,33.9,30.5,1010.6,False,52.5,299,4.9
626.139,33.9,30.6,1010.5,False,52.3,302,5.3
686.153,33.9,31.1,1010.5,False,51.6,298,4.3
746.143,33.9,31.1,1010.5,False,51.6,298,4.3
806.159,33.9,30.8,1010.4,False,52.0,289,4.2
866.153,33.9,30.8,1010.4,False,52.0,289,4.2
926.143,33.8,30.8,1010.5,False,52.3,296,3.5
986.158,33.9,31.1,1010.4,False,52.0,299,5.5
1046.147,33.9,31.3,1010.4,False,52.0,320,4.3
1106.158,33.9,31.3,1010.4,False,52.0,320,4.3
1166.161,33.8,31.7,1010.3,False,52.2,303,2.9
1226.138,33.8,32.1,1010.3,False,53.1,319,3.3
1286.153,33.8,32.1,1010.3,False,53.1,319,3.3
1346.161,33.8,32.1,1010.3,False,53.1,319,3.3
1406.161,33.8,31.0,1010.3,False,53.0,298,3.7
1466.162,33.8,30.7,1010.1,False,52.3,290,3.5
1526.17,33.8,30.7,1010.1,False,52.3,290,3.5
1586.165,33.8,30.7,1010.1,False,52.3,290,3.5
1646.167,33.8,30.7,1010.1,False,52.3,290,3.5
1706.162,33.9,31.0,1010.2,False,52.3,312,3.4
1766.162,33.9,31.0,1010.2,False,52.3,312,3.4
1826.162,33.8,31.3,1010.2,False,51.7,294,3.6
1886.16,33.8,31.3,1010.2,False,51.7,294,3.6
1946.17,33.8,31.3,1010.2,False,51.7,294,3.6
2006.176,33.8,31.3,1010.2,False,51.7,294,3.6
2066.17,33.9,31.0,1010.0,False,51.9,291,5.3
2126.195,33.9,31.0,1010.0,False,51.9,291,5.3
2186.193,33.9,31.0,1010.0,False,51.9,291,5.3
2246.174,33.9,31.0,1010.0,False,51.9,291,5.3
2306.161,33.9,31.0,1010.0,False,51.9,291,5.3
2366.174,33.9,30.5,1010.1,False,52.4,291,1.8
2426.177,33.9,30.5,1010.1,False,52.4,291,1.8
2486.179,33.9,30.5,1010.1,False,52.4,291,1.8
2546.167,33.9,30.5,1010.1,False,52.4,291,1.8
2606.175,34.0,30.3,1010.1,False,52.6,295,3.0
2666.179,34.0,30.6,1010.1,False,52.8,287,2.8
2726.168,34.0,30.6,1010.1,False,52.8,287,2.8
2786.176,34.0,30.6,1010.1,False,52.8,287,2.8
2846.186,34.0,30.6,1010.1,False,52.8,287,2.8
2906.178,34.0,30.6,1010.1,False,52.8,287,2.8
2966.172,34.0,30.6,1010.1,False,52.8,287,2.8
3026.178,34.1,30.3,1010.1,False,51.8,310,5.1
3086.171,34.1,30.3,1010.1,False,51.8,310,5.1
3146.177,34.1,29.6,1010.0,False,50.8,295,3.9
3206.174,34.1,29.6,1010.0,False,50.8,295,3.9
3266.193,34.1,29.6,1010.0,False,50.8,295,3.9
3326.194,34.1,28.8,1010.2,False,51.5,288,3.1
3386.179,34.1,28.8,1010.2,False,51.5,288,3.1
3446.186,34.0,28.9,1010.1,False,52.1,290,2.7
3506.193,34.0,28.9,1010.1,False,52.1,290,2.7
3566.177,34.0,28.9,1010.1,False,52.1,290,2.7
3626.186,34.0,28.9,1010.1,False,52.1,290,2.7
3686.191,34.0,28.9,1010.1,False,52.1,290,2.7
3746.18,34.0,28.9,1010.1,False,52.1,290,2.7
3806.19,33.9,28.7,1010.1,False,49.3,288,6.3
3866.194,33.7,29.5,1010.1,False,50.7,300,4.5
3926.186,33.8,29.2,1010.2,False,51.4,298,3.1
3986.204,33.9,29.0,1010.2,False,51.0,302,4.5
4046.183,33.9,29.0,1010.2,False,51.0,302,4.5
4106.196,33.9,29.0,1010.2,False,51.0,302,4.5
4166.195,33.9,29.0,1010.2,False,51.0,302,4.5
4226.196,33.9,29.0,1010.2,False,51.0,302,4.5
4286.194,33.9,29.1,1010.0,False,50.6,299,3.6
4346.204,33.9,29.1,1010.0,False,50.6,299,3.6
4406.198,34.0,29.1,1010.0,False,50.2,302,3.8
4466.198,34.0,29.1,1010.0,False,50.2,302,3.8
4526.198,34.0,29.1,1010.0,False,50.2,302,3.8
4586.194,34.0,29.1,1010.0,False,50.2,302,3.8
4646.194,34.0,29.1,1010.0,False,50.2,302,3.8
4706.193,34.0,29.1,1010.0,False,50.2,302,3.8
4766.201,34.0,29.1,1010.0,False,50.2,302,3.8
4826.195,34.0,29.1,1010.0,False,50.2,302,3.8
