Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
3540.108,NOR,1,1.0,98.115,,34.453,25.729,1.0,MEDIUM,1.0,True,McLaren,1,3.0,False,213.0,183.0,273.0,298.0,,,False,,False
3632.878,NOR,1,2.0,92.77,32.593,34.6,25.577,1.0,MEDIUM,2.0,True,McLaren,1,3.0,True,211.0,184.0,271.0,317.0,,,False,,False
3726.141,NOR,1,3.0,93.263,32.816,34.702,25.745,1.0,MEDIUM,3.0,True,McLaren,1,3.0,True,209.0,185.0,270.0,313.0,,,False,,False
3819.955,NOR,1,4.0,93.814,33.089,34.864,25.861,1.0,MEDIUM,4.0,True,McLaren,1,3.0,True,205.0,186.0,273.0,310.0,,,False,,False
3913.797,NOR,1,5.0,93.842,32.883,35.214,25.745,1.0,MEDIUM,5.0,True,McLaren,12,3.0,True,210.0,183.0,281.0,308.0,,,False,,False
4044.147,NOR,1,6.0,130.35,40.675,51.989,37.686,1.0,MEDIUM,6.0,True,McLaren,24,2.0,False,84.0,108.0,249.0,98.0,,,False,,False
4181.989,NOR,1,7.0,137.842,41.553,54.69,41.599,1.0,MEDIUM,7.0,True,McLaren,4,2.0,False,119.0,108.0,192.0,132.0,,,False,,False
4324.388,NOR,1,8.0,142.399,50.043,54.546,37.81,1.0,MEDIUM,8.0,True,McLaren,4,2.0,False,108.0,97.0,240.0,110.0,,,False,,False
4472.014,NOR,1,9.0,147.626,48.536,55.467,43.623,1.0,MEDIUM,9.0,True,McLaren,4,2.0,False,138.0,84.0,228.0,156.0,,,False,,False
4611.133,NOR,1,10.0,139.119,48.549,55.495,35.075,1.0,MEDIUM,10.0,True,McLaren,4,2.0,False,120.0,94.0,223.0,211.0,,,False,,False
4761.96,NOR,1,11.0,,47.831,47.757,55.27,1.0,MEDIUM,11.0,True,McLaren,41,2.0,False,134.0,125.0,276.0,63.0,,,False,,False
4854.516,NOR,1,12.0,92.556,32.418,34.694,25.444,1.0,MEDIUM,12.0,True,McLaren,1,2.0,True,213.0,189.0,281.0,310.0,,,False,,False
4947.41,NOR,1,13.0,92.894,32.681,34.671,25.542,1.0,MEDIUM,13.0,True,McLaren,1,1.0,True,213.0,188.0,274.0,306.0,,,False,,False
5040.204,NOR,1,14.0,92.794,32.324,34.849,25.621,1.0,MEDIUM,14.0,True,McLaren,1,1.0,True,212.0,187.0,276.0,306.0,,,False,,False
5133.191,NOR,1,15.0,92.987,32.39,34.976,25.621,1.0,MEDIUM,15.0,True,McLaren,1,1.0,True,209.0,187.0,276.0,305.0,,,False,,False
5226.061,NOR,1,16.0,92.87,32.306,34.906,25.658,1.0,MEDIUM,16.0,True,McLaren,12,1.0,True,211.0,187.0,275.0,305.0,,,False,,False
5319.155,NOR,1,17.0,93.094,32.405,35.03,25.659,1.0,MEDIUM,17.0,True,McLaren,1,1.0,True,210.0,187.0,276.0,304.0,,,False,,False
5412.195,NOR,1,18.0,93.04,32.364,35.022,25.654,1.0,MEDIUM,18.0,True,McLaren,1,1.0,True,211.0,185.0,276.0,305.0,,,False,,False
5505.203,NOR,1,19.0,93.008,32.283,35.061,25.664,1.0,MEDIUM,19.0,True,McLaren,1,1.0,True,209.0,186.0,276.0,305.0,,,False,,False
5598.396,NOR,1,20.0,93.193,32.444,35.079,25.67,1.0,MEDIUM,20.0,True,McLaren,1,1.0,True,210.0,187.0,276.0,304.0,,,False,,False
5691.277,NOR,1,21.0,92.881,32.334,34.827,25.72,1.0,MEDIUM,21.0,True,McLaren,1,1.0,True,211.0,186.0,276.0,304.0,,,False,,False
5784.325,NOR,1,22.0,93.048,32.369,34.868,25.811,1.0,MEDIUM,22.0,True,McLaren,1,1.0,True,209.0,187.0,275.0,303.0,,,False,,False
5877.423,NOR,1,23.0,93.098,32.291,35.073,25.734,1.0,MEDIUM,23.0,True,McLaren,1,1.0,True,209.0,187.0,276.0,305.0,,,False,,False
5970.516,NOR,1,24.0,93.093,32.353,35.069,25.671,1.0,MEDIUM,24.0,True,McLaren,1,1.0,True,211.0,186.0,278.0,306.0,,,False,,False
6063.9,NOR,1,25.0,93.384,32.476,35.253,25.655,1.0,MEDIUM,25.0,True,McLaren,1,1.0,True,209.0,187.0,278.0,306.0,,,False,,False
6156.959,NOR,1,26.0,93.059,32.397,34.932,25.73,1.0,MEDIUM,26.0,True,McLaren,1,1.0,True,212.0,186.0,279.0,306.0,,,False,,False
6255.463,NOR,1,27.0,98.504,32.644,35.079,30.781,1.0,MEDIUM,27.0,True,McLaren,1,1.0,False,210.0,186.0,,313.0,,6249.959,False,,False
6362.616,NOR,1,28.0,107.153,46.898,34.483,25.772,2.0,HARD,1.0,True,McLaren,1,3.0,False,213.0,188.0,274.0,301.0,6272.511,,False,,False
