Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
7.716,25.7,76.2,1016.2,False,34.9,162,1.5
67.703,25.7,76.4,1016.2,False,35.0,95,0.7
127.712,25.8,75.9,1016.2,False,34.7,33,0.6
187.706,25.9,75.9,1016.2,False,35.3,30,1.1
247.716,25.9,76.7,1016.2,False,35.2,79,0.8
307.716,26.0,76.3,1016.1,False,35.5,76,1.5
367.725,25.8,76.0,1016.2,False,35.4,0,0.0
427.707,25.9,76.6,1016.2,False,35.0,139,1.4
487.719,25.8,75.9,1016.2,False,35.3,92,0.6
547.713,25.8,75.9,1016.1,False,34.9,57,0.9
607.717,25.7,76.4,1016.1,False,35.2,144,0.7
667.722,25.8,75.8,1016.2,False,35.3,150,0.6
727.718,26.0,73.4,1016.1,False,33.8,151,3.0
787.723,26.1,74.1,1016.1,False,34.4,155,2.4
847.713,26.0,74.6,1016.1,False,34.3,162,1.4
907.725,26.0,75.1,1016.1,False,34.9,166,0.6
967.716,26.1,75.7,1016.0,False,35.3,128,0.9
1027.728,26.1,74.6,1016.0,False,35.5,149,0.6
1087.714,26.1,73.9,1016.0,False,35.5,134,1.7
1147.741,26.4,72.5,1016.0,False,35.8,53,0.9
1207.723,26.4,72.9,1016.0,False,35.8,44,0.4
1267.717,26.5,72.4,1016.0,False,35.2,42,0.5
1327.731,26.5,72.6,1016.0,False,35.8,26,0.3
1387.733,26.5,73.7,1016.0,False,35.8,141,0.4
1447.726,26.5,72.6,1015.9,False,35.6,125,2.7
1507.733,26.4,72.0,1015.9,False,34.8,117,2.5
1567.734,26.4,73.6,1015.9,False,35.8,141,1.1
1627.735,26.4,72.3,1015.8,False,35.6,145,1.1
1687.729,26.4,70.9,1015.8,False,35.7,78,0.6
1747.735,26.5,70.4,1015.8,False,33.5,152,3.2
1807.726,26.5,70.5,1015.8,False,35.5,139,1.0
1867.735,26.4,70.7,1015.8,False,35.5,134,2.1
1927.742,26.3,71.2,1015.8,False,34.4,166,1.5
1987.738,26.3,71.4,1015.8,False,34.7,161,0.7
2047.739,26.3,72.6,1015.8,False,35.4,121,0.9
2107.728,26.4,71.9,1015.9,False,35.6,161,0.9
2167.728,26.4,72.0,1016.0,False,35.9,92,0.8
2227.743,26.4,71.8,1015.9,False,35.7,85,1.4
2287.756,26.2,72.2,1015.9,False,35.6,72,0.8
2347.751,26.3,73.0,1015.8,False,35.4,15,1.0
2407.757,26.3,72.7,1015.9,False,35.4,135,0.6
2467.757,26.3,72.9,1015.8,False,36.0,57,0.8
2527.757,26.3,73.8,1015.7,False,35.9,165,0.9
2587.774,26.3,72.5,1015.8,False,35.8,145,1.5
2647.792,26.1,73.1,1015.7,False,36.1,0,0.0
2707.794,26.4,72.1,1015.8,False,35.9,114,1.0
2767.811,26.4,72.7,1015.8,False,35.4,75,1.1
2827.806,26.4,72.8,1015.9,False,35.2,271,0.5
2887.809,26.3,72.3,1015.8,False,35.8,0,0.0
2947.814,26.5,72.0,1015.9,False,34.9,269,1.5
3007.845,26.6,70.6,1015.9,False,35.6,299,1.5
3067.848,26.6,70.9,1015.9,False,35.8,279,1.6
3127.851,26.6,71.8,1015.8,False,35.5,310,0.8
3187.876,26.5,72.2,1015.9,False,35.7,41,0.4
3247.872,26.6,71.9,1015.9,False,35.9,69,0.5
3307.872,26.5,72.5,1015.9,False,35.9,0,0.0
3367.88,26.6,73.0,1015.9,False,36.2,268,0.6
3427.877,26.7,72.8,1015.9,False,36.5,18,0.6
3487.873,26.8,72.8,1015.9,False,36.6,264,1.1
3547.89,26.9,71.7,1016.0,False,36.5,356,0.3
3607.9,26.9,71.3,1015.8,False,36.7,93,0.5
3667.878,27.0,70.4,1015.9,False,36.4,0,0.0
3727.874,27.1,68.9,1015.8,False,36.4,273,2.0
3787.892,27.1,70.1,1015.8,False,37.2,335,1.7
3847.886,27.2,68.6,1015.9,False,37.4,301,1.0
3907.883,27.2,69.0,1016.0,False,37.4,296,1.8
