Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
1095.052,NOR,1,1.0,,61.237,33.743,58.131,1.0,HARD,1.0,True,,1,,False,181.0,276.0,237.0,88.0,945.2,,False,,False
1177.699,NOR,1,2.0,82.647,23.288,24.633,34.726,1.0,HARD,2.0,True,,1,,True,244.0,281.0,217.0,308.0,,,True,TRACK LIMITS AT TURN 13 LAP 3 ,False
1272.717,NOR,1,3.0,95.018,26.239,26.675,42.104,1.0,HARD,3.0,True,,1,,True,228.0,251.0,262.0,243.0,,,False,,False
1353.425,NOR,1,4.0,80.708,21.77,24.046,34.892,1.0,HARD,4.0,True,,126,,False,246.0,280.0,78.0,307.0,,,False,,False
1496.913,NOR,1,5.0,143.488,40.284,31.544,71.66,1.0,HARD,5.0,True,,6,,False,111.0,198.0,,264.0,,1462.097,False,,False
2035.008,NOR,1,6.0,,,,,2.0,HARD,6.0,False,,6512,,False,,,,,1498.898,1594.287,False,,False
2121.436,NOR,1,7.0,86.428,27.466,25.797,33.165,3.0,HARD,7.0,False,,1,,False,245.0,274.0,213.0,293.0,2036.583,,False,,False
2212.039,NOR,1,8.0,90.603,23.596,25.129,41.878,3.0,HARD,8.0,False,,1,,True,239.0,287.0,241.0,208.0,,,False,,False
2289.498,NOR,1,9.0,77.459,22.148,24.413,30.898,3.0,HARD,9.0,False,,1,,True,234.0,280.0,261.0,304.0,,,False,,False
2379.472,NOR,1,10.0,89.974,24.3,26.446,39.228,3.0,HARD,10.0,False,,1,,True,234.0,260.0,250.0,177.0,,,False,,False
2455.925,NOR,1,11.0,76.453,21.725,24.503,30.225,3.0,HARD,11.0,False,,1,,True,241.0,276.0,264.0,304.0,,,False,,False
3426.526,NOR,1,12.0,,25.889,,,3.0,HARD,12.0,False,,125,,False,190.0,,,,,2555.761,False,,False
3524.715,NOR,1,13.0,,,28.035,41.557,4.0,HARD,13.0,False,,1,,False,201.0,255.0,250.0,243.0,3426.526,,False,,False
3609.507,NOR,1,14.0,84.792,23.424,25.996,35.372,4.0,HARD,14.0,False,,1,,True,229.0,259.0,267.0,240.0,,,False,,False
3691.58,NOR,1,15.0,82.073,22.885,24.384,34.804,4.0,HARD,15.0,False,,1,,True,229.0,280.0,249.0,235.0,,,True,TRACK LIMITS AT TURN 4 LAP 16 ,False
3767.364,NOR,1,16.0,75.784,21.845,23.997,29.942,4.0,HARD,16.0,False,,1,,True,240.0,280.0,272.0,311.0,,,False,,False
3858.891,NOR,1,17.0,91.527,24.514,29.347,37.666,4.0,HARD,17.0,False,,1,,True,181.0,228.0,269.0,256.0,,,False,,False
