DriverNumber,BroadcastName,Abbreviation,DriverId,TeamName,TeamColor,TeamId,FirstName,LastName,FullName,HeadshotUrl,CountryCode,Position,ClassifiedPosition,GridPosition,Q1,Q2,Q3,Time,Status,Points,Laps
1,L NORRIS,NOR,norris,,,mclaren,,,None None,,,,,,,,,,,,
3,M VERSTAPPEN,VER,max_verstappen,,,red_bull,,,None None,,,,,,,,,,,,
5,G BORTOLETO,BOR,bortoleto,,,audi,,,None None,,,,,,,,,,,,
6,I HADJAR,HAD,hadjar,,,red_bull,,,None None,,,,,,,,,,,,
10,P GASLY,GAS,gasly,,,alpine,,,None None,,,,,,,,,,,,
11,S PEREZ,PER,perez,,,cadillac,,,None None,,,,,,,,,,,,
12,K ANTONELLI,ANT,antonelli,,,mercedes,,,None None,,,,,,,,,,,,
14,F ALONSO,ALO,alonso,,,aston_martin,,,None None,,,,,,,,,,,,
16,C LECLERC,LEC,leclerc,,,ferrari,,,None None,,,,,,,,,,,,
18,L STROLL,STR,stroll,,,aston_martin,,,None None,,,,,,,,,,,,
23,A ALBON,ALB,albon,,,williams,,,None None,,,,,,,,,,,,
27,N HULKENBERG,HUL,hulkenberg,,,audi,,,None None,,,,,,,,,,,,
30,L LAWSON,LAW,lawson,,,rb,,,None None,,,,,,,,,,,,
31,E OCON,OCO,ocon,,,haas,,,None None,,,,,,,,,,,,
41,A LINDBLAD,LIN,arvid_lindblad,,,rb,,,None None,,,,,,,,,,,,
43,F COLAPINTO,COL,colapinto,,,alpine,,,None None,,,,,,,,,,,,
44,L HAMILTON,HAM,hamilton,,,ferrari,,,None None,,,,,,,,,,,,
55,C SAINZ,SAI,sainz,,,williams,,,None None,,,,,,,,,,,,
63,G RUSSELL,RUS,russell,,,mercedes,,,None None,,,,,,,,,,,,
77,V BOTTAS,BOT,bottas,,,cadillac,,,None None,,,,,,,,,,,,
81,O PIASTRI,PIA,piastri,,,mclaren,,,None None,,,,,,,,,,,,
87,O BEARMAN,BEA,bearman,,,haas,,,None None,,,,,,,,,,,,
