Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
982.323,ANT,12,1.0,103.433,33.525,26.964,42.944,1.0,MEDIUM,1.0,True,Mercedes,1,,False,232.0,237.0,271.0,110.0,880.765,,False,,False
1069.857,ANT,12,2.0,87.534,23.552,28.981,35.001,1.0,MEDIUM,2.0,True,Mercedes,1,,True,229.0,242.0,273.0,250.0,,,False,,False
1143.867,ANT,12,3.0,74.01,21.241,23.499,29.27,1.0,MEDIUM,3.0,True,Mercedes,1,,True,248.0,289.0,275.0,319.0,,,False,,False
1234.726,ANT,12,4.0,90.859,27.477,26.118,37.264,1.0,MEDIUM,4.0,True,Mercedes,1,,True,222.0,252.0,274.0,237.0,,,False,,False
1327.376,ANT,12,5.0,92.65,23.204,26.961,42.485,1.0,MEDIUM,5.0,True,Mercedes,1,,True,190.0,239.0,270.0,141.0,,,False,,False
3054.494,ANT,12,6.0,,21.091,23.352,,1.0,MEDIUM,6.0,True,Mercedes,125,,False,248.0,288.0,,141.0,,1405.774,False,,False
3142.16,ANT,12,7.0,,,26.334,32.422,2.0,MEDIUM,1.0,True,Mercedes,1,,False,231.0,255.0,265.0,268.0,3054.494,,False,,False
3230.533,ANT,12,8.0,88.373,22.811,25.855,39.707,2.0,MEDIUM,2.0,True,Mercedes,1,,True,238.0,240.0,279.0,248.0,,,False,,False
3304.084,ANT,12,9.0,73.551,20.895,23.303,29.353,2.0,MEDIUM,3.0,True,Mercedes,1,,True,248.0,291.0,277.0,319.0,,,False,,False
3404.201,ANT,12,10.0,100.117,27.495,31.822,40.8,2.0,MEDIUM,4.0,True,Mercedes,1,,True,155.0,229.0,275.0,222.0,,,False,,False
4246.448,ANT,12,11.0,,21.002,26.305,,2.0,MEDIUM,5.0,True,Mercedes,1,,False,248.0,231.0,,127.0,,3484.893,False,,False
4345.179,ANT,12,12.0,98.731,29.339,28.401,40.991,3.0,SOFT,1.0,True,Mercedes,1,,False,240.0,229.0,279.0,193.0,4247.915,,False,,False
4418.679,ANT,12,13.0,73.5,21.08,23.207,29.213,3.0,SOFT,2.0,True,Mercedes,1,,True,247.0,287.0,276.0,319.0,,,False,,False
4521.397,ANT,12,14.0,102.718,24.305,37.549,40.864,3.0,SOFT,3.0,True,Mercedes,1,,True,222.0,102.0,272.0,244.0,,,False,,False
4594.43,ANT,12,15.0,73.033,20.899,23.194,28.94,3.0,SOFT,4.0,True,Mercedes,1,,True,248.0,288.0,276.0,320.0,,,False,,False
4685.363,ANT,12,16.0,,29.027,30.266,,3.0,SOFT,5.0,True,Mercedes,1,,False,158.0,251.0,,258.0,,4685.363,False,,False
976.329,RUS,63,1.0,103.965,32.918,27.897,43.15,1.0,MEDIUM,1.0,True,Mercedes,1,,False,226.0,232.0,272.0,123.0,873.94,,False,,False
1051.101,RUS,63,2.0,74.772,21.507,23.567,29.698,1.0,MEDIUM,2.0,True,Mercedes,1,,True,245.0,289.0,277.0,321.0,,,False,,False
1142.761,RUS,63,3.0,91.66,24.776,28.736,38.148,1.0,MEDIUM,3.0,True,Mercedes,1,,True,220.0,248.0,271.0,251.0,,,False,,False
1221.007,RUS,63,4.0,78.246,21.279,23.446,33.521,1.0,MEDIUM,4.0,True,Mercedes,1,,True,246.0,288.0,192.0,320.0,,,True,TRACK LIMITS AT TURN 14 LAP 5 ,False
1322.006,RUS,63,5.0,100.999,32.141,28.843,40.015,1.0,MEDIUM,5.0,True,Mercedes,1,,True,186.0,242.0,270.0,166.0,,,True,TRACK LIMITS AT TURN 14 (NEXT LAP),False
3050.275,RUS,63,6.0,,21.347,23.494,,1.0,MEDIUM,6.0,True,Mercedes,125,,False,248.0,290.0,,166.0,,1397.759,False,,False
3136.872,RUS,63,7.0,,,26.389,32.544,2.0,MEDIUM,1.0,True,Mercedes,1,,False,227.0,252.0,253.0,276.0,3050.275,,False,,False
3223.93,RUS,63,8.0,87.058,22.723,26.206,38.129,2.0,MEDIUM,2.0,True,Mercedes,1,,True,236.0,232.0,272.0,249.0,,,False,,False
3297.396,RUS,63,9.0,73.466,20.909,23.374,29.183,2.0,MEDIUM,3.0,True,Mercedes,1,,True,247.0,288.0,276.0,320.0,,,False,,False
3393.585,RUS,63,10.0,96.189,25.594,31.107,39.488,2.0,MEDIUM,4.0,True,Mercedes,1,,True,219.0,156.0,271.0,250.0,,,False,,False
3485.465,RUS,63,11.0,91.88,23.577,29.46,38.843,2.0,MEDIUM,5.0,True,Mercedes,1,,True,193.0,242.0,272.0,247.0,,,False,,False
3558.491,RUS,63,12.0,73.026,20.768,23.195,29.063,2.0,MEDIUM,6.0,True,Mercedes,1,,True,249.0,288.0,275.0,321.0,,,False,,False
4148.404,RUS,63,13.0,,23.16,26.116,,2.0,MEDIUM,7.0,True,Mercedes,1,,False,230.0,258.0,,283.0,,3635.777,False,,False
4230.861,RUS,63,14.0,82.457,25.575,25.385,31.497,3.0,SOFT,1.0,True,Mercedes,1,,False,239.0,260.0,276.0,298.0,4149.797,,False,,False
4323.602,RUS,63,15.0,92.741,22.519,26.418,43.804,3.0,SOFT,2.0,True,Mercedes,1,,True,234.0,241.0,274.0,126.0,,,False,,False
4396.796,RUS,63,16.0,73.194,20.753,23.097,29.344,3.0,SOFT,3.0,True,Mercedes,1,,True,250.0,288.0,276.0,321.0,,,False,,False
4498.888,RUS,63,17.0,102.092,27.157,32.042,42.893,3.0,SOFT,4.0,True,Mercedes,1,,True,215.0,225.0,272.0,245.0,,,False,,False
4571.853,RUS,63,18.0,72.965,20.857,23.066,29.042,3.0,SOFT,5.0,True,Mercedes,1,,True,249.0,291.0,276.0,321.0,,,False,,False
4681.181,RUS,63,19.0,109.328,26.022,30.72,52.586,3.0,SOFT,6.0,True,Mercedes,1,,False,187.0,199.0,,199.0,,4661.972,False,,False
860.366,HAM,44,1.0,,,27.272,35.535,1.0,MEDIUM,1.0,True,Ferrari,1,,False,221.0,243.0,276.0,242.0,770.118,,False,,False
935.825,HAM,44,2.0,75.459,21.605,24.055,29.799,1.0,MEDIUM,2.0,True,Ferrari,1,,True,245.0,280.0,268.0,320.0,,,False,,False
1035.279,HAM,44,3.0,99.454,25.631,35.72,38.103,1.0,MEDIUM,3.0,True,Ferrari,1,,True,178.0,214.0,281.0,202.0,,,False,,False
1121.784,HAM,44,4.0,86.505,24.103,26.122,36.28,1.0,MEDIUM,4.0,True,Ferrari,1,,True,234.0,253.0,280.0,261.0,,,True,TRACK LIMITS AT TURN 2 LAP 5 ,False
1195.706,HAM,44,5.0,73.922,21.007,23.52,29.395,1.0,MEDIUM,5.0,True,Ferrari,1,,True,245.0,284.0,268.0,320.0,,,False,,False
1290.0,HAM,44,6.0,94.294,27.248,32.084,34.962,1.0,MEDIUM,6.0,True,Ferrari,1,,True,186.0,194.0,279.0,259.0,,,False,,False
1363.889,HAM,44,7.0,73.889,20.946,23.463,29.48,1.0,MEDIUM,7.0,True,Ferrari,1,,True,246.0,283.0,272.0,322.0,,,False,,False
2514.06,HAM,44,8.0,,,,,1.0,MEDIUM,8.0,True,Ferrari,125,,False,,,,,,1466.163,False,,False
2613.551,HAM,44,9.0,99.491,37.63,26.774,35.087,2.0,MEDIUM,9.0,False,Ferrari,1,,False,221.0,244.0,279.0,245.0,2521.363,,False,,False
2689.925,HAM,44,10.0,76.374,21.946,23.95,30.478,2.0,MEDIUM,10.0,False,Ferrari,1,,True,244.0,281.0,269.0,330.0,,,True,TRACK LIMITS AT TURN 14 LAP 11 ,False
3102.488,HAM,44,11.0,,21.786,27.051,,2.0,MEDIUM,11.0,False,Ferrari,1,,False,229.0,257.0,,250.0,,2768.787,False,,False
3202.346,HAM,44,12.0,99.858,34.585,26.235,39.038,3.0,MEDIUM,1.0,True,Ferrari,1,,False,222.0,242.0,279.0,244.0,3107.652,,False,,False
3275.983,HAM,44,13.0,73.637,20.872,23.277,29.488,3.0,MEDIUM,2.0,True,Ferrari,1,,True,246.0,283.0,270.0,320.0,,,False,,False
3372.655,HAM,44,14.0,96.672,26.251,29.501,40.92,3.0,MEDIUM,3.0,True,Ferrari,1,,True,223.0,233.0,280.0,208.0,,,False,,False
3463.157,HAM,44,15.0,90.502,21.46,32.185,36.857,3.0,MEDIUM,4.0,True,Ferrari,1,,True,200.0,250.0,280.0,169.0,,,False,,False
3536.622,HAM,44,16.0,73.465,20.803,23.359,29.303,3.0,MEDIUM,5.0,True,Ferrari,1,,True,248.0,282.0,270.0,322.0,,,False,,False
4100.865,HAM,44,17.0,,25.366,27.324,,3.0,MEDIUM,6.0,True,Ferrari,1,,False,201.0,236.0,,252.0,,3619.402,False,,False
4189.779,HAM,44,18.0,88.914,27.901,26.174,34.839,4.0,SOFT,1.0,True,Ferrari,1,,False,226.0,244.0,278.0,246.0,4103.155,,False,,False
4280.983,HAM,44,19.0,91.204,25.11,30.948,35.146,4.0,SOFT,2.0,True,Ferrari,1,,True,179.0,249.0,278.0,251.0,,,False,,False
4354.394,HAM,44,20.0,73.411,20.947,23.208,29.256,4.0,SOFT,3.0,True,Ferrari,1,,True,247.0,281.0,268.0,318.0,,,False,,False
4449.982,HAM,44,21.0,95.588,28.857,31.523,35.208,4.0,SOFT,4.0,True,Ferrari,1,,True,163.0,255.0,279.0,252.0,,,False,,False
4523.308,HAM,44,22.0,73.326,20.594,23.21,29.522,4.0,SOFT,5.0,True,Ferrari,1,,True,249.0,281.0,270.0,317.0,,,False,,False
4612.062,HAM,44,23.0,,26.119,28.576,,4.0,SOFT,6.0,True,Ferrari,1,,False,198.0,236.0,,227.0,,4612.062,False,,False
870.631,LEC,16,1.0,101.448,36.454,28.413,36.581,1.0,MEDIUM,1.0,True,Ferrari,1,,False,213.0,244.0,275.0,242.0,773.196,,False,,False
958.253,LEC,16,2.0,87.622,23.261,27.335,37.026,1.0,MEDIUM,2.0,True,Ferrari,1,,True,202.0,222.0,279.0,215.0,,,False,,False
1033.259,LEC,16,3.0,75.006,21.499,23.857,29.65,1.0,MEDIUM,3.0,True,Ferrari,1,,True,244.0,283.0,269.0,321.0,,,False,,False
1128.445,LEC,16,4.0,95.186,24.132,29.413,41.641,1.0,MEDIUM,4.0,True,Ferrari,1,,True,190.0,111.0,277.0,252.0,,,False,,False
1223.773,LEC,16,5.0,95.328,24.575,28.477,42.276,1.0,MEDIUM,5.0,True,Ferrari,1,,True,204.0,157.0,279.0,220.0,,,True,TRACK LIMITS AT TURN 2 LAP 6 ,False
1315.845,LEC,16,6.0,92.072,21.106,28.789,42.177,1.0,MEDIUM,6.0,True,Ferrari,1,,True,247.0,228.0,277.0,181.0,,,True,TRACK LIMITS AT TURN 8 LAP 7 ,False
3108.659,LEC,16,7.0,,21.474,26.348,,1.0,MEDIUM,7.0,True,Ferrari,125,,False,,210.0,,181.0,,1401.634,False,,False
3209.7,LEC,16,8.0,101.041,36.531,27.048,37.462,2.0,MEDIUM,1.0,True,Ferrari,1,,False,225.0,242.0,221.0,229.0,3112.678,,False,,False
3307.644,LEC,16,9.0,97.944,30.038,29.464,38.442,2.0,MEDIUM,2.0,True,Ferrari,1,,True,241.0,220.0,279.0,254.0,,,False,,False
3381.609,LEC,16,10.0,73.965,21.002,23.597,29.366,2.0,MEDIUM,3.0,True,Ferrari,1,,True,248.0,281.0,272.0,318.0,,,False,,False
3470.655,LEC,16,11.0,89.046,24.067,28.725,36.254,2.0,MEDIUM,4.0,True,Ferrari,1,,True,213.0,248.0,280.0,223.0,,,False,,False
3544.209,LEC,16,12.0,73.554,20.832,23.403,29.319,2.0,MEDIUM,5.0,True,Ferrari,1,,True,247.0,284.0,270.0,322.0,,,False,,False
4158.393,LEC,16,13.0,,24.397,27.007,,2.0,MEDIUM,6.0,True,Ferrari,1,,False,229.0,257.0,,270.0,,3623.621,False,,False
4250.878,LEC,16,14.0,92.485,28.985,26.855,36.645,3.0,SOFT,1.0,True,Ferrari,1,,False,236.0,244.0,233.0,239.0,4161.021,,False,,False
4339.536,LEC,16,15.0,88.658,23.448,26.768,38.442,3.0,SOFT,2.0,True,Ferrari,1,,True,239.0,210.0,278.0,206.0,,,False,,False
4413.394,LEC,16,16.0,73.858,20.928,23.433,29.497,3.0,SOFT,3.0,True,Ferrari,1,,True,248.0,284.0,267.0,320.0,,,False,,False
4513.541,LEC,16,17.0,100.147,28.076,31.923,40.148,3.0,SOFT,4.0,True,Ferrari,1,,True,206.0,154.0,278.0,215.0,,,False,,False
4586.951,LEC,16,18.0,73.41,20.877,23.375,29.158,3.0,SOFT,5.0,True,Ferrari,1,,True,246.0,284.0,270.0,322.0,,,False,,False
4677.128,LEC,16,19.0,,29.37,28.827,,3.0,SOFT,6.0,True,Ferrari,1,,False,175.0,208.0,,230.0,,4677.128,False,,False
1022.134,VER,3,1.0,101.284,30.006,26.238,45.04,1.0,MEDIUM,1.0,True,Red Bull Racing,1,,False,226.0,239.0,271.0,91.0,922.309,,False,,False
1096.61,VER,3,2.0,74.476,21.323,23.533,29.62,1.0,MEDIUM,2.0,True,Red Bull Racing,1,,True,247.0,284.0,286.0,311.0,,,False,,False
1193.916,VER,3,3.0,97.306,29.494,31.599,36.213,1.0,MEDIUM,3.0,True,Red Bull Racing,1,,True,161.0,259.0,275.0,235.0,,,False,,False
1267.944,VER,3,4.0,74.028,20.998,23.758,29.272,1.0,MEDIUM,4.0,True,Red Bull Racing,1,,True,251.0,286.0,287.0,319.0,,,False,,False
1369.16,VER,3,5.0,101.216,28.76,30.056,42.4,1.0,MEDIUM,5.0,True,Red Bull Racing,1,,True,170.0,244.0,274.0,212.0,,,False,,False
