Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
2745.368,RUS,63,1.0,,,24.21,30.056,1.0,MEDIUM,7.0,False,Mercedes,1,1.0,False,250.0,284.0,282.0,309.0,,,False,,False
2820.673,RUS,63,2.0,75.305,21.551,23.793,29.961,1.0,MEDIUM,8.0,False,Mercedes,1,1.0,True,240.0,279.0,278.0,306.0,,,False,,False
2895.718,RUS,63,3.0,75.045,21.405,23.811,29.829,1.0,MEDIUM,9.0,False,Mercedes,1,1.0,True,241.0,279.0,278.0,305.0,,,False,,False
2970.439,RUS,63,4.0,74.721,21.266,23.606,29.849,1.0,MEDIUM,10.0,False,Mercedes,1,1.0,True,241.0,280.0,281.0,305.0,,,False,,False
3045.595,RUS,63,5.0,75.156,21.37,23.746,30.04,1.0,MEDIUM,11.0,False,Mercedes,1,1.0,True,241.0,279.0,289.0,320.0,,,False,,False
3122.794,RUS,63,6.0,77.199,22.69,24.886,29.623,1.0,MEDIUM,12.0,False,Mercedes,1,1.0,True,232.0,274.0,293.0,322.0,,,False,,False
3197.964,RUS,63,7.0,75.17,21.383,23.973,29.814,1.0,MEDIUM,13.0,False,Mercedes,1,1.0,True,240.0,278.0,276.0,313.0,,,False,,False
3272.944,RUS,63,8.0,74.98,21.43,23.786,29.764,1.0,MEDIUM,14.0,False,Mercedes,1,1.0,True,240.0,279.0,277.0,312.0,,,False,,False
3347.68,RUS,63,9.0,74.736,21.374,23.717,29.645,1.0,MEDIUM,15.0,False,Mercedes,1,1.0,True,240.0,279.0,278.0,314.0,,,False,,False
3422.471,RUS,63,10.0,74.791,21.307,23.814,29.67,1.0,MEDIUM,16.0,False,Mercedes,1,1.0,True,240.0,279.0,277.0,314.0,,,False,,False
3497.413,RUS,63,11.0,74.942,21.281,23.887,29.774,1.0,MEDIUM,17.0,False,Mercedes,1,1.0,True,239.0,281.0,275.0,317.0,,,False,,False
3572.449,RUS,63,12.0,75.036,21.629,23.804,29.603,1.0,MEDIUM,18.0,False,Mercedes,1,1.0,True,240.0,281.0,277.0,318.0,,,False,,False
3647.258,RUS,63,13.0,74.809,21.371,23.735,29.703,1.0,MEDIUM,19.0,False,Mercedes,1,1.0,True,240.0,280.0,276.0,317.0,,,False,,False
3722.143,RUS,63,14.0,74.885,21.43,23.786,29.669,1.0,MEDIUM,20.0,False,Mercedes,1,1.0,True,239.0,280.0,278.0,317.0,,,False,,False
3796.915,RUS,63,15.0,74.772,21.391,23.79,29.591,1.0,MEDIUM,21.0,False,Mercedes,1,1.0,True,240.0,281.0,279.0,318.0,,,False,,False
