Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
905.597,RUS,63,1.0,105.912,39.359,31.169,35.384,1.0,SOFT,7.0,False,Mercedes,1,,False,230.0,153.0,248.0,265.0,806.209,,False,,False
998.907,RUS,63,2.0,93.31,23.139,29.158,41.013,1.0,SOFT,8.0,False,Mercedes,1,,True,234.0,237.0,273.0,185.0,,,False,,False
1073.345,RUS,63,3.0,74.438,21.329,23.568,29.541,1.0,SOFT,9.0,False,Mercedes,1,,True,248.0,288.0,273.0,319.0,,,False,,False
1162.684,RUS,63,4.0,89.339,26.455,26.755,36.129,1.0,SOFT,10.0,False,Mercedes,1,,True,231.0,250.0,272.0,254.0,,,False,,False
1236.637,RUS,63,5.0,73.953,20.941,23.537,29.475,1.0,SOFT,11.0,False,Mercedes,1,,True,248.0,289.0,275.0,319.0,,,False,,False
2284.205,RUS,63,6.0,,23.859,26.817,,1.0,SOFT,12.0,False,Mercedes,12,,False,228.0,256.0,,279.0,,1315.496,False,,False
2392.391,RUS,63,7.0,108.186,45.331,26.769,36.086,2.0,SOFT,1.0,True,Mercedes,1,,False,231.0,235.0,253.0,241.0,2292.109,,False,,False
2480.998,RUS,63,8.0,88.607,23.178,27.09,38.339,2.0,SOFT,2.0,True,Mercedes,1,,True,234.0,223.0,275.0,194.0,,,False,,False
2554.609,RUS,63,9.0,73.611,20.956,23.411,29.244,2.0,SOFT,3.0,True,Mercedes,1,,True,247.0,288.0,276.0,318.0,,,False,,False
2723.891,RUS,63,10.0,,25.479,26.445,,2.0,SOFT,4.0,True,Mercedes,1,,False,229.0,247.0,,276.0,,2634.462,False,,False
2810.579,RUS,63,11.0,86.688,27.438,25.826,33.424,3.0,SOFT,1.0,True,Mercedes,1,,False,247.0,254.0,268.0,268.0,2725.385,,False,,False
2896.348,RUS,63,12.0,85.769,23.15,27.032,35.587,3.0,SOFT,2.0,True,Mercedes,1,,True,235.0,241.0,274.0,249.0,,,False,,False
2986.802,RUS,63,13.0,90.454,25.295,29.319,35.84,3.0,SOFT,3.0,True,Mercedes,1,,True,222.0,242.0,274.0,249.0,,,True,TRACK LIMITS AT TURN 1 LAP 14 ,False
3059.881,RUS,63,14.0,73.079,20.717,23.043,29.319,3.0,SOFT,4.0,True,Mercedes,1,,True,249.0,289.0,276.0,316.0,,,False,,False
3577.191,RUS,63,15.0,,26.077,26.407,,3.0,SOFT,5.0,True,Mercedes,1,,False,229.0,254.0,,277.0,,3141.089,False,,False
3664.78,RUS,63,16.0,87.589,28.133,25.879,33.577,4.0,SOFT,1.0,True,Mercedes,1,,False,232.0,235.0,242.0,263.0,3579.268,,False,,False
3762.519,RUS,63,17.0,97.739,25.012,29.419,43.308,4.0,SOFT,2.0,True,Mercedes,1,,True,235.0,238.0,274.0,244.0,,,False,,False
3919.226,RUS,63,18.0,,20.914,23.436,,4.0,SOFT,3.0,True,Mercedes,1,,False,248.0,287.0,,281.0,,3833.234,False,,False
4001.452,RUS,63,19.0,82.226,24.971,25.162,32.093,5.0,SOFT,1.0,True,Mercedes,1,,False,253.0,249.0,265.0,268.0,3920.737,,False,,False
4084.982,RUS,63,20.0,83.53,22.005,26.678,34.847,5.0,SOFT,2.0,True,Mercedes,1,,True,263.0,235.0,274.0,250.0,,,False,,False
4157.975,RUS,63,21.0,72.993,20.658,23.068,29.267,5.0,SOFT,3.0,True,Mercedes,1,,True,249.0,286.0,273.0,321.0,,,False,,False
4254.532,RUS,63,22.0,96.557,28.517,31.847,36.193,5.0,SOFT,4.0,True,Mercedes,1,,True,224.0,238.0,274.0,250.0,,,False,,False
4327.11,RUS,63,23.0,72.578,20.6,22.902,29.076,5.0,SOFT,5.0,True,Mercedes,1,,True,249.0,289.0,275.0,320.0,,,False,,False
4421.161,RUS,63,24.0,,26.755,33.246,,5.0,SOFT,6.0,True,Mercedes,1,,False,180.0,167.0,,250.0,,4421.161,False,,False
910.419,ANT,12,1.0,104.913,42.706,28.343,33.864,1.0,SOFT,6.0,False,Mercedes,1,,False,226.0,265.0,269.0,272.0,814.233,,False,,False
1004.994,ANT,12,2.0,94.575,22.983,26.922,44.67,1.0,SOFT,7.0,False,Mercedes,1,,True,238.0,213.0,273.0,129.0,,,False,,False
1079.222,ANT,12,3.0,74.228,21.129,23.647,29.452,1.0,SOFT,8.0,False,Mercedes,1,,True,244.0,287.0,274.0,316.0,,,False,,False
1177.279,ANT,12,4.0,98.057,24.453,28.925,44.679,1.0,SOFT,9.0,False,Mercedes,1,,True,227.0,240.0,271.0,207.0,,,False,,False
1250.659,ANT,12,5.0,73.38,20.974,23.19,29.216,1.0,SOFT,10.0,False,Mercedes,1,,True,249.0,290.0,276.0,322.0,,,False,,False
2297.722,ANT,12,6.0,,23.117,25.383,,1.0,SOFT,11.0,False,Mercedes,12,,False,233.0,260.0,,274.0,,1327.776,False,,False
2401.712,ANT,12,7.0,103.99,45.032,25.953,33.005,2.0,SOFT,1.0,True,Mercedes,1,,False,238.0,274.0,174.0,286.0,2311.89,,False,,False
2489.877,ANT,12,8.0,88.165,26.783,26.416,34.966,2.0,SOFT,2.0,True,Mercedes,1,,True,238.0,241.0,280.0,253.0,,,False,,False
2562.953,ANT,12,9.0,73.076,20.661,23.235,29.18,2.0,SOFT,3.0,True,Mercedes,1,,True,246.0,289.0,276.0,319.0,,,False,,False
