Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
23.54,21.2,24.4,1028.9,False,31.6,199,1.0
83.55,21.3,24.7,1028.8,False,31.7,184,2.5
143.568,21.3,24.5,1028.9,False,31.5,183,1.5
203.568,21.3,23.7,1028.9,False,31.3,187,1.7
263.587,21.2,23.9,1028.8,False,31.4,196,0.8
323.605,21.0,23.9,1028.8,False,31.4,196,0.8
383.611,22.0,24.4,1028.9,False,31.5,312,0.8
443.605,21.3,23.9,1028.9,False,31.0,316,1.5
503.61,21.2,23.8,1028.9,False,30.8,292,1.5
563.607,21.2,23.9,1028.8,False,30.8,304,1.2
623.601,21.2,24.0,1028.8,False,31.1,269,0.5
683.606,21.1,25.0,1028.8,False,31.4,182,1.4
743.606,21.1,24.7,1028.8,False,31.0,191,1.4
803.613,21.1,24.3,1028.8,False,31.5,184,2.5
863.608,21.1,24.1,1028.8,False,31.4,160,0.6
923.619,21.2,24.1,1028.8,False,31.3,0,0.0
983.626,21.2,24.4,1028.8,False,31.5,145,0.7
1043.627,21.2,24.0,1028.8,False,31.0,281,2.0
1103.641,21.2,24.2,1028.8,False,31.2,340,0.6
1163.652,21.3,24.4,1028.8,False,31.2,124,0.4
1223.679,21.3,23.3,1028.8,False,31.0,130,0.6
1283.675,21.3,23.3,1028.8,False,31.0,130,0.6
1343.676,21.3,24.2,1028.7,False,31.0,17,0.4
1403.675,21.3,24.0,1028.7,False,30.6,205,1.1
1463.697,21.2,23.7,1028.8,False,30.7,203,1.5
1523.711,21.2,23.9,1028.8,False,31.0,171,2.2
1583.71,21.3,24.1,1028.7,False,30.6,191,2.2
1643.725,21.3,23.5,1028.8,False,30.7,199,0.5
1703.751,21.4,23.5,1028.8,False,30.8,121,0.7
1763.743,21.4,23.8,1028.7,False,31.0,78,0.9
1823.745,21.2,25.6,1028.7,False,30.9,334,0.9
1883.747,21.2,25.8,1028.7,False,30.6,322,0.7
1943.749,21.1,26.3,1028.7,False,30.8,305,0.9
2003.748,21.1,27.0,1028.7,False,30.0,208,1.3
2063.75,21.0,25.2,1028.6,False,30.5,286,1.0
2123.748,21.0,25.2,1028.6,False,30.5,286,1.0
2183.75,21.0,25.7,1028.7,False,30.5,314,1.2
2243.75,21.1,24.8,1028.7,False,30.6,304,0.8
2303.752,21.1,25.5,1028.6,False,31.3,185,1.3
2363.752,21.1,25.5,1028.6,False,31.3,185,1.3
2423.752,21.2,25.1,1028.6,False,31.2,181,1.2
2483.759,21.2,24.0,1028.6,False,31.1,166,0.6
2543.756,21.2,25.1,1028.6,False,31.2,345,1.0
2603.753,21.2,25.1,1028.6,False,31.2,345,1.0
2663.755,21.2,25.4,1028.6,False,30.9,317,1.4
2723.758,21.2,24.3,1028.6,False,30.7,226,0.5
2783.758,21.3,24.0,1028.7,True,31.0,187,1.3
2843.758,21.3,23.9,1028.6,False,30.6,193,1.1
2903.778,21.3,24.8,1028.6,False,30.7,115,0.4
2963.763,21.3,24.7,1028.6,False,31.0,319,1.7
3023.774,21.3,24.7,1028.6,False,30.9,304,1.0
3083.795,21.3,24.4,1028.6,False,30.8,333,1.5
3143.808,21.3,24.8,1028.6,False,30.4,320,2.2
3203.797,21.3,24.3,1028.5,False,30.6,306,1.4
3263.808,21.3,24.3,1028.5,False,30.6,306,1.4
3323.808,21.3,24.4,1028.5,False,30.5,300,1.6
3383.809,21.2,24.7,1028.5,False,30.9,302,0.9
3443.81,21.2,24.7,1028.5,False,30.7,315,0.9
3503.826,21.2,24.5,1028.5,False,30.9,316,0.9
3563.845,21.2,24.7,1028.5,False,31.0,231,0.7
3623.847,21.2,24.2,1028.6,False,30.4,213,1.4
3683.86,20.9,24.2,1028.6,False,30.4,213,1.4
3743.881,21.3,25.1,1028.5,False,30.9,283,1.3
3803.897,21.4,24.8,1028.5,False,31.2,0,0.0
3863.894,21.4,24.6,1028.5,False,30.5,325,0.8
3923.894,21.4,24.6,1028.5,False,30.5,325,0.8
3983.907,21.4,24.5,1028.6,False,30.8,226,0.8
4043.898,21.4,24.2,1028.5,False,30.6,0,0.0
4103.892,21.4,24.6,1028.5,False,30.8,202,1.5
4163.897,21.4,24.2,1028.6,False,30.5,278,0.7
4223.895,21.9,24.6,1028.5,False,31.0,295,1.3
4283.899,21.5,24.4,1028.6,False,30.7,266,0.5
4343.899,21.7,24.4,1028.6,False,30.7,266,0.5
4403.909,21.5,24.3,1028.6,False,30.8,345,1.1
4463.937,21.6,24.1,1028.6,False,30.7,219,1.4
4523.938,21.5,23.7,1028.5,False,30.4,233,1.3
4583.991,21.5,23.7,1028.5,False,30.4,233,1.3
4643.952,21.4,24.1,1028.5,False,29.8,222,0.9
4703.951,21.4,24.1,1028.6,False,30.2,249,0.8
