Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
3838.725,NOR,1,1.0,86.181,,26.091,32.008,1.0,INTERMEDIATE,1.0,True,McLaren,1,1.0,False,240.0,274.0,278.0,298.0,,,False,,False
3936.499,NOR,1,2.0,97.774,23.565,26.304,47.905,1.0,INTERMEDIATE,2.0,True,McLaren,1,13.0,False,226.0,267.0,,296.0,,3914.626,False,,False
4020.574,NOR,1,3.0,84.075,26.055,25.903,32.117,2.0,MEDIUM,1.0,True,McLaren,1,14.0,False,237.0,283.0,271.0,305.0,3938.119,,False,,False
4101.744,NOR,1,4.0,81.17,24.684,25.667,30.819,2.0,MEDIUM,2.0,True,McLaren,1,14.0,True,227.0,280.0,283.0,313.0,,,True,TRACK LIMITS AT TURN 4 LAP 4 ,False
4180.347,NOR,1,5.0,78.603,22.558,25.085,30.96,2.0,MEDIUM,3.0,True,McLaren,1,14.0,True,234.0,279.0,283.0,313.0,,,False,,False
4259.69,NOR,1,6.0,79.343,22.674,25.181,31.488,2.0,MEDIUM,4.0,True,McLaren,1,14.0,True,233.0,286.0,286.0,320.0,,,False,,False
4337.769,NOR,1,7.0,78.079,22.5,24.805,30.774,2.0,MEDIUM,5.0,True,McLaren,1,13.0,True,236.0,287.0,293.0,326.0,,,False,,False
4415.796,NOR,1,8.0,78.027,22.487,24.992,30.548,2.0,MEDIUM,6.0,True,McLaren,1,11.0,True,237.0,279.0,272.0,312.0,,,False,,False
4492.902,NOR,1,9.0,77.106,22.114,24.496,30.496,2.0,MEDIUM,7.0,True,McLaren,1,11.0,True,235.0,278.0,276.0,309.0,,,False,,False
4570.128,NOR,1,10.0,77.226,22.097,24.661,30.468,2.0,MEDIUM,8.0,True,McLaren,1,11.0,True,235.0,281.0,275.0,326.0,,,False,,False
