Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
924.58,NOR,1,1.0,97.765,34.307,41.369,22.089,1.0,MEDIUM,1.0,True,McLaren,1,,False,144.0,175.0,260.0,234.0,828.272,,False,,False
1001.591,NOR,1,2.0,77.011,20.596,36.264,20.151,1.0,MEDIUM,2.0,True,McLaren,1,,True,189.0,196.0,263.0,276.0,,,False,,False
1077.15,NOR,1,3.0,75.559,19.955,35.62,19.984,1.0,MEDIUM,3.0,True,McLaren,1,,True,198.0,198.0,264.0,278.0,,,False,,False
1183.974,NOR,1,4.0,106.824,25.477,50.073,31.274,1.0,MEDIUM,4.0,True,McLaren,1,,True,124.0,134.0,251.0,192.0,,,False,,False
1259.248,NOR,1,5.0,75.274,20.001,35.51,19.763,1.0,MEDIUM,5.0,True,McLaren,1,,True,203.0,201.0,263.0,276.0,,,False,,False
1376.113,NOR,1,6.0,116.865,21.397,41.37,54.098,1.0,MEDIUM,6.0,True,McLaren,1,,False,165.0,158.0,,233.0,,1338.746,False,,False
1487.29,NOR,1,7.0,111.177,29.889,48.47,32.818,2.0,MEDIUM,7.0,False,McLaren,1,,False,60.0,109.0,256.0,238.0,1376.915,,False,,False
4195.978,NOR,1,8.0,,20.327,,,2.0,MEDIUM,8.0,False,McLaren,12675,,False,195.0,,,278.0,,4195.978,False,,False
878.582,GAS,10,1.0,98.014,32.899,41.949,23.166,1.0,MEDIUM,1.0,True,Alpine,1,,False,137.0,159.0,241.0,257.0,781.614,,False,,False
969.453,GAS,10,2.0,90.871,22.378,38.317,30.176,1.0,MEDIUM,2.0,True,Alpine,1,,True,172.0,166.0,243.0,283.0,,,False,,False
1047.447,GAS,10,3.0,77.994,20.483,36.201,21.31,1.0,MEDIUM,3.0,True,Alpine,1,,True,196.0,188.0,265.0,284.0,,,False,,False
1139.104,GAS,10,4.0,91.657,26.714,43.214,21.729,1.0,MEDIUM,4.0,True,Alpine,1,,True,123.0,171.0,263.0,252.0,,,False,,False
1215.275,GAS,10,5.0,76.171,19.819,35.789,20.563,1.0,MEDIUM,5.0,True,Alpine,1,,True,200.0,189.0,266.0,284.0,,,False,,False
1313.262,GAS,10,6.0,97.987,26.953,43.054,27.98,1.0,MEDIUM,6.0,True,Alpine,1,,True,72.0,164.0,240.0,241.0,,,False,,False
