Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
1057.886,ANT,12,1.0,100.746,33.153,44.421,23.172,1.0,SOFT,1.0,True,Mercedes,1,,False,69.0,173.0,254.0,268.0,958.301,,False,,False
1152.421,ANT,12,2.0,94.535,26.929,46.0,21.606,1.0,SOFT,2.0,True,Mercedes,1,,True,100.0,168.0,262.0,224.0,,,False,,False
1226.734,ANT,12,3.0,74.313,19.606,35.059,19.648,1.0,SOFT,3.0,True,Mercedes,1,,True,205.0,199.0,264.0,282.0,,,False,,False
1321.467,ANT,12,4.0,94.733,22.894,47.143,24.696,1.0,SOFT,4.0,True,Mercedes,1,,True,154.0,155.0,263.0,237.0,,,False,,False
1406.595,ANT,12,5.0,85.128,19.487,41.629,24.012,1.0,SOFT,5.0,True,Mercedes,1,,True,204.0,175.0,263.0,270.0,,,False,,False
1480.541,ANT,12,6.0,73.946,19.393,34.755,19.798,1.0,SOFT,6.0,True,Mercedes,1,,True,209.0,178.0,263.0,281.0,,,False,,False
1575.37,ANT,12,7.0,94.829,26.715,45.9,22.214,1.0,SOFT,7.0,True,Mercedes,1,,True,140.0,154.0,262.0,180.0,,,True,TRACK LIMITS AT TURN 1 LAP 8 ,False
1648.969,ANT,12,8.0,73.599,19.238,34.852,19.509,1.0,SOFT,8.0,True,Mercedes,1,,True,212.0,200.0,264.0,282.0,,,False,,False
1748.187,ANT,12,9.0,99.218,24.379,50.449,24.39,1.0,SOFT,9.0,True,Mercedes,1,,True,124.0,145.0,168.0,195.0,,,False,,False
2872.685,ANT,12,10.0,,23.759,,,1.0,SOFT,10.0,True,Mercedes,125,,False,165.0,,,212.0,,1839.574,False,,False
2972.84,ANT,12,11.0,100.155,32.653,45.239,22.263,2.0,SOFT,1.0,True,Mercedes,1,,False,80.0,172.0,256.0,266.0,2874.382,,False,,False
3051.615,ANT,12,12.0,78.775,20.838,37.383,20.554,2.0,SOFT,2.0,True,Mercedes,1,,True,182.0,184.0,264.0,278.0,,,False,,False
3124.393,ANT,12,13.0,72.778,19.121,34.368,19.289,2.0,SOFT,3.0,True,Mercedes,1,,True,215.0,201.0,264.0,282.0,,,False,,False
3223.763,ANT,12,14.0,99.37,25.761,52.768,20.841,2.0,SOFT,4.0,True,Mercedes,1,,True,75.0,173.0,265.0,232.0,,,False,,False
3296.467,ANT,12,15.0,72.704,19.248,34.29,19.166,2.0,SOFT,5.0,True,Mercedes,1,,True,213.0,201.0,264.0,282.0,,,False,,False
3403.093,ANT,12,16.0,106.626,22.43,40.119,44.077,2.0,SOFT,6.0,True,Mercedes,1,,False,142.0,166.0,,233.0,,3374.673,False,,False
3488.887,ANT,12,17.0,85.794,26.323,38.466,21.005,3.0,SOFT,1.0,True,Mercedes,1,,False,165.0,181.0,261.0,274.0,3403.873,,False,,False
3567.89,ANT,12,18.0,79.003,20.413,37.484,21.106,3.0,SOFT,2.0,True,Mercedes,1,,True,183.0,183.0,265.0,273.0,,,False,,False
3640.643,ANT,12,19.0,72.753,19.119,34.145,19.489,3.0,SOFT,3.0,True,Mercedes,1,,True,214.0,203.0,265.0,283.0,,,False,,False
4148.241,ANT,12,20.0,,26.205,40.816,,3.0,SOFT,4.0,True,Mercedes,1,,False,63.0,161.0,,233.0,,3724.607,False,,False
4239.886,ANT,12,21.0,91.645,32.648,38.155,20.842,4.0,SOFT,1.0,True,Mercedes,1,,False,177.0,181.0,260.0,270.0,4150.168,,False,,False
4322.488,ANT,12,22.0,82.602,20.565,41.365,20.672,4.0,SOFT,2.0,True,Mercedes,1,,True,178.0,181.0,264.0,275.0,,,False,,False
4394.863,ANT,12,23.0,72.375,18.941,34.183,19.251,4.0,SOFT,3.0,True,Mercedes,1,,True,215.0,204.0,263.0,282.0,,,False,,False
4667.858,ANT,12,24.0,,22.607,38.865,,4.0,SOFT,4.0,True,Mercedes,1,,False,161.0,165.0,,236.0,,4471.29,False,,False
4764.179,ANT,12,25.0,96.321,36.311,38.703,21.307,5.0,SOFT,1.0,True,Mercedes,1,,False,128.0,178.0,260.0,265.0,4670.071,,False,,False
4841.35,ANT,12,26.0,77.171,20.402,36.53,20.239,5.0,SOFT,2.0,True,Mercedes,1,,True,200.0,188.0,264.0,279.0,,,False,,False
4913.401,ANT,12,27.0,72.051,18.934,33.989,19.128,5.0,SOFT,3.0,True,Mercedes,12,,True,215.0,203.0,264.0,282.0,,,False,,False
5005.206,ANT,12,28.0,,25.607,43.817,,5.0,SOFT,4.0,True,Mercedes,21,,False,158.0,121.0,,227.0,,5005.206,False,,False
1170.572,VER,3,1.0,84.253,25.676,37.544,21.033,1.0,SOFT,1.0,True,Red Bull Racing,1,,False,182.0,187.0,236.0,270.0,1087.023,,False,,False
1252.45,VER,3,2.0,81.878,20.193,36.15,25.535,1.0,SOFT,2.0,True,Red Bull Racing,1,,True,205.0,193.0,260.0,277.0,,,False,,False
1326.954,VER,3,3.0,74.504,19.438,35.267,19.799,1.0,SOFT,3.0,True,Red Bull Racing,1,,True,216.0,195.0,266.0,282.0,,,False,,False
1410.713,VER,3,4.0,83.759,20.874,39.978,22.907,1.0,SOFT,4.0,True,Red Bull Racing,1,,True,195.0,178.0,264.0,274.0,,,False,,False
1484.72,VER,3,5.0,74.007,19.5,34.93,19.577,1.0,SOFT,5.0,True,Red Bull Racing,1,,True,210.0,204.0,265.0,282.0,,,False,,False
1579.679,VER,3,6.0,94.959,26.088,45.636,23.235,1.0,SOFT,6.0,True,Red Bull Racing,1,,True,129.0,147.0,262.0,252.0,,,False,,False
1653.169,VER,3,7.0,73.49,19.239,34.711,19.54,1.0,SOFT,7.0,True,Red Bull Racing,1,,True,216.0,199.0,264.0,282.0,,,False,,False
2788.594,VER,3,8.0,,22.571,45.092,,1.0,SOFT,8.0,True,Red Bull Racing,125,,False,152.0,176.0,,229.0,,1737.47,False,,False
2881.351,VER,3,9.0,92.757,33.449,38.217,21.091,2.0,SOFT,1.0,True,Red Bull Racing,1,,False,174.0,188.0,230.0,260.0,2789.826,,False,,False
2965.881,VER,3,10.0,84.53,20.295,39.106,25.129,2.0,SOFT,2.0,True,Red Bull Racing,1,,True,205.0,185.0,264.0,273.0,,,False,,False
3039.086,VER,3,11.0,73.205,19.236,34.601,19.368,2.0,SOFT,3.0,True,Red Bull Racing,1,,True,215.0,201.0,266.0,282.0,,,False,,False
3130.319,VER,3,12.0,91.233,26.189,43.73,21.314,2.0,SOFT,4.0,True,Red Bull Racing,1,,True,138.0,188.0,265.0,263.0,,,False,,False
3203.159,VER,3,13.0,72.84,19.034,34.569,19.237,2.0,SOFT,5.0,True,Red Bull Racing,1,,True,218.0,205.0,265.0,281.0,,,False,,False
3407.845,VER,3,14.0,,21.043,37.108,,2.0,SOFT,6.0,True,Red Bull Racing,1,,False,190.0,188.0,,269.0,,3276.013,False,,False
3495.987,VER,3,15.0,88.142,30.281,37.309,20.552,3.0,SOFT,1.0,True,Red Bull Racing,1,,False,191.0,190.0,236.0,269.0,3408.963,,False,,False
3573.06,VER,3,16.0,77.073,19.939,36.625,20.509,3.0,SOFT,2.0,True,Red Bull Racing,1,,True,209.0,194.0,266.0,272.0,,,False,,False
3645.559,VER,3,17.0,72.499,18.946,34.317,19.236,3.0,SOFT,3.0,True,Red Bull Racing,1,,True,219.0,205.0,265.0,282.0,,,False,,False
4169.474,VER,3,18.0,,22.895,40.568,,3.0,SOFT,4.0,True,Red Bull Racing,1,,False,157.0,165.0,,242.0,,3725.735,False,,False
4255.645,VER,3,19.0,86.171,27.902,37.606,20.663,4.0,SOFT,1.0,True,Red Bull Racing,1,,False,186.0,191.0,235.0,259.0,4170.076,,False,,False
4339.068,VER,3,20.0,83.423,20.137,42.319,20.967,4.0,SOFT,2.0,True,Red Bull Racing,1,,True,199.0,192.0,263.0,272.0,,,False,,False
4411.444,VER,3,21.0,72.376,18.91,34.223,19.243,4.0,SOFT,3.0,True,Red Bull Racing,1,,True,218.0,207.0,264.0,281.0,,,False,,False
4640.19,VER,3,22.0,,21.276,37.336,,4.0,SOFT,4.0,True,Red Bull Racing,1,,False,181.0,187.0,,268.0,,4484.812,False,,False
4724.471,VER,3,23.0,84.281,26.891,37.064,20.326,5.0,SOFT,1.0,True,Red Bull Racing,1,,False,191.0,192.0,236.0,268.0,4640.952,,False,,False
4803.3,VER,3,24.0,78.829,21.627,37.118,20.084,5.0,SOFT,2.0,True,Red Bull Racing,1,,True,199.0,193.0,264.0,269.0,,,False,,False
4875.394,VER,3,25.0,72.094,18.827,34.184,19.083,5.0,SOFT,3.0,True,Red Bull Racing,1,,True,218.0,203.0,264.0,280.0,,,False,,False
4963.216,VER,3,26.0,,26.566,42.264,,5.0,SOFT,4.0,True,Red Bull Racing,12,,False,163.0,172.0,,195.0,,4963.216,False,,False
1048.77,HAM,44,1.0,95.99,29.893,42.864,23.233,1.0,SOFT,1.0,True,Ferrari,1,,False,148.0,154.0,260.0,261.0,953.718,,False,,False
1135.6,HAM,44,2.0,86.83,21.271,43.731,21.828,1.0,SOFT,2.0,True,Ferrari,1,,True,184.0,185.0,261.0,278.0,,,False,,False
1209.942,HAM,44,3.0,74.342,19.745,34.769,19.828,1.0,SOFT,3.0,True,Ferrari,1,,True,211.0,198.0,262.0,281.0,,,False,,False
1315.69,HAM,44,4.0,105.748,33.086,44.655,28.007,1.0,SOFT,4.0,True,Ferrari,1,,True,108.0,87.0,243.0,260.0,,,False,,False
1415.571,HAM,44,5.0,99.881,27.895,47.0,24.986,1.0,SOFT,5.0,True,Ferrari,1,,True,148.0,161.0,262.0,257.0,,,False,,False
1489.375,HAM,44,6.0,73.804,19.612,34.61,19.582,1.0,SOFT,6.0,True,Ferrari,1,,True,211.0,198.0,263.0,280.0,,,False,,False
1581.899,HAM,44,7.0,92.524,24.274,44.334,23.916,1.0,SOFT,7.0,True,Ferrari,1,,True,166.0,155.0,239.0,227.0,,,False,,False
1678.615,HAM,44,8.0,96.716,27.661,47.048,22.007,1.0,SOFT,8.0,True,Ferrari,1,,True,95.0,182.0,263.0,239.0,,,True,TRACK LIMITS AT TURN 1 LAP 9 ,False
1752.392,HAM,44,9.0,73.777,19.402,34.705,19.67,1.0,SOFT,9.0,True,Ferrari,1,,True,211.0,199.0,263.0,280.0,,,False,,False
2840.024,HAM,44,10.0,,28.588,,,1.0,SOFT,10.0,True,Ferrari,125,,False,148.0,,,280.0,,1852.63,False,,False
2932.52,HAM,44,11.0,92.496,29.196,40.857,22.443,2.0,SOFT,1.0,True,Ferrari,1,,False,156.0,178.0,255.0,259.0,2840.956,,False,,False
3011.755,HAM,44,12.0,79.235,21.353,36.635,21.247,2.0,SOFT,2.0,True,Ferrari,1,,True,186.0,195.0,263.0,277.0,,,False,,False
3084.846,HAM,44,13.0,73.091,19.337,34.321,19.433,2.0,SOFT,3.0,True,Ferrari,1,,True,213.0,203.0,262.0,280.0,,,False,,False
3230.741,HAM,44,14.0,145.895,27.923,43.567,74.405,2.0,SOFT,4.0,True,Ferrari,1,,False,139.0,139.0,,240.0,,3174.053,False,,False
3325.558,HAM,44,15.0,94.817,25.48,48.259,21.078,3.0,SOFT,5.0,False,Ferrari,1,,False,166.0,186.0,262.0,184.0,3231.525,,False,,False
3443.308,HAM,44,16.0,117.75,19.348,34.415,63.987,3.0,SOFT,6.0,False,Ferrari,1,,False,219.0,202.0,,279.0,,3393.127,False,,False
3542.259,HAM,44,17.0,98.951,34.152,40.246,24.553,4.0,SOFT,1.0,True,Ferrari,1,,False,112.0,174.0,240.0,258.0,3444.462,,False,,False
3624.108,HAM,44,18.0,81.849,20.874,37.501,23.474,4.0,SOFT,2.0,True,Ferrari,1,,True,189.0,182.0,263.0,256.0,,,False,,False
3697.042,HAM,44,19.0,72.934,19.267,34.339,19.328,4.0,SOFT,3.0,True,Ferrari,1,,True,216.0,201.0,264.0,280.0,,,False,,False
4122.718,HAM,44,20.0,,27.041,45.184,,4.0,SOFT,4.0,True,Ferrari,1,,False,147.0,117.0,,203.0,,3787.803,False,,False
4221.048,HAM,44,21.0,98.33,31.244,41.78,25.306,5.0,SOFT,1.0,True,Ferrari,1,,False,164.0,169.0,250.0,252.0,4124.067,,False,,False
4301.16,HAM,44,22.0,80.112,21.775,37.871,20.466,5.0,SOFT,2.0,True,Ferrari,1,,True,187.0,187.0,262.0,278.0,,,False,,False
4373.713,HAM,44,23.0,72.553,19.15,34.126,19.277,5.0,SOFT,3.0,True,Ferrari,1,,True,218.0,202.0,262.0,279.0,,,False,,False
