Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
3410.495,NOR,1,1.0,90.629,,39.379,21.696,1.0,MEDIUM,1.0,True,McLaren,12,8.0,False,151.0,181.0,257.0,265.0,,,False,,False
3491.179,NOR,1,2.0,80.684,21.738,37.534,21.412,1.0,MEDIUM,2.0,True,McLaren,1,8.0,True,178.0,177.0,258.0,273.0,,,False,,False
3571.374,NOR,1,3.0,80.195,21.482,37.614,21.099,1.0,MEDIUM,3.0,True,McLaren,1,8.0,True,177.0,187.0,259.0,277.0,,,False,,False
3650.865,NOR,1,4.0,79.491,21.206,37.169,21.116,1.0,MEDIUM,4.0,True,McLaren,1,8.0,True,189.0,182.0,259.0,276.0,,,False,,False
3729.853,NOR,1,5.0,78.988,20.871,36.96,21.157,1.0,MEDIUM,5.0,True,McLaren,1,8.0,True,184.0,179.0,259.0,276.0,,,False,,False
3808.086,NOR,1,6.0,78.233,20.752,36.693,20.788,1.0,MEDIUM,6.0,True,McLaren,1,8.0,True,190.0,190.0,259.0,275.0,,,False,,False
3886.329,NOR,1,7.0,78.243,20.606,36.68,20.957,1.0,MEDIUM,7.0,True,McLaren,1,8.0,True,191.0,187.0,259.0,275.0,,,False,,False
3964.408,NOR,1,8.0,78.079,20.598,36.576,20.905,1.0,MEDIUM,8.0,True,McLaren,1,8.0,True,193.0,192.0,261.0,278.0,,,False,,False
4042.467,NOR,1,9.0,78.059,20.876,36.456,20.727,1.0,MEDIUM,9.0,True,McLaren,1,8.0,True,183.0,194.0,260.0,277.0,,,False,,False
4121.095,NOR,1,10.0,78.628,20.611,36.654,21.363,1.0,MEDIUM,10.0,True,McLaren,1,8.0,True,189.0,185.0,259.0,278.0,,,False,,False
4199.508,NOR,1,11.0,78.413,20.555,36.981,20.877,1.0,MEDIUM,11.0,True,McLaren,1,8.0,True,196.0,187.0,256.0,277.0,,,False,,False
4277.23,NOR,1,12.0,77.722,20.68,36.379,20.663,1.0,MEDIUM,12.0,True,McLaren,1,8.0,True,193.0,193.0,260.0,270.0,,,False,,False
4355.621,NOR,1,13.0,78.391,20.76,36.899,20.732,1.0,MEDIUM,13.0,True,McLaren,1,8.0,True,184.0,189.0,261.0,276.0,,,False,,False
4433.791,NOR,1,14.0,78.17,20.523,36.851,20.796,1.0,MEDIUM,14.0,True,McLaren,1,8.0,True,190.0,187.0,262.0,279.0,,,False,,False
4512.414,NOR,1,15.0,78.623,20.671,37.009,20.943,1.0,MEDIUM,15.0,True,McLaren,1,8.0,True,189.0,190.0,260.0,279.0,,,False,,False
4591.052,NOR,1,16.0,78.638,20.822,36.824,20.992,1.0,MEDIUM,16.0,True,McLaren,1,8.0,True,186.0,191.0,260.0,275.0,,,False,,False
4669.794,NOR,1,17.0,78.742,20.606,37.153,20.983,1.0,MEDIUM,17.0,True,McLaren,1,8.0,True,185.0,187.0,261.0,277.0,,,False,,False
4748.788,NOR,1,18.0,78.994,20.986,36.999,21.009,1.0,MEDIUM,18.0,True,McLaren,1,8.0,True,189.0,185.0,262.0,279.0,,,False,,False
