Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
24.792,23.3,64.7,1022.1,False,33.1,244,0.5
84.809,23.4,64.1,1022.0,False,34.0,0,0.0
144.794,23.0,64.1,1022.0,False,34.0,0,0.0
204.789,23.3,63.5,1022.1,False,34.4,0,0.0
264.791,23.5,63.7,1022.1,False,35.1,131,0.5
324.791,23.4,63.4,1022.1,False,35.4,0,0.0
384.796,23.4,63.4,1022.1,False,35.4,0,0.0
444.797,23.8,62.6,1022.0,False,34.3,340,1.4
504.801,22.9,62.6,1022.0,False,34.3,340,1.4
564.817,23.8,64.5,1022.0,False,36.6,153,0.7
624.792,23.8,64.5,1022.0,False,36.6,153,0.7
684.804,24.0,64.1,1022.0,False,37.5,53,0.5
744.799,24.0,64.1,1022.0,False,37.5,53,0.5
804.805,23.1,64.1,1022.0,False,37.5,53,0.5
864.805,23.3,62.5,1022.0,False,38.2,0,0.0
924.806,23.3,62.5,1022.0,False,38.2,0,0.0
984.797,23.5,61.5,1022.0,False,36.1,0,0.0
1044.802,23.5,61.5,1022.0,False,36.1,0,0.0
1104.807,23.8,59.1,1022.0,False,37.6,333,0.5
1164.805,22.6,59.0,1021.9,False,36.2,144,0.5
1224.81,22.6,59.0,1021.9,False,36.2,144,0.5
1284.8,22.8,61.2,1021.9,False,36.9,210,1.2
1344.809,23.0,61.2,1021.9,False,36.9,210,1.2
1404.829,23.0,61.2,1021.9,False,36.9,210,1.2
1464.813,24.3,59.3,1021.9,False,34.5,119,0.4
1524.814,23.7,59.3,1021.9,False,34.5,119,0.4
1584.813,24.0,61.0,1021.8,False,39.9,141,0.5
1644.815,23.9,61.2,1021.8,False,39.4,150,0.3
1704.812,23.9,61.3,1021.8,False,39.2,0,0.0
1764.812,23.9,60.6,1021.8,False,40.6,61,0.4
1824.812,23.9,61.0,1021.9,False,40.8,163,0.8
1884.806,23.7,61.0,1021.8,False,38.3,152,0.6
1944.819,23.6,61.6,1021.9,False,40.2,131,0.5
