Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
10.757,29.7,29.2,1009.3,False,49.7,222,2.2
70.773,29.6,28.8,1009.2,False,48.9,262,2.5
130.796,29.6,29.0,1009.3,False,49.7,229,2.5
190.796,29.6,29.1,1009.4,False,49.8,205,1.9
250.809,29.7,28.6,1009.4,False,49.0,222,1.5
310.81,29.7,29.2,1009.4,False,49.0,228,2.7
370.808,29.6,29.6,1009.3,False,49.4,208,2.0
430.836,29.5,29.9,1009.2,False,48.1,151,1.3
490.831,29.6,29.5,1009.3,False,49.8,179,0.5
550.841,29.7,29.2,1009.3,False,50.0,100,0.5
610.848,29.8,29.8,1009.3,False,48.7,174,1.4
670.87,29.8,29.4,1009.2,False,49.7,196,2.5
730.864,29.6,29.7,1009.2,False,49.4,179,0.5
790.864,29.7,29.5,1009.2,False,49.2,118,0.8
850.865,29.8,30.4,1009.2,False,47.0,94,3.2
910.865,29.8,31.6,1009.2,False,49.9,164,0.5
970.875,29.9,31.2,1009.1,False,49.5,185,1.0
1030.869,29.9,28.8,1009.2,False,48.7,91,2.0
1090.886,29.9,28.3,1009.2,False,48.4,118,2.5
1150.88,29.9,27.9,1009.1,False,47.8,89,1.9
1210.864,29.9,27.7,1009.1,False,49.3,254,1.5
1270.896,29.8,28.3,1009.2,False,49.5,58,0.6
1330.899,29.8,28.8,1009.2,False,48.6,165,0.9
1390.907,29.9,28.2,1009.1,False,48.6,85,0.5
1450.926,30.0,27.9,1009.1,False,48.4,169,1.5
1510.933,29.9,29.1,1009.1,False,48.3,140,2.1
1570.927,29.8,29.0,1009.1,False,48.7,149,1.0
1630.93,29.9,29.5,1009.1,False,48.1,148,3.2
1690.951,29.9,29.9,1009.1,False,48.3,133,2.7
1750.952,29.8,29.8,1009.1,False,48.2,123,1.4
1810.969,29.8,30.1,1009.2,False,47.7,134,2.2
1870.96,29.8,30.3,1009.1,False,48.5,148,1.3
1930.958,29.9,29.9,1009.2,False,47.5,123,2.3
1990.971,29.8,30.5,1009.1,False,49.0,143,0.8
2050.971,29.9,31.4,1009.2,False,49.2,237,1.6
2110.972,30.0,31.3,1009.2,False,48.3,111,0.9
2170.973,30.0,31.0,1009.1,False,47.4,113,1.5
2230.973,29.8,32.0,1009.2,False,48.3,92,2.2
2290.975,29.7,32.1,1009.1,False,47.7,100,2.3
2350.967,29.7,31.9,1009.1,False,48.2,134,1.6
2410.974,29.7,31.0,1009.1,False,47.7,124,2.4
2470.974,29.7,31.4,1009.1,False,48.2,129,1.5
2530.983,29.8,31.6,1009.1,False,47.3,163,2.3
2590.984,29.6,31.8,1009.1,False,47.2,134,2.0
2650.977,29.5,31.6,1009.2,False,46.4,152,3.1
2710.995,29.4,32.2,1009.1,False,46.8,117,2.5
2770.982,29.4,32.3,1009.3,False,47.5,123,1.6
2830.983,29.5,32.2,1009.1,False,47.9,69,0.9
2890.979,29.5,32.2,1009.1,False,47.1,90,2.4
2950.982,29.6,32.1,1009.1,False,46.5,106,2.3
3010.978,29.5,32.0,1009.1,False,46.3,125,3.2
3070.989,29.5,33.0,1009.1,False,47.2,110,2.2
3130.98,29.5,33.2,1009.1,False,47.5,126,1.5
3190.985,29.5,32.8,1009.1,False,47.5,122,2.0
3250.995,29.6,32.7,1009.1,False,46.9,84,2.4
3310.99,29.6,33.3,1009.1,False,47.1,95,0.7
3370.992,29.4,33.1,1009.0,False,45.0,152,2.6
3430.991,29.3,34.0,1009.1,False,44.9,96,4.3
3490.984,29.0,35.0,1009.0,False,46.6,113,1.3
3551.015,28.9,34.8,1009.1,False,46.1,87,3.0
3611.009,29.1,34.1,1009.2,False,46.5,106,2.1
3671.024,29.1,33.9,1009.1,False,45.4,112,2.1
3731.035,29.1,34.1,1009.1,False,45.1,85,3.3
3791.038,29.1,34.0,1009.1,False,45.8,103,1.8
3851.038,29.1,34.1,1009.2,False,46.3,59,1.5
3911.047,29.5,34.1,1009.2,False,46.3,59,1.5
3971.037,29.1,34.1,1009.2,False,45.3,105,2.0
4031.052,29.1,34.2,1009.2,False,45.9,98,1.5
4091.043,30.4,34.2,1009.2,False,45.9,98,1.5
4151.065,29.2,34.0,1009.3,False,45.7,92,1.6
4211.075,29.2,33.8,1009.2,False,46.3,244,0.4
4271.102,29.1,34.0,1009.2,False,44.6,149,2.9
4331.094,29.0,34.3,1009.1,False,45.7,88,1.1
4391.091,28.9,33.4,1009.2,False,44.4,94,2.4
4451.108,28.8,33.8,1009.2,False,44.9,111,1.7
4511.105,28.8,34.2,1009.1,False,45.3,100,1.9
4571.103,29.0,33.7,1009.2,False,44.7,125,2.0
4631.107,29.0,33.8,1009.2,False,45.3,125,2.7
4691.095,28.9,34.1,1009.2,False,44.7,125,2.1
4751.118,28.7,34.0,1009.2,False,44.3,160,3.1
4811.096,28.7,34.3,1009.2,False,45.5,70,1.2
4871.106,28.7,34.1,1009.3,False,45.5,114,1.3
4931.104,28.8,33.5,1009.1,False,45.3,75,1.8
4991.106,28.9,33.5,1009.3,False,45.3,129,0.7
5051.1,29.0,33.5,1009.2,False,44.9,133,2.5
