Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
2133.481,NOR,1,1.0,,,42.062,29.163,1.0,SOFT,1.0,True,McLaren,1,,False,187.0,201.0,284.0,141.0,2030.583,,False,,False
2210.09,NOR,1,2.0,76.609,22.387,31.045,23.177,1.0,SOFT,2.0,True,McLaren,1,,True,277.0,283.0,279.0,331.0,,,False,,False
2333.989,NOR,1,3.0,123.899,35.252,47.911,40.736,1.0,SOFT,3.0,True,McLaren,1,,False,163.0,162.0,,184.0,,2330.88,False,,False
2476.98,NOR,1,4.0,142.991,68.924,46.607,27.46,2.0,SOFT,4.0,False,McLaren,1,,False,186.0,191.0,281.0,101.0,2363.405,,False,,False
2553.739,NOR,1,5.0,76.759,22.576,30.966,23.217,2.0,SOFT,5.0,False,McLaren,1,,True,275.0,285.0,284.0,330.0,,,False,,False
2636.686,NOR,1,6.0,82.947,26.868,32.139,23.94,2.0,SOFT,6.0,False,McLaren,1,,True,252.0,274.0,298.0,260.0,,,False,,False
2716.034,NOR,1,7.0,79.348,23.286,32.072,23.99,2.0,SOFT,7.0,False,McLaren,1,,True,261.0,275.0,299.0,317.0,,,False,,False
2795.794,NOR,1,8.0,79.76,23.145,32.139,24.476,2.0,SOFT,8.0,False,McLaren,1,,True,259.0,269.0,297.0,324.0,,,False,,False
3691.134,NOR,1,9.0,,23.956,42.309,,2.0,SOFT,9.0,False,McLaren,125,,False,249.0,98.0,,326.0,,2898.45,False,,False
3798.514,NOR,1,10.0,,,39.235,26.155,3.0,SOFT,1.0,True,McLaren,1,,False,204.0,241.0,288.0,162.0,3691.134,,False,,False
3874.439,NOR,1,11.0,75.925,22.214,30.7,23.011,3.0,SOFT,2.0,True,McLaren,1,,True,276.0,289.0,282.0,337.0,,,False,,False
3981.236,NOR,1,12.0,106.797,33.348,41.444,32.005,3.0,SOFT,3.0,True,McLaren,1,,False,219.0,174.0,,141.0,,3978.355,False,,False
4547.895,NOR,1,13.0,,,36.679,26.814,4.0,SOFT,4.0,False,McLaren,1,,False,174.0,223.0,247.0,249.0,4421.523,,False,,False
4705.799,NOR,1,14.0,,30.763,42.703,84.552,4.0,SOFT,5.0,False,McLaren,1,,False,181.0,141.0,3.0,211.0,,,False,,False
4800.49,NOR,1,15.0,94.691,27.067,37.079,30.545,4.0,SOFT,6.0,False,McLaren,12,,False,222.0,181.0,,301.0,,4797.704,False,,False
2454.645,VER,3,1.0,,,41.924,31.294,1.0,SOFT,1.0,True,Red Bull Racing,1,,False,202.0,211.0,291.0,164.0,2349.092,,False,,False
2531.5,VER,3,2.0,76.855,22.367,30.933,23.555,1.0,SOFT,2.0,True,Red Bull Racing,1,,True,271.0,285.0,274.0,330.0,,,False,,False
2649.159,VER,3,3.0,117.659,33.725,48.359,35.575,1.0,SOFT,3.0,True,Red Bull Racing,1,,False,152.0,155.0,,247.0,,2646.35,False,,False
3312.921,VER,3,4.0,,,42.258,26.658,2.0,SOFT,4.0,False,Red Bull Racing,1,,False,167.0,238.0,288.0,154.0,3200.615,,False,,False
3390.15,VER,3,5.0,77.229,22.583,31.217,23.429,2.0,SOFT,5.0,False,Red Bull Racing,1,,True,271.0,292.0,279.0,331.0,,,False,,False
3482.908,VER,3,6.0,92.758,27.35,34.235,31.173,2.0,SOFT,6.0,False,Red Bull Racing,1,,False,222.0,242.0,,209.0,,3480.093,False,,False
3879.884,VER,3,7.0,,,41.944,28.744,3.0,SOFT,1.0,True,Red Bull Racing,1,,False,159.0,182.0,288.0,125.0,3763.532,,False,,False
3956.318,VER,3,8.0,76.434,22.41,30.654,23.37,3.0,SOFT,2.0,True,Red Bull Racing,1,,True,274.0,289.0,278.0,335.0,,,False,,False
4047.403,VER,3,9.0,91.085,27.97,33.813,29.302,3.0,SOFT,3.0,True,Red Bull Racing,1,,False,224.0,221.0,,226.0,,4044.726,False,,False
4467.812,VER,3,10.0,,,40.023,30.655,4.0,SOFT,4.0,False,Red Bull Racing,1,,False,108.0,178.0,212.0,194.0,4341.597,,False,,False
4586.993,VER,3,11.0,119.181,33.462,41.975,43.744,4.0,SOFT,5.0,False,Red Bull Racing,1,,True,163.0,200.0,42.0,218.0,,,False,,False
4712.169,VER,3,12.0,125.176,59.214,36.85,29.112,4.0,SOFT,6.0,False,Red Bull Racing,1,,False,214.0,196.0,,290.0,,4709.353,False,,False
2106.111,BOR,5,1.0,,,37.184,26.438,1.0,SOFT,1.0,True,Audi,1,,False,198.0,228.0,285.0,224.0,2014.264,,False,,False
2183.692,BOR,5,2.0,77.581,22.66,31.318,23.603,1.0,SOFT,2.0,True,Audi,1,,True,280.0,279.0,277.0,330.0,,,False,,False
2288.634,BOR,5,3.0,104.942,26.249,47.109,31.584,1.0,SOFT,3.0,True,Audi,1,,False,162.0,222.0,,296.0,,2285.793,False,,False
2812.93,BOR,5,4.0,,,44.117,28.812,2.0,SOFT,4.0,False,Audi,1,,False,179.0,180.0,281.0,177.0,2687.238,,False,,False
2891.901,BOR,5,5.0,78.971,22.879,31.799,24.293,2.0,SOFT,5.0,False,Audi,12,,True,277.0,283.0,280.0,330.0,,,False,,False
3816.694,BOR,5,6.0,,,,,2.0,SOFT,6.0,False,Audi,251,,False,,,,,,3008.497,False,,False
3927.149,BOR,5,7.0,,,41.789,29.589,3.0,SOFT,1.0,True,Audi,1,,False,198.0,199.0,288.0,162.0,3816.694,,False,,False
4004.176,BOR,5,8.0,77.027,22.431,31.156,23.44,3.0,SOFT,2.0,True,Audi,1,,True,280.0,280.0,280.0,332.0,,,False,,False
4100.516,BOR,5,9.0,96.34,29.881,35.521,30.938,3.0,SOFT,3.0,True,Audi,1,,False,206.0,209.0,,225.0,,4097.685,False,,False
4347.239,BOR,5,10.0,,,34.911,30.112,4.0,SOFT,4.0,False,Audi,1,,False,230.0,213.0,,221.0,4234.911,4344.38,False,,False
4472.058,BOR,5,11.0,124.819,61.381,33.646,29.792,5.0,SOFT,5.0,False,Audi,1,,False,234.0,264.0,292.0,250.0,4362.749,,False,,False
4580.255,BOR,5,12.0,108.197,25.136,46.142,36.919,5.0,SOFT,6.0,False,Audi,1,,True,230.0,197.0,60.0,330.0,,,False,,False
4713.681,BOR,5,13.0,133.426,60.306,42.123,30.997,5.0,SOFT,7.0,False,Audi,1,,False,160.0,202.0,,216.0,,4710.79,False,,False
2437.709,HAD,6,1.0,,,47.703,28.977,1.0,SOFT,1.0,True,Red Bull Racing,1,,False,179.0,234.0,286.0,169.0,2326.329,,False,,False
