Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
1252.822,RUS,63,1.0,,,43.956,26.866,1.0,SOFT,1.0,True,Mercedes,1,,False,208.0,219.0,291.0,157.0,1143.774,,False,,False
1328.539,RUS,63,2.0,75.717,22.063,30.563,23.091,1.0,SOFT,2.0,True,Mercedes,1,,True,275.0,277.0,289.0,334.0,,,False,,False
1443.404,RUS,63,3.0,114.865,34.623,45.388,34.854,1.0,SOFT,3.0,True,Mercedes,12,,False,171.0,203.0,,158.0,,1440.538,False,,False
2640.956,RUS,63,4.0,,,40.458,31.587,2.0,SOFT,1.0,True,Mercedes,12,,False,204.0,203.0,293.0,118.0,2516.516,,False,,False
2716.184,RUS,63,5.0,75.228,21.965,30.343,22.92,2.0,SOFT,2.0,True,Mercedes,1,,True,275.0,288.0,289.0,332.0,,,False,,False
2824.002,RUS,63,6.0,107.818,31.786,40.05,35.982,2.0,SOFT,3.0,True,Mercedes,1,,False,205.0,193.0,,192.0,,2821.245,False,,False
4580.34,RUS,63,7.0,,,44.43,,3.0,SOFT,1.0,True,Mercedes,125,,False,182.0,128.0,,181.0,3776.319,3892.816,False,,False
4681.042,RUS,63,8.0,,,36.629,26.082,4.0,SOFT,2.0,False,Mercedes,1,,False,215.0,232.0,298.0,191.0,4580.34,,False,,False
4756.187,RUS,63,9.0,75.145,21.943,30.316,22.886,4.0,SOFT,3.0,False,Mercedes,1,,True,274.0,278.0,286.0,329.0,,,False,,False
4857.769,RUS,63,10.0,101.582,27.421,37.868,36.293,4.0,SOFT,4.0,False,Mercedes,1,,False,215.0,185.0,,292.0,,4854.339,False,,False
4981.572,RUS,63,11.0,123.803,57.275,40.303,26.225,5.0,SOFT,1.0,True,Mercedes,1,,False,205.0,233.0,296.0,172.0,4882.718,,False,,False
5056.251,RUS,63,12.0,74.679,21.849,30.115,22.715,5.0,SOFT,2.0,True,Mercedes,1,,True,273.0,281.0,287.0,332.0,,,False,,False
5172.239,RUS,63,13.0,115.988,33.787,41.815,40.386,5.0,SOFT,3.0,True,Mercedes,1,,False,183.0,197.0,,157.0,,5167.333,False,,False
1265.596,HAM,44,1.0,,,44.951,28.542,1.0,SOFT,1.0,True,Ferrari,1,,False,189.0,108.0,293.0,176.0,1159.663,,False,,False
1341.221,HAM,44,2.0,75.625,22.018,30.596,23.011,1.0,SOFT,2.0,True,Ferrari,1,,True,266.0,297.0,279.0,332.0,,,False,,False
1454.158,HAM,44,3.0,112.937,38.058,40.958,33.921,1.0,SOFT,3.0,True,Ferrari,12,,False,219.0,219.0,,187.0,,1451.44,False,,False
2648.234,HAM,44,4.0,,,41.171,30.469,2.0,SOFT,1.0,True,Ferrari,12,,False,191.0,215.0,294.0,85.0,2532.101,,False,,False
2723.652,HAM,44,5.0,75.418,21.973,30.503,22.942,2.0,SOFT,2.0,True,Ferrari,1,,True,269.0,288.0,273.0,331.0,,,False,,False
2821.694,HAM,44,6.0,98.042,30.203,35.382,32.457,2.0,SOFT,3.0,True,Ferrari,1,,False,193.0,216.0,,206.0,,2818.901,False,,False
3840.962,HAM,44,7.0,,,42.015,29.392,3.0,SOFT,1.0,True,Ferrari,1,,False,192.0,152.0,293.0,144.0,3734.932,,False,,False
4593.111,HAM,44,8.0,,21.873,,,3.0,SOFT,2.0,True,Ferrari,125,,False,267.0,,,333.0,,3959.186,False,,False
