Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
21.921,30.3,31.9,1006.6,False,50.7,136,3.1
81.911,30.5,32.0,1006.7,False,51.0,135,3.2
141.917,30.5,31.1,1006.5,False,50.0,104,5.1
201.918,30.5,31.4,1006.6,False,51.1,132,1.6
261.917,30.4,31.0,1006.6,False,50.7,97,3.1
321.932,30.4,31.0,1006.6,False,51.7,116,1.1
381.933,30.4,31.0,1006.6,False,51.8,156,1.4
441.944,30.5,30.8,1006.7,False,50.9,116,3.6
501.952,30.6,31.2,1006.6,False,50.8,162,3.2
561.952,30.6,31.1,1006.7,False,51.1,148,2.8
621.955,30.6,31.0,1006.6,False,51.7,163,1.9
681.956,30.6,30.8,1006.6,False,51.6,111,2.4
741.95,30.7,30.8,1006.5,False,51.5,98,3.3
801.967,30.6,31.0,1006.5,False,50.9,97,2.3
861.951,30.5,30.9,1006.5,False,50.7,106,3.4
921.959,30.5,30.8,1006.5,False,51.9,162,1.0
981.967,30.6,30.6,1006.5,False,51.4,123,2.9
1041.964,30.6,30.0,1006.5,False,51.5,81,0.6
1101.963,30.6,30.0,1006.5,False,50.9,125,3.3
1161.974,30.5,29.9,1006.5,False,50.7,145,2.0
1221.965,30.6,29.8,1006.5,False,51.0,101,2.0
1281.973,30.7,30.6,1006.5,False,50.6,96,4.6
1341.965,30.7,29.8,1006.4,False,50.9,87,2.6
1401.972,30.8,29.3,1006.4,False,50.4,94,1.1
1461.974,30.9,29.5,1006.5,False,51.2,0,0.0
1521.972,30.9,28.5,1006.4,False,49.1,134,2.4
1581.963,30.9,29.7,1006.3,False,50.7,101,1.4
1641.984,30.9,30.0,1006.4,False,49.8,109,2.5
1701.992,30.9,29.6,1006.3,False,50.5,97,2.4
1762.002,30.8,30.1,1006.4,False,50.9,157,2.1
1822.002,30.8,29.5,1006.4,False,50.7,162,2.9
1882.028,30.8,29.4,1006.3,False,50.6,75,2.4
1942.024,30.9,28.9,1006.4,False,50.6,119,2.3
2002.014,30.9,28.8,1006.3,False,51.2,129,1.8
2062.026,31.0,28.4,1006.3,False,50.3,125,2.8
2122.041,30.9,29.2,1006.3,False,51.0,152,2.2
2182.049,30.9,28.6,1006.3,False,50.7,121,2.9
2242.079,30.9,28.4,1006.2,False,50.7,123,2.5
2302.095,30.9,28.3,1006.3,False,51.2,119,1.3
2362.09,30.9,27.1,1006.2,False,49.4,84,3.4
2422.092,30.9,27.6,1006.2,False,50.9,62,2.9
2482.095,30.8,28.5,1006.3,False,50.3,149,2.9
2542.101,30.7,28.0,1006.3,False,49.6,127,3.7
2602.099,30.6,28.5,1006.3,False,50.8,160,2.5
2662.117,30.6,28.2,1006.3,False,50.6,111,3.3
2722.117,30.7,27.7,1006.3,False,50.6,147,1.8
2782.115,30.7,27.6,1006.2,False,50.3,112,2.3
2842.117,30.7,27.3,1006.2,False,49.6,155,3.1
2902.118,30.7,27.1,1006.3,False,50.2,159,2.2
2962.117,30.7,27.4,1006.3,False,49.6,103,1.9
3022.111,30.8,27.0,1006.2,False,49.6,63,3.2
3082.123,30.7,27.2,1006.2,False,50.3,110,1.5
3142.119,30.8,26.6,1006.2,False,50.1,89,2.3
3202.123,31.4,26.8,1006.2,False,49.8,94,1.4
3262.12,31.4,26.8,1006.2,False,49.8,94,1.4
3322.118,30.9,26.7,1006.2,False,50.4,106,1.6
3382.126,30.9,26.1,1006.2,False,48.1,153,3.4
3442.124,30.9,26.5,1006.2,False,49.1,121,2.7
3502.12,30.8,27.0,1006.2,False,48.7,131,2.0
3562.116,30.8,27.0,1006.2,False,48.7,131,2.0
3622.127,30.5,27.5,1006.1,False,49.2,162,2.4
3682.126,30.6,27.1,1006.1,False,49.6,121,1.7
3742.134,30.6,27.1,1006.0,False,49.8,98,1.5
3802.133,30.8,27.0,1006.0,False,49.5,140,3.1
3862.135,30.9,26.6,1006.0,False,49.9,100,2.1
3922.124,30.9,26.8,1006.0,False,50.1,122,0.6
3982.133,31.0,26.1,1006.0,False,50.1,157,1.4
4042.135,31.0,25.7,1006.0,False,49.5,116,3.0
4102.135,31.0,26.4,1006.0,False,49.7,96,2.2
4162.137,30.8,26.5,1006.1,False,50.5,116,1.4
4222.136,30.9,26.0,1005.9,False,50.0,121,0.8
4282.135,30.9,26.3,1005.9,False,50.1,72,2.1
4342.137,30.8,26.3,1006.0,False,50.0,122,2.2
4402.137,30.8,25.8,1006.0,False,50.0,147,1.5
4462.138,30.8,26.1,1005.9,False,49.5,108,1.2
4522.138,30.9,26.2,1006.0,False,48.9,112,4.1
4582.16,30.8,25.9,1005.9,False,48.7,111,3.1
4642.138,30.7,26.2,1005.8,False,48.9,103,3.1
4702.154,30.6,26.1,1006.0,False,49.4,108,1.4
4762.155,30.6,26.6,1005.9,False,49.9,117,2.4
4822.144,30.6,26.1,1006.0,False,49.2,92,3.1
4882.14,30.4,26.4,1005.9,False,48.4,93,3.6
4942.149,30.5,26.3,1005.9,False,48.8,117,3.2
5002.141,30.4,26.6,1005.9,False,48.6,143,2.9
5062.141,30.3,26.6,1005.9,False,48.8,200,1.2
5122.159,30.4,26.7,1005.8,False,49.2,92,1.6
5182.151,30.6,26.3,1005.9,False,49.6,120,1.4
5242.144,30.6,26.4,1005.8,False,49.4,115,1.2
