Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
39.641,30.7,30.2,1001.0,False,50.4,116,4.0
99.646,30.7,30.3,1000.9,False,50.7,102,2.1
159.647,30.6,30.7,1001.0,False,51.3,93,2.9
219.646,30.7,30.3,1000.9,False,50.5,145,4.3
279.646,30.7,30.0,1000.9,False,50.3,122,2.9
339.659,30.6,30.5,1001.0,False,50.3,181,2.9
399.642,30.6,30.4,1000.9,False,51.9,144,2.0
459.651,30.6,30.1,1000.9,False,50.3,144,3.4
519.642,30.5,30.0,1000.8,False,50.7,87,2.9
579.643,30.4,30.3,1000.9,False,50.8,167,2.1
639.655,30.5,30.9,1000.8,False,51.8,168,1.4
699.647,30.6,30.5,1000.8,False,51.4,149,1.9
759.656,30.6,30.1,1000.8,False,51.6,163,3.3
819.662,30.6,29.7,1000.8,False,50.7,156,2.2
879.663,30.6,30.2,1000.9,False,51.4,169,0.8
939.663,30.6,30.3,1000.9,False,51.7,88,1.6
999.66,30.6,30.0,1000.9,False,50.2,99,4.5
1059.661,30.6,30.0,1000.8,False,51.4,132,1.1
1119.665,30.6,29.6,1000.8,False,50.8,129,2.5
1179.666,30.5,29.7,1000.8,False,50.8,92,4.1
1239.672,30.5,29.4,1000.7,False,49.8,102,3.7
1299.662,30.5,30.0,1000.7,False,51.4,85,1.0
1359.665,30.5,30.6,1000.7,False,52.1,118,1.5
1419.667,30.5,29.2,1000.7,False,49.7,84,5.2
1479.656,30.5,30.0,1000.7,False,50.7,128,4.1
1539.659,30.6,30.3,1000.7,False,50.6,155,4.0
1599.662,30.6,29.6,1000.7,False,50.7,135,2.6
1659.671,30.7,30.5,1000.7,False,51.4,141,2.9
1719.669,30.7,29.9,1000.7,False,51.3,106,3.4
1779.671,30.8,29.4,1000.7,False,51.9,96,1.1
1839.672,30.8,29.0,1000.7,False,51.2,156,3.3
1899.669,30.8,29.3,1000.7,False,51.1,140,2.7
1959.675,30.7,29.6,1000.7,False,51.3,128,1.2
2019.688,30.7,29.7,1000.7,False,50.6,123,3.6
2079.665,30.6,29.7,1000.7,False,50.0,115,3.5
2139.684,30.7,29.8,1000.7,False,50.7,160,4.6
2199.669,30.7,30.2,1000.6,False,50.5,101,3.3
2259.675,30.8,29.8,1000.6,False,49.7,146,2.8
2319.695,30.8,30.3,1000.7,False,51.6,148,2.7
2379.695,30.7,29.8,1000.6,False,51.0,194,1.1
2439.699,30.7,29.7,1000.5,False,50.4,157,3.0
2499.739,30.7,30.0,1000.7,False,50.7,152,3.8
2559.715,30.6,29.7,1000.6,False,49.8,121,4.0
2619.71,30.6,29.9,1000.7,False,49.9,137,3.6
2679.728,30.5,29.9,1000.6,False,50.9,151,3.6
2739.729,30.7,29.9,1000.6,False,50.9,129,2.8
2799.736,30.7,29.8,1000.6,False,51.1,151,2.6
2859.736,30.6,29.4,1000.6,False,51.7,159,3.2
2919.734,30.7,29.2,1000.6,False,51.6,150,2.0
2979.74,30.7,29.3,1000.7,False,50.7,156,3.2
3039.754,30.6,29.6,1000.6,False,51.1,162,3.0
3099.776,30.6,30.0,1000.7,False,51.5,118,3.5
3159.779,30.8,29.5,1000.7,False,51.4,117,3.9
3219.777,30.9,29.4,1000.7,False,52.3,108,1.9
3279.776,30.8,28.5,1000.7,False,51.7,105,1.7
3339.804,30.9,28.4,1000.6,False,50.6,89,3.9
3399.824,30.7,28.4,1000.6,False,49.9,91,4.3
3459.824,30.7,28.8,1000.7,False,51.4,99,1.5
3519.822,30.7,28.6,1000.6,False,51.1,112,2.6
3579.825,30.8,27.9,1000.6,False,51.1,84,2.7
3639.817,30.8,27.4,1000.5,False,50.2,96,4.3
3699.823,30.7,28.4,1000.5,False,50.8,75,3.3
3759.843,30.7,28.2,1000.7,False,51.1,65,2.3
3819.863,30.9,28.0,1000.7,False,50.3,119,2.2
3879.866,31.0,28.1,1000.6,False,50.0,156,2.7
3939.87,31.0,29.0,1000.5,False,51.5,62,2.8
3999.883,30.9,28.0,1000.5,False,50.4,101,3.1
4059.88,30.9,28.0,1000.5,False,49.7,120,5.1
4119.894,30.9,28.3,1000.7,False,49.0,143,3.9
4179.872,30.9,28.5,1000.6,False,49.4,147,2.3
4239.885,30.9,28.3,1000.5,False,50.7,127,1.4
4299.885,30.9,28.5,1000.5,False,50.5,91,2.3
4359.901,30.8,27.7,1000.4,False,50.7,62,1.4
4419.917,30.9,27.6,1000.5,False,51.2,360,0.4
4479.93,31.0,27.5,1000.5,False,50.7,139,2.5
4539.935,31.0,28.1,1000.4,False,51.0,79,1.2
4599.932,31.1,28.2,1000.5,False,51.2,170,2.5
4659.934,31.1,27.8,1000.4,False,50.2,165,3.1
4719.938,30.9,28.0,1000.3,False,49.9,110,3.1
4779.954,30.9,28.4,1000.2,False,50.5,126,1.5
4839.968,30.9,28.2,1000.4,False,49.8,105,3.8
4899.968,30.9,28.6,1000.2,False,49.6,122,2.4
4959.977,30.9,28.6,1000.3,False,49.3,110,3.6
5019.967,30.9,29.0,1000.4,False,50.1,96,1.7
5079.976,31.0,28.1,1000.3,False,50.6,76,3.0
5139.975,31.0,27.8,1000.3,False,49.6,112,3.4
5199.99,30.9,27.6,1000.4,False,49.8,88,2.0
5259.974,30.8,27.4,1000.3,False,50.6,86,2.0
5319.968,30.8,27.8,1000.3,False,49.7,85,3.7
5379.979,30.8,27.6,1000.5,False,49.0,119,3.6
5439.98,30.9,28.2,1000.5,False,51.0,144,0.7
5499.984,30.9,27.7,1000.5,False,49.8,88,3.0
5559.982,30.8,27.9,1000.4,False,48.9,113,3.2
5619.993,30.6,28.3,1000.4,False,48.7,81,4.9
5679.971,30.5,28.3,1000.5,False,50.3,142,3.0
5739.983,30.4,28.3,1000.4,False,49.2,128,2.7
5799.991,30.3,28.4,1000.4,False,49.0,98,2.6
5859.976,30.3,28.5,1000.4,False,48.5,101,4.2
5919.985,29.8,27.9,1000.5,False,49.2,87,3.6
5979.993,29.8,27.9,1000.5,False,49.2,87,3.6
6039.98,30.2,28.4,1000.4,False,49.9,66,3.5
6099.981,30.2,28.4,1000.4,False,49.9,66,3.5
6159.991,30.2,28.8,1000.5,False,49.5,101,3.8
6219.995,30.1,28.9,1000.4,False,49.6,110,3.7
6279.996,30.2,29.1,1000.4,False,50.9,96,1.3
6339.983,30.3,28.9,1000.4,False,50.5,105,2.4
6399.999,30.3,28.9,1000.4,False,50.5,105,2.4
6459.985,30.3,28.8,1000.4,False,50.5,90,1.7
6519.997,30.4,28.4,1000.4,False,50.4,86,2.4
6580.002,30.3,27.6,1000.5,False,49.2,87,2.3
