Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
985.708,NOR,1,1.0,,,41.051,31.659,1.0,MEDIUM,1.0,True,McLaren,1,,False,185.0,191.0,274.0,242.0,887.463,,False,,False
1053.708,NOR,1,2.0,68.0,16.879,30.309,20.812,1.0,MEDIUM,2.0,True,McLaren,1,,True,309.0,222.0,274.0,312.0,,,False,,False
1179.873,NOR,1,3.0,126.165,27.124,58.255,40.786,1.0,MEDIUM,3.0,True,McLaren,1,,True,132.0,114.0,134.0,131.0,,,False,,False
1305.026,NOR,1,4.0,125.153,29.399,53.747,42.007,1.0,MEDIUM,4.0,True,McLaren,126,,False,259.0,137.0,198.0,98.0,,,False,,False
1417.557,NOR,1,5.0,112.531,29.293,55.764,27.474,1.0,MEDIUM,5.0,True,McLaren,6,,False,231.0,146.0,202.0,226.0,,,False,,False
1574.387,NOR,1,6.0,,35.859,70.044,50.824,1.0,MEDIUM,6.0,True,McLaren,6,,False,164.0,64.0,,149.0,,1569.622,False,,False
1725.228,NOR,1,7.0,,52.296,53.808,44.837,2.0,MEDIUM,7.0,False,McLaren,671,,False,274.0,95.0,,244.0,1607.021,1720.51,False,,False
1847.129,NOR,1,8.0,121.901,57.78,39.281,24.84,3.0,MEDIUM,8.0,False,McLaren,1,,False,252.0,212.0,272.0,262.0,1763.152,,False,,False
1934.445,NOR,1,9.0,87.316,18.65,37.028,31.638,3.0,MEDIUM,9.0,False,McLaren,1,,True,283.0,184.0,268.0,207.0,,,False,,False
2024.24,NOR,1,10.0,89.795,17.063,40.588,32.144,3.0,MEDIUM,10.0,False,McLaren,1,,True,316.0,135.0,271.0,176.0,,,True,TRACK LIMITS AT TURN 3 LAP 11 ,False
2136.874,NOR,1,11.0,112.634,16.993,64.197,31.444,3.0,MEDIUM,11.0,False,McLaren,12,,False,312.0,173.0,,176.0,,2132.177,False,,False
2728.948,NOR,1,12.0,,,36.79,22.677,4.0,SOFT,1.0,True,McLaren,1,,False,272.0,204.0,273.0,250.0,2649.594,,False,,False
