Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
967.13,RUS,63,1.0,,,40.818,24.766,1.0,SOFT,1.0,True,Mercedes,1,,False,235.0,183.0,272.0,190.0,874.99,,False,,False
1034.941,RUS,63,2.0,67.811,16.813,30.451,20.547,1.0,SOFT,2.0,True,Mercedes,1,,True,313.0,224.0,272.0,318.0,,,False,,False
1142.121,RUS,63,3.0,107.18,29.498,41.728,35.954,1.0,SOFT,3.0,True,Mercedes,1,,False,239.0,190.0,,240.0,,1137.837,False,,False
1295.42,RUS,63,4.0,,82.715,43.419,27.14,2.0,SOFT,4.0,False,Mercedes,1,,False,239.0,166.0,270.0,240.0,1197.072,,False,,False
1363.011,RUS,63,5.0,67.591,16.82,30.388,20.383,2.0,SOFT,5.0,False,Mercedes,1,,True,313.0,225.0,278.0,315.0,,,False,,False
1495.83,RUS,63,6.0,132.819,21.86,42.272,68.687,2.0,SOFT,6.0,False,Mercedes,1,,False,259.0,89.0,,256.0,,1457.139,False,,False
1830.493,RUS,63,7.0,,,44.176,28.222,3.0,SOFT,7.0,False,Mercedes,1,,False,259.0,175.0,281.0,195.0,1720.799,,False,,False
1897.891,RUS,63,8.0,67.398,16.795,30.28,20.323,3.0,SOFT,8.0,False,Mercedes,1,,True,312.0,225.0,280.0,316.0,,,False,,False
1987.63,RUS,63,9.0,89.739,19.441,38.739,31.559,3.0,SOFT,9.0,False,Mercedes,1,,False,265.0,176.0,,236.0,,1983.692,False,,False
2681.969,RUS,63,10.0,,,42.407,25.882,4.0,SOFT,1.0,True,Mercedes,12,,False,275.0,189.0,273.0,266.0,2591.392,,False,,False
2765.219,RUS,63,11.0,83.25,16.686,36.299,30.265,4.0,SOFT,2.0,True,Mercedes,1,,False,317.0,197.0,,228.0,,2761.081,False,,False
2959.087,RUS,63,12.0,,,40.169,26.801,5.0,SOFT,3.0,False,Mercedes,1,,False,259.0,165.0,274.0,260.0,2868.129,,False,,False
3026.066,RUS,63,13.0,66.979,16.77,30.047,20.162,5.0,SOFT,4.0,False,Mercedes,1,,True,314.0,225.0,281.0,318.0,,,False,,False
3116.067,RUS,63,14.0,90.001,20.259,38.026,31.716,5.0,SOFT,5.0,False,Mercedes,1,,False,270.0,195.0,,268.0,,3111.703,False,,False
3949.664,RUS,63,15.0,,,40.591,23.126,6.0,SOFT,1.0,True,Mercedes,1,,False,266.0,209.0,277.0,226.0,3857.476,,False,,False
4016.121,RUS,63,16.0,66.457,16.563,29.852,20.042,6.0,SOFT,2.0,True,Mercedes,1,,True,315.0,227.0,283.0,318.0,,,False,,False
4102.846,RUS,63,17.0,86.725,19.617,37.895,29.213,6.0,SOFT,3.0,True,Mercedes,1,,False,271.0,200.0,,251.0,,4098.659,False,,False
4361.043,RUS,63,18.0,,,36.872,23.412,7.0,SOFT,1.0,True,Mercedes,1,,False,265.0,207.0,274.0,243.0,4270.905,,False,,False
4427.156,RUS,63,19.0,66.113,16.424,29.62,20.069,7.0,SOFT,2.0,True,Mercedes,12,,True,316.0,227.0,279.0,323.0,,,False,,False
4527.957,RUS,63,20.0,,24.471,39.434,,7.0,SOFT,3.0,True,Mercedes,2,,False,220.0,188.0,,208.0,,4527.957,False,,False
1102.786,LEC,16,1.0,,,40.782,26.277,1.0,SOFT,1.0,True,Ferrari,1,,False,193.0,162.0,274.0,250.0,999.293,,False,,False
1170.329,LEC,16,2.0,67.543,16.761,30.266,20.516,1.0,SOFT,2.0,True,Ferrari,1,,True,308.0,222.0,266.0,305.0,,,False,,False
1268.233,LEC,16,3.0,97.904,24.872,42.43,30.602,1.0,SOFT,3.0,True,Ferrari,1,,False,199.0,207.0,,218.0,,1264.036,False,,False
2572.74,LEC,16,4.0,,,40.036,23.975,2.0,SOFT,1.0,True,Ferrari,12,,False,262.0,179.0,275.0,267.0,2483.543,,False,,False
2639.77,LEC,16,5.0,67.03,16.607,30.092,20.331,2.0,SOFT,2.0,True,Ferrari,1,,True,310.0,220.0,265.0,306.0,,,False,,False
2731.535,LEC,16,6.0,91.765,21.803,40.059,29.903,2.0,SOFT,3.0,True,Ferrari,1,,False,221.0,200.0,,139.0,,2727.398,False,,False
3041.143,LEC,16,7.0,,,34.076,22.991,3.0,SOFT,4.0,False,Ferrari,1,,False,253.0,208.0,276.0,275.0,2962.645,,False,,False
3108.446,LEC,16,8.0,67.303,16.658,30.088,20.557,3.0,SOFT,5.0,False,Ferrari,1,,True,309.0,223.0,266.0,308.0,,,False,,False
3194.688,LEC,16,9.0,86.242,21.492,34.533,30.217,3.0,SOFT,6.0,False,Ferrari,1,,False,249.0,200.0,,275.0,,3190.512,False,,False
3919.477,LEC,16,10.0,,,37.136,25.842,4.0,SOFT,1.0,True,Ferrari,1,,False,190.0,197.0,276.0,276.0,3810.886,,False,,False
3986.233,LEC,16,11.0,66.756,16.61,29.832,20.314,4.0,SOFT,2.0,True,Ferrari,1,,True,311.0,224.0,271.0,307.0,,,False,,False
4074.494,LEC,16,12.0,88.261,19.226,36.536,32.499,4.0,SOFT,3.0,True,Ferrari,1,,False,231.0,193.0,,225.0,,4070.14,False,,False
4315.845,LEC,16,13.0,,,37.24,24.21,5.0,SOFT,1.0,True,Ferrari,1,,False,253.0,176.0,276.0,258.0,4221.003,,False,,False
4382.194,LEC,16,14.0,66.349,16.485,29.632,20.232,5.0,SOFT,2.0,True,Ferrari,1,,True,310.0,223.0,270.0,307.0,,,False,,False
4474.728,LEC,16,15.0,,20.933,39.97,,5.0,SOFT,3.0,True,Ferrari,12,,False,236.0,167.0,,204.0,,4474.728,False,,False
1107.98,HAM,44,1.0,,,41.757,23.665,1.0,SOFT,1.0,True,Ferrari,1,,False,186.0,194.0,276.0,231.0,1006.652,,False,,False
1175.27,HAM,44,2.0,67.29,16.643,30.221,20.426,1.0,SOFT,2.0,True,Ferrari,1,,True,312.0,222.0,265.0,307.0,,,False,,False
1272.545,HAM,44,3.0,97.275,25.922,39.23,32.123,1.0,SOFT,3.0,True,Ferrari,1,,False,205.0,189.0,,260.0,,1268.41,False,,False
2589.516,HAM,44,4.0,,,41.955,24.363,2.0,SOFT,1.0,True,Ferrari,12,,False,238.0,178.0,278.0,259.0,2496.277,,False,,False
2656.555,HAM,44,5.0,67.039,16.603,30.214,20.222,2.0,SOFT,2.0,True,Ferrari,1,,True,311.0,218.0,272.0,308.0,,,False,,False
2752.554,HAM,44,6.0,95.999,24.063,41.456,30.48,2.0,SOFT,3.0,True,Ferrari,1,,False,187.0,203.0,,258.0,,2748.414,False,,False
3051.939,HAM,44,7.0,,,39.156,23.699,3.0,SOFT,4.0,False,Ferrari,1,,False,236.0,181.0,279.0,268.0,2967.51,,False,,False
3118.933,HAM,44,8.0,66.994,16.622,30.017,20.355,3.0,SOFT,5.0,False,Ferrari,1,,True,310.0,221.0,271.0,314.0,,,False,,False
3202.812,HAM,44,9.0,83.879,22.111,35.381,26.387,3.0,SOFT,6.0,False,Ferrari,1,,False,185.0,213.0,,271.0,,3198.554,False,,False
3928.171,HAM,44,10.0,,,41.409,23.998,4.0,SOFT,1.0,True,Ferrari,1,,False,234.0,180.0,279.0,264.0,3831.812,,False,,False
4012.863,HAM,44,11.0,84.692,16.708,38.172,29.812,4.0,SOFT,2.0,True,Ferrari,1,,False,310.0,195.0,,258.0,,4008.644,False,,False
