Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
43.89,33.2,24.7,943.2,False,53.5,286,0.6
103.904,33.1,24.7,943.2,False,53.5,286,0.6
163.918,33.0,24.7,943.2,False,53.5,286,0.6
223.933,33.2,24.7,943.2,False,53.5,286,0.6
283.958,33.4,24.7,943.2,False,53.5,286,0.6
343.988,33.3,25.6,943.1,False,52.8,283,2.6
403.982,33.4,25.6,943.1,False,52.8,283,2.5
464.022,33.3,25.6,943.1,False,52.8,283,2.5
524.025,33.2,25.6,943.1,False,50.8,188,1.3
584.037,33.0,25.6,943.1,False,50.8,188,1.3
644.065,32.5,25.6,943.1,False,50.8,188,1.3
704.093,33.2,25.7,943.2,False,52.4,289,1.9
764.121,33.1,25.7,943.2,False,52.4,289,1.9
824.138,33.1,25.9,943.1,False,52.5,237,1.3
884.18,33.2,25.5,943.1,False,52.9,280,2.4
944.204,33.0,25.5,943.1,False,52.9,280,2.4
1004.232,33.1,25.6,943.1,False,51.9,245,1.1
1064.241,33.4,25.5,943.1,False,51.7,124,0.4
1124.256,33.3,25.5,943.1,False,52.7,330,0.4
1184.283,33.5,25.5,943.1,False,52.7,330,0.4
1244.296,33.7,24.7,943.0,False,52.6,58,1.4
1304.299,33.3,24.7,943.0,False,52.6,58,1.4
1364.32,33.6,24.7,943.1,False,52.7,22,1.4
1424.329,33.5,24.7,943.1,False,52.7,22,1.4
1484.35,33.7,25.2,943.1,False,52.6,332,0.6
1544.36,33.4,25.4,943.0,False,52.1,23,1.9
1604.404,33.6,25.1,943.1,False,52.0,348,2.7
1664.428,33.3,25.3,943.2,False,52.0,307,1.0
1724.44,33.3,25.3,943.2,False,52.0,307,1.0
1784.452,33.6,24.3,943.1,False,52.0,306,0.9
1844.464,33.6,24.6,943.2,False,52.2,115,1.2
1904.478,33.5,24.6,943.2,False,52.2,115,1.2
1964.488,33.4,24.7,943.1,False,52.4,34,1.3
2024.501,33.3,24.7,943.1,False,52.4,34,1.3
2084.508,33.3,25.0,943.2,False,52.1,8,0.6
2144.523,33.3,24.8,943.0,False,52.2,316,1.5
2204.536,33.4,24.8,943.0,False,52.3,291,2.4
2264.54,33.3,24.8,943.0,False,52.3,291,2.4
2324.565,33.4,25.9,943.0,False,52.3,241,0.4
2384.589,33.3,25.9,943.0,False,52.3,241,0.4
2444.62,33.6,26.0,943.0,False,51.4,27,1.3
2504.645,33.5,26.5,943.0,False,51.5,301,2.7
2564.657,33.3,26.5,943.0,False,51.5,301,2.7
2624.672,33.3,26.7,943.0,False,51.5,340,1.3
2684.685,33.3,26.4,943.0,False,51.4,11,1.2
2744.682,33.3,26.5,943.0,False,51.5,25,0.5
2804.709,33.4,26.5,942.9,False,51.8,332,0.6
2863.733,33.2,26.5,942.9,False,51.8,332,0.6
2926.984,33.2,26.2,942.9,False,51.7,226,0.7
2984.444,32.9,26.2,942.9,False,51.7,226,0.7
3043.461,33.4,24.5,942.9,False,52.1,326,0.8
3103.467,33.4,25.3,942.9,False,52.1,34,0.6
3163.409,33.6,25.8,942.9,False,52.1,65,1.8
3223.385,33.5,24.9,943.0,False,51.6,95,1.4
3283.373,33.3,24.9,943.0,False,51.6,95,1.4
3343.361,33.2,24.9,943.0,False,51.6,95,1.4
3403.349,33.6,25.4,942.9,False,51.4,12,1.1
3463.33,33.3,25.4,942.9,False,51.4,12,1.1
3523.313,33.3,25.4,942.9,False,51.4,12,1.1
3583.296,33.5,25.8,942.8,False,51.8,330,1.6
3643.271,33.5,25.9,942.9,False,51.8,68,1.8
3703.251,33.6,25.4,942.9,False,51.5,300,2.2
3763.231,33.5,26.0,942.9,False,51.4,294,3.0
3823.207,33.4,25.3,942.9,False,51.2,298,2.4
3883.199,33.4,26.1,942.8,False,50.7,229,0.9
3943.169,33.3,25.5,942.8,False,51.5,114,0.5
4003.147,33.4,25.3,942.9,False,51.0,2,0.4
4063.127,33.5,25.3,942.8,False,51.2,69,1.4
4123.105,33.5,24.9,942.8,False,50.9,0,0.0
4183.09,33.4,24.9,942.8,False,50.9,0,0.0
4243.069,33.5,24.7,942.9,False,51.1,12,0.9
4303.045,33.3,24.7,942.9,False,51.1,12,0.9
4363.022,33.4,25.1,942.8,False,50.8,100,0.7
4422.999,33.4,24.7,942.8,False,50.8,136,0.9
4482.99,33.2,24.7,942.8,False,50.8,136,0.9
4542.955,33.4,24.9,942.8,False,50.8,9,1.2
4602.941,33.5,25.6,942.8,False,51.3,0,0.0
4662.928,33.4,25.6,942.8,False,51.3,0,0.0
4722.898,33.6,25.6,942.8,False,50.7,307,1.4
4782.882,33.3,25.6,942.8,False,50.7,307,1.4
