Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
3506.451,NOR,1,1.0,78.505,,34.025,23.01,1.0,MEDIUM,1.0,True,McLaren,1,7.0,False,313.0,204.0,287.0,305.0,,,False,,False
3579.857,NOR,1,2.0,73.406,17.506,32.889,23.011,1.0,MEDIUM,2.0,True,McLaren,1,7.0,True,311.0,189.0,291.0,317.0,,,False,,False
3652.872,NOR,1,3.0,73.015,17.426,33.028,22.561,1.0,MEDIUM,3.0,True,McLaren,1,7.0,True,313.0,204.0,289.0,309.0,,,False,,False
3725.502,NOR,1,4.0,72.63,17.419,32.841,22.37,1.0,MEDIUM,4.0,True,McLaren,1,7.0,True,316.0,201.0,288.0,309.0,,,False,,False
3797.941,NOR,1,5.0,72.439,17.338,32.593,22.508,1.0,MEDIUM,5.0,True,McLaren,1,7.0,True,314.0,203.0,285.0,309.0,,,False,,False
3870.434,NOR,1,6.0,72.493,17.515,32.435,22.543,1.0,MEDIUM,6.0,True,McLaren,1,7.0,True,310.0,203.0,281.0,304.0,,,False,,False
3943.893,NOR,1,7.0,73.459,17.552,32.673,23.234,1.0,MEDIUM,7.0,True,McLaren,1,7.0,True,313.0,203.0,285.0,304.0,,,True,TRACK LIMITS AT TURN 9 LAP 7 ,False
4016.918,NOR,1,8.0,73.025,17.671,32.712,22.642,1.0,MEDIUM,8.0,True,McLaren,1,7.0,True,309.0,203.0,281.0,304.0,,,False,,False
4089.931,NOR,1,9.0,73.013,17.558,32.642,22.813,1.0,MEDIUM,9.0,True,McLaren,1,7.0,True,312.0,202.0,280.0,305.0,,,False,,False
4163.128,NOR,1,10.0,73.197,17.709,32.656,22.832,1.0,MEDIUM,10.0,True,McLaren,1,7.0,True,310.0,203.0,280.0,304.0,,,False,,False
4236.463,NOR,1,11.0,73.335,17.759,32.595,22.981,1.0,MEDIUM,11.0,True,McLaren,1,7.0,True,309.0,200.0,281.0,306.0,,,False,,False
4309.713,NOR,1,12.0,73.25,17.664,32.673,22.913,1.0,MEDIUM,12.0,True,McLaren,1,7.0,True,309.0,201.0,283.0,306.0,,,False,,False
4383.304,NOR,1,13.0,73.591,17.75,32.838,23.003,1.0,MEDIUM,13.0,True,McLaren,1,5.0,True,308.0,201.0,283.0,307.0,,,False,,False
4456.727,NOR,1,14.0,73.423,17.732,32.727,22.964,1.0,MEDIUM,14.0,True,McLaren,1,5.0,True,308.0,198.0,284.0,307.0,,,False,,False
4530.146,NOR,1,15.0,73.419,17.68,32.838,22.901,1.0,MEDIUM,15.0,True,McLaren,1,5.0,True,307.0,198.0,282.0,306.0,,,False,,False
4603.469,NOR,1,16.0,73.323,17.711,32.724,22.888,1.0,MEDIUM,16.0,True,McLaren,1,5.0,True,308.0,200.0,280.0,306.0,,,False,,False
4676.626,NOR,1,17.0,73.157,17.722,32.594,22.841,1.0,MEDIUM,17.0,True,McLaren,1,5.0,True,307.0,199.0,280.0,305.0,,,False,,False
4750.007,NOR,1,18.0,73.381,17.792,32.786,22.803,1.0,MEDIUM,18.0,True,McLaren,1,5.0,True,307.0,201.0,282.0,303.0,,,False,,False
4824.337,NOR,1,19.0,74.33,17.879,33.596,22.855,1.0,MEDIUM,19.0,True,McLaren,1,3.0,True,306.0,199.0,282.0,303.0,,,False,,False
4897.992,NOR,1,20.0,73.655,17.835,33.001,22.819,1.0,MEDIUM,20.0,True,McLaren,1,2.0,True,301.0,201.0,280.0,298.0,,,False,,False
4976.346,NOR,1,21.0,78.354,17.954,32.931,27.469,1.0,MEDIUM,21.0,True,McLaren,1,5.0,False,298.0,200.0,,294.0,,4972.191,False,,False
