Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
38.376,33.6,30.3,941.8,False,53.2,67,1.0
98.372,33.8,29.8,941.8,False,53.3,285,0.9
158.392,33.8,30.5,941.8,False,52.9,0,0.0
218.389,33.8,29.7,941.8,False,52.5,286,1.4
278.405,33.7,30.5,941.8,False,52.0,334,0.6
338.406,33.8,30.6,941.8,False,53.0,293,2.2
398.418,33.9,28.7,941.7,False,52.7,276,2.0
458.419,33.8,29.8,941.7,False,49.1,287,2.2
518.432,33.7,30.0,941.7,False,51.5,303,1.7
578.449,33.8,30.6,941.7,False,50.7,45,0.8
638.446,34.0,30.6,941.7,False,50.7,45,0.8
698.454,34.2,29.1,941.8,False,52.4,306,1.9
758.466,34.2,29.3,941.7,False,52.0,315,1.2
818.472,34.2,29.6,941.6,False,52.5,295,1.0
878.487,34.4,28.0,941.7,False,50.3,10,1.5
938.497,34.4,28.0,941.6,False,49.2,298,2.9
998.503,34.2,28.4,941.6,False,48.3,287,2.5
1058.504,34.2,28.9,941.6,False,48.6,255,2.1
1118.526,34.2,29.3,941.7,False,48.5,0,0.0
1178.548,34.3,27.9,941.5,False,49.2,274,1.5
1238.58,34.5,27.0,941.6,False,50.3,256,2.0
1298.588,34.5,26.9,941.6,False,49.4,271,1.6
1358.596,34.5,27.0,941.6,False,47.5,224,1.1
1418.598,34.6,26.7,941.6,False,48.8,271,2.3
1478.605,34.7,27.4,941.6,False,49.0,285,3.1
1538.628,34.7,27.8,941.6,False,48.9,277,2.5
1598.626,34.6,28.1,941.5,False,48.5,287,1.3
1658.642,34.6,27.9,941.5,False,48.0,263,2.9
1718.655,34.6,26.6,941.5,False,46.7,300,2.8
1778.691,34.5,27.2,941.5,False,47.5,295,1.3
1838.704,34.5,27.1,941.5,False,42.6,238,0.4
1898.735,34.6,27.4,941.5,False,46.5,249,2.3
1958.732,34.6,26.2,941.5,False,46.7,279,1.6
2018.749,34.5,26.1,941.6,False,46.2,274,0.7
2078.746,34.5,26.1,941.5,False,46.5,266,0.7
2138.776,34.5,26.7,941.5,False,46.8,243,1.0
2198.787,34.7,26.0,941.4,False,46.9,291,0.9
2258.783,34.8,25.3,941.5,False,46.7,278,2.7
2318.794,34.8,25.6,941.4,False,48.9,284,2.5
2378.817,34.7,25.5,941.5,False,48.8,276,2.9
2438.82,34.5,26.7,941.4,False,48.5,255,2.5
2498.828,34.6,27.2,941.5,False,46.6,286,2.1
2558.834,34.4,27.7,941.5,False,45.2,44,0.7
2618.844,34.3,27.8,941.4,False,44.2,24,0.6
2678.847,34.3,27.7,941.5,False,45.5,66,1.6
2738.856,34.3,27.5,941.5,False,44.8,0,0.0
2798.866,34.3,27.6,941.4,False,47.1,310,0.7
2858.873,34.4,27.5,941.5,False,46.1,293,1.3
2918.879,34.5,27.9,941.4,False,46.3,255,0.6
2978.892,34.6,28.1,941.4,False,47.3,342,1.6
3038.891,34.6,28.7,941.3,False,47.0,320,2.0
3098.902,34.6,28.3,941.4,False,48.4,301,0.6
3158.914,34.5,28.6,941.4,False,48.7,294,1.0
3218.915,34.6,28.8,941.4,False,49.4,1,1.5
3278.921,34.8,30.1,941.3,False,49.2,216,1.8
3338.936,34.7,30.2,941.4,False,50.0,352,0.4
3398.948,34.7,29.3,941.3,False,49.0,310,0.8
3458.956,34.6,29.8,941.4,False,49.2,36,1.5
3518.966,34.5,30.0,941.4,False,49.5,299,3.5
3578.971,34.4,30.5,941.4,False,49.7,324,1.2
3638.972,34.5,30.3,941.3,False,50.7,57,1.1
3698.985,34.6,30.3,941.4,False,50.7,98,2.1
3758.997,34.4,29.9,941.3,False,50.3,94,2.4
3818.998,34.4,30.2,941.3,False,50.2,101,0.8
3879.019,34.5,30.8,941.3,False,50.7,356,1.9
3939.018,34.6,30.8,941.3,False,50.7,356,1.9
3999.03,34.7,30.6,941.3,False,51.1,68,1.8
4059.039,34.7,30.0,941.2,False,51.2,326,0.9
4119.039,34.8,29.6,941.2,False,50.9,0,0.0
4179.052,34.8,29.2,941.3,False,50.6,26,1.2
4239.053,34.7,29.9,941.2,False,51.1,287,1.7
4299.071,34.8,29.5,941.3,False,51.6,329,0.6
4359.083,34.7,29.6,941.3,False,51.2,331,1.0
4419.08,34.6,29.5,941.2,False,51.2,68,2.5
4479.092,34.7,28.9,941.3,False,51.6,332,2.1
4539.092,34.7,28.5,941.3,False,51.6,10,2.4
4599.12,34.6,28.5,941.3,False,51.3,25,2.2
4659.122,34.6,28.6,941.3,False,51.3,63,1.8
4719.138,34.5,29.6,941.3,False,51.1,36,0.6
4779.162,34.7,28.7,941.3,False,51.0,288,2.1
4839.17,34.7,28.8,941.3,False,51.4,331,1.2
4899.189,34.8,29.0,941.3,False,51.4,59,1.0
4959.192,34.9,29.3,941.3,False,50.9,60,1.0
5019.217,35.1,29.2,941.3,False,51.3,10,1.3
5079.238,35.1,30.3,941.4,False,50.8,27,2.7
5139.257,34.9,31.6,941.3,False,49.9,20,3.0
5199.279,34.9,31.5,941.3,False,51.3,348,1.2
5259.305,34.8,31.5,941.3,False,51.3,348,1.2
5319.327,34.9,29.9,941.3,False,50.8,69,1.3
5379.328,34.7,29.8,941.4,False,50.7,12,1.8
5439.338,34.5,29.9,941.2,False,51.0,0,2.4
5499.352,34.5,30.1,941.2,False,51.2,11,1.8
5559.361,34.3,30.5,941.2,False,51.5,325,1.7
5619.359,34.5,31.5,941.2,False,51.4,346,1.2
5679.367,34.7,31.1,941.2,False,51.2,351,2.6
5739.388,34.6,31.5,941.2,False,51.0,331,2.2
5799.402,34.5,31.8,941.2,False,51.4,337,1.5
5859.395,34.5,32.0,941.3,False,50.5,358,2.3
5919.42,34.5,30.9,941.3,False,51.5,49,1.3
5979.428,34.6,31.7,941.3,False,51.4,51,2.7
6039.437,34.7,31.7,941.2,False,50.9,0,0.0
6099.474,34.7,31.7,941.3,False,51.1,326,1.0
6159.466,34.6,32.3,941.1,False,51.3,62,2.2
6219.494,34.5,32.1,941.3,False,51.1,8,1.8
6279.493,34.5,32.1,941.3,False,50.8,326,1.9
6339.523,34.5,32.3,941.2,False,51.0,350,2.5
6399.536,34.4,32.4,941.3,False,51.3,360,2.0
6459.55,34.4,32.2,941.3,False,51.6,81,1.4
6519.576,34.5,31.6,941.3,False,51.9,65,1.3
6579.584,34.5,31.1,941.3,False,52.0,312,0.9
6639.595,34.5,30.7,941.3,False,52.1,141,1.6
6699.622,34.5,30.7,941.3,False,51.9,116,2.6
6759.648,34.7,30.2,941.3,False,52.0,283,0.9
6819.653,34.8,30.1,941.2,False,51.9,144,0.8
6879.655,34.8,31.0,941.2,False,52.0,324,0.9
6939.664,34.8,30.6,941.1,False,52.0,55,2.0
6999.684,34.8,30.9,941.2,False,51.6,278,1.3
7059.685,34.7,31.5,941.3,False,51.6,37,1.2
7119.688,34.7,31.9,941.1,False,51.3,0,0.0
7179.706,34.6,30.7,941.2,False,51.3,332,1.4
7239.701,34.5,30.7,941.2,False,51.5,352,0.8
7299.719,34.5,30.5,941.2,False,51.6,43,1.2
7359.719,34.4,30.2,941.2,False,50.6,329,2.2
7419.74,34.3,31.3,941.2,False,50.6,315,2.5
7479.762,34.3,31.9,941.2,False,51.2,360,1.5
7539.779,34.3,31.4,941.1,False,51.0,316,1.3
7599.785,34.2,31.4,941.2,False,50.8,321,3.4
7659.799,34.4,32.0,941.1,False,51.0,95,1.0
7719.802,34.3,31.1,941.1,False,50.7,333,1.5
7779.838,33.5,31.1,941.1,False,50.7,333,1.5
7839.836,34.3,32.3,941.1,False,51.1,97,0.7
7899.843,33.4,32.3,941.1,False,51.1,97,0.7
7959.855,34.6,31.4,941.2,False,51.2,36,0.9
8019.877,34.6,31.5,941.2,False,51.2,330,2.2
8079.874,34.6,32.1,941.1,False,51.3,309,1.3
8139.872,34.6,32.2,941.2,False,51.4,301,1.8
8199.875,34.5,30.9,941.2,False,51.0,97,2.3
8259.88,34.5,32.2,941.1,False,50.8,37,2.3
8319.901,34.1,32.2,941.1,False,50.8,37,2.3
8379.911,34.5,31.3,941.2,False,51.2,352,0.9
8439.928,34.5,30.9,941.0,False,51.0,123,2.3
8499.942,34.4,31.0,941.2,False,51.1,231,0.4
8559.964,34.5,31.0,941.1,False,51.0,39,0.9
8619.977,34.2,31.2,941.1,False,50.8,76,1.4
8679.992,34.3,31.1,941.1,False,50.5,148,0.9
8739.996,34.0,31.1,941.1,False,50.5,148,0.9
8800.012,34.2,31.2,941.2,False,50.2,55,0.9
8860.026,34.1,32.9,941.1,False,50.1,39,0.9
8920.067,34.0,32.9,941.1,False,50.0,328,1.0
