Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
1062.677,NOR,1,1.0,,,42.035,38.547,1.0,HARD,1.0,True,McLaren,1,,False,273.0,243.0,241.0,213.0,939.684,,False,,False
1155.889,NOR,1,2.0,93.212,29.313,37.423,26.476,1.0,HARD,2.0,True,McLaren,1,,True,298.0,260.0,231.0,296.0,,,True,TRACK LIMITS AT TURN 15 LAP 3 ,False
1305.872,NOR,1,3.0,,44.708,64.497,40.942,1.0,HARD,3.0,True,McLaren,1,,False,168.0,129.0,223.0,182.0,,,False,,False
1412.705,NOR,1,4.0,106.833,31.841,43.196,31.796,1.0,HARD,4.0,True,McLaren,1,,True,258.0,198.0,243.0,233.0,,,True,TRACK LIMITS AT TURN 3 LAP 5 ,False
1504.884,NOR,1,5.0,92.179,29.139,37.392,25.648,1.0,HARD,5.0,True,McLaren,1,,True,305.0,261.0,235.0,296.0,,,True,TRACK LIMITS AT TURN 15 LAP 6 ,False
1637.849,NOR,1,6.0,132.965,41.963,56.229,34.773,1.0,HARD,6.0,True,McLaren,1,,True,187.0,166.0,236.0,148.0,,,False,,False
1729.444,NOR,1,7.0,91.595,28.898,37.099,25.598,1.0,HARD,7.0,True,McLaren,1,,True,303.0,262.0,236.0,301.0,,,False,,False
1855.362,NOR,1,8.0,125.918,38.404,53.15,34.364,1.0,HARD,8.0,True,McLaren,1,,True,200.0,196.0,240.0,206.0,,,False,,False
1948.388,NOR,1,9.0,93.026,28.801,37.318,26.907,1.0,HARD,9.0,True,McLaren,1,,False,306.0,263.0,,298.0,,1942.481,False,,False
2556.159,NOR,1,10.0,,,42.544,31.235,2.0,HARD,10.0,False,McLaren,1,,False,246.0,240.0,245.0,255.0,2451.174,,False,,False
2647.734,NOR,1,11.0,91.575,28.886,36.989,25.7,2.0,HARD,11.0,False,McLaren,1,,True,306.0,264.0,230.0,300.0,,,False,,False
2749.821,NOR,1,12.0,102.087,33.728,42.001,26.358,2.0,HARD,12.0,False,McLaren,1,,True,217.0,252.0,247.0,294.0,,,False,,False
2843.841,NOR,1,13.0,94.02,29.684,37.637,26.699,2.0,HARD,13.0,False,McLaren,1,,True,305.0,259.0,256.0,251.0,,,False,,False
2936.13,NOR,1,14.0,92.289,29.051,37.433,25.805,2.0,HARD,14.0,False,McLaren,1,,True,301.0,259.0,255.0,300.0,,,False,,False
3030.647,NOR,1,15.0,94.517,29.614,38.993,25.91,2.0,HARD,15.0,False,McLaren,12,,True,304.0,252.0,252.0,299.0,,,False,,False
3124.567,NOR,1,16.0,93.92,29.632,37.981,26.307,2.0,HARD,16.0,False,McLaren,1,,True,302.0,262.0,239.0,306.0,,,False,,False
3218.595,NOR,1,17.0,94.028,30.247,37.947,25.834,2.0,HARD,17.0,False,McLaren,1,,True,302.0,259.0,254.0,296.0,,,False,,False
3311.664,NOR,1,18.0,93.069,29.616,37.714,25.739,2.0,HARD,18.0,False,McLaren,1,,False,294.0,257.0,,295.0,,3305.738,False,,False
3927.921,NOR,1,19.0,,,41.731,27.665,3.0,SOFT,1.0,True,McLaren,1,,False,271.0,180.0,249.0,278.0,3827.723,,False,,False
4018.209,NOR,1,20.0,90.288,28.508,36.41,25.37,3.0,SOFT,2.0,True,McLaren,1,,True,306.0,261.0,235.0,296.0,,,False,,False
4154.548,NOR,1,21.0,136.339,41.631,60.169,34.539,3.0,SOFT,3.0,True,McLaren,1,,False,191.0,174.0,,204.0,,4148.503,False,,False
4297.285,NOR,1,22.0,142.737,65.749,48.22,28.768,4.0,SOFT,4.0,False,McLaren,1,,False,274.0,194.0,243.0,278.0,4181.559,,False,,False
4387.961,NOR,1,23.0,90.676,28.635,36.483,25.558,4.0,SOFT,5.0,False,McLaren,1,,True,302.0,263.0,234.0,302.0,,,True,TRACK LIMITS AT TURN 15 LAP 24 ,False
4511.546,NOR,1,24.0,123.585,41.116,49.246,33.223,4.0,SOFT,6.0,False,McLaren,1,,True,159.0,235.0,212.0,175.0,,,False,,False
4637.08,NOR,1,25.0,125.534,37.931,46.601,41.002,4.0,SOFT,7.0,False,McLaren,1,,True,250.0,226.0,46.0,251.0,,,False,,False
4793.295,NOR,1,26.0,,73.267,43.945,38.897,4.0,SOFT,8.0,False,McLaren,1,,False,284.0,206.0,53.0,235.0,,,False,,False
4919.182,NOR,1,27.0,125.887,59.883,37.664,28.34,4.0,SOFT,9.0,False,McLaren,1,,False,304.0,252.0,,217.0,,4913.05,False,,False
1269.855,VER,3,1.0,,,44.64,38.005,1.0,HARD,1.0,True,Red Bull Racing,1,,False,268.0,254.0,237.0,278.0,1153.572,,False,,False
1362.508,VER,3,2.0,92.653,29.301,37.645,25.707,1.0,HARD,2.0,True,Red Bull Racing,1,,True,297.0,260.0,226.0,299.0,,,False,,False
1507.62,VER,3,3.0,145.112,47.98,55.759,41.373,1.0,HARD,3.0,True,Red Bull Racing,1,,True,189.0,96.0,239.0,208.0,,,False,,False
1598.897,VER,3,4.0,91.277,28.789,37.017,25.471,1.0,HARD,4.0,True,Red Bull Racing,1,,True,300.0,261.0,226.0,300.0,,,False,,False
1754.793,VER,3,5.0,,52.115,61.943,41.829,1.0,HARD,5.0,True,Red Bull Racing,1,,False,151.0,235.0,236.0,236.0,,,False,,False
1870.899,VER,3,6.0,116.106,30.198,46.679,39.229,1.0,HARD,6.0,True,Red Bull Racing,1,,True,245.0,247.0,239.0,269.0,,,False,,False
1963.545,VER,3,7.0,92.646,28.952,37.113,26.581,1.0,HARD,7.0,True,Red Bull Racing,1,,True,301.0,261.0,226.0,297.0,,,False,,False
2063.412,VER,3,8.0,99.867,31.751,41.769,26.347,1.0,HARD,8.0,True,Red Bull Racing,1,,False,259.0,242.0,,286.0,,2057.352,False,,False
2560.1,VER,3,9.0,,,38.335,26.666,2.0,HARD,9.0,False,Red Bull Racing,1,,False,290.0,259.0,245.0,300.0,2465.205,,False,,False
2653.139,VER,3,10.0,93.039,29.762,37.812,25.465,2.0,HARD,10.0,False,Red Bull Racing,1,,True,300.0,262.0,248.0,305.0,,,False,,False
2747.267,VER,3,11.0,94.128,30.043,38.252,25.833,2.0,HARD,11.0,False,Red Bull Racing,1,,True,294.0,256.0,248.0,300.0,,,False,,False
2840.9,VER,3,12.0,93.633,29.581,38.27,25.782,2.0,HARD,12.0,False,Red Bull Racing,1,,True,307.0,256.0,246.0,304.0,,,False,,False
2935.032,VER,3,13.0,94.132,30.012,37.925,26.195,2.0,HARD,13.0,False,Red Bull Racing,1,,True,295.0,250.0,247.0,289.0,,,False,,False
3029.461,VER,3,14.0,94.429,30.175,38.517,25.737,2.0,HARD,14.0,False,Red Bull Racing,12,,True,292.0,255.0,245.0,295.0,,,False,,False
3124.313,VER,3,15.0,94.852,30.3,38.159,26.393,2.0,HARD,15.0,False,Red Bull Racing,1,,True,292.0,255.0,248.0,295.0,,,False,,False
3219.406,VER,3,16.0,95.093,30.529,38.617,25.947,2.0,HARD,16.0,False,Red Bull Racing,1,,True,292.0,256.0,242.0,303.0,,,True,TRACK LIMITS AT TURN 3 LAP 17 ,False
3313.756,VER,3,17.0,94.35,30.341,38.228,25.781,2.0,HARD,17.0,False,Red Bull Racing,1,,True,293.0,257.0,245.0,305.0,,,False,,False
3408.632,VER,3,18.0,94.876,30.295,38.349,26.232,2.0,HARD,18.0,False,Red Bull Racing,1,,True,294.0,251.0,244.0,300.0,,,False,,False
3510.617,VER,3,19.0,101.985,31.13,40.386,30.469,2.0,HARD,19.0,False,Red Bull Racing,1,,False,303.0,197.0,,247.0,,3504.293,False,,False
4120.078,VER,3,20.0,,,44.797,32.869,3.0,SOFT,1.0,True,Red Bull Racing,1,,False,273.0,259.0,245.0,302.0,4009.398,,False,,False
4210.318,VER,3,21.0,90.24,28.692,36.628,24.92,3.0,SOFT,2.0,True,Red Bull Racing,1,,True,303.0,261.0,236.0,301.0,,,False,,False
4362.848,VER,3,22.0,,52.275,61.809,38.351,3.0,SOFT,3.0,True,Red Bull Racing,1,,False,123.0,186.0,178.0,167.0,,,False,,False
4478.377,VER,3,23.0,115.529,39.12,46.272,30.137,3.0,SOFT,4.0,True,Red Bull Racing,1,,True,117.0,238.0,244.0,202.0,,,False,,False
4568.645,VER,3,24.0,90.268,28.671,36.462,25.135,3.0,SOFT,5.0,True,Red Bull Racing,1,,True,304.0,263.0,236.0,302.0,,,False,,False
4712.378,VER,3,25.0,143.733,46.709,53.943,43.081,3.0,SOFT,6.0,True,Red Bull Racing,1,,True,160.0,232.0,43.0,241.0,,,False,,False
4869.473,VER,3,26.0,,75.017,43.668,38.463,3.0,SOFT,7.0,True,Red Bull Racing,1,,False,248.0,236.0,77.0,245.0,,,False,,False
5007.352,VER,3,27.0,137.879,71.108,39.901,26.87,3.0,SOFT,8.0,True,Red Bull Racing,1,,False,260.0,245.0,,286.0,,5000.123,False,,False
1038.337,BOR,5,1.0,,,46.006,33.388,1.0,HARD,1.0,True,Audi,1,,False,233.0,208.0,240.0,252.0,919.277,,False,,False
1133.267,BOR,5,2.0,94.93,30.373,38.411,26.146,1.0,HARD,2.0,True,Audi,1,,True,294.0,259.0,235.0,297.0,,,False,,False
1276.381,BOR,5,3.0,143.114,44.837,52.693,45.584,1.0,HARD,3.0,True,Audi,1,,True,187.0,179.0,240.0,241.0,,,False,,False
1369.926,BOR,5,4.0,93.545,30.315,37.541,25.689,1.0,HARD,4.0,True,Audi,1,,True,287.0,259.0,236.0,297.0,,,False,,False
1514.201,BOR,5,5.0,144.275,46.774,54.495,43.006,1.0,HARD,5.0,True,Audi,1,,True,170.0,112.0,239.0,103.0,,,False,,False
1606.556,BOR,5,6.0,92.355,29.651,37.252,25.452,1.0,HARD,6.0,True,Audi,1,,True,292.0,261.0,237.0,296.0,,,False,,False
1767.76,BOR,5,7.0,,48.172,62.731,50.336,1.0,HARD,7.0,True,Audi,1,,False,175.0,190.0,243.0,247.0,,,False,,False
1859.776,BOR,5,8.0,92.016,29.352,37.198,25.466,1.0,HARD,8.0,True,Audi,1,,True,291.0,260.0,236.0,298.0,,,False,,False
1999.028,BOR,5,9.0,139.252,41.372,62.187,35.693,1.0,HARD,9.0,True,Audi,1,,True,190.0,166.0,243.0,159.0,,,False,,False
2090.841,BOR,5,10.0,91.813,29.324,37.026,25.463,1.0,HARD,10.0,True,Audi,1,,True,291.0,260.0,235.0,293.0,,,False,,False
2196.364,BOR,5,11.0,105.523,38.774,40.47,26.279,1.0,HARD,11.0,True,Audi,1,,False,287.0,260.0,,285.0,,2190.334,False,,False
2746.845,BOR,5,12.0,,,49.207,28.223,2.0,HARD,12.0,False,Audi,1,,False,167.0,211.0,245.0,265.0,2631.217,,False,,False
2840.452,BOR,5,13.0,93.607,29.274,37.355,26.978,2.0,HARD,13.0,False,Audi,1,,False,294.0,259.0,,299.0,,2834.133,False,,False
2981.807,BOR,5,14.0,141.355,65.936,45.625,29.794,3.0,HARD,14.0,False,Audi,1,,False,235.0,215.0,243.0,194.0,2867.629,,False,,False
3074.428,BOR,5,15.0,92.621,29.465,37.359,25.797,3.0,HARD,15.0,False,Audi,12,,True,291.0,258.0,224.0,293.0,,,False,,False
3175.106,BOR,5,16.0,100.678,36.237,38.492,25.949,3.0,HARD,16.0,False,Audi,1,,True,297.0,257.0,249.0,292.0,,,False,,False
3269.615,BOR,5,17.0,94.509,29.971,38.615,25.923,3.0,HARD,17.0,False,Audi,1,,True,285.0,258.0,250.0,294.0,,,False,,False
3364.015,BOR,5,18.0,94.4,29.796,38.31,26.294,3.0,HARD,18.0,False,Audi,1,,True,287.0,259.0,247.0,295.0,,,False,,False
3458.456,BOR,5,19.0,94.441,29.708,38.607,26.126,3.0,HARD,19.0,False,Audi,1,,True,292.0,256.0,248.0,294.0,,,False,,False
3552.444,BOR,5,20.0,93.988,29.952,38.775,25.261,3.0,HARD,20.0,False,Audi,1,,False,287.0,260.0,,300.0,,3546.366,False,,False
4068.798,BOR,5,21.0,,,43.931,32.632,4.0,MEDIUM,1.0,True,Audi,1,,False,240.0,216.0,244.0,244.0,3959.956,,False,,False
4159.833,BOR,5,22.0,91.035,29.018,36.864,25.153,4.0,MEDIUM,2.0,True,Audi,1,,True,292.0,263.0,238.0,296.0,,,False,,False
4278.608,BOR,5,23.0,118.775,40.315,47.943,30.517,4.0,MEDIUM,3.0,True,Audi,1,,False,220.0,212.0,,217.0,,4272.509,False,,False
4414.567,BOR,5,24.0,135.959,56.161,48.758,31.04,5.0,MEDIUM,4.0,False,Audi,1,,False,207.0,200.0,241.0,240.0,4296.374,,False,,False
4506.834,BOR,5,25.0,92.267,29.154,37.45,25.663,5.0,MEDIUM,5.0,False,Audi,1,,True,290.0,261.0,226.0,295.0,,,True,TRACK LIMITS AT TURN 9 LAP 26 ,False
4642.938,BOR,5,26.0,136.104,43.357,52.027,40.72,5.0,MEDIUM,6.0,False,Audi,1,,True,191.0,195.0,50.0,216.0,,,False,,False
4797.551,BOR,5,27.0,,65.899,46.735,41.927,5.0,MEDIUM,7.0,False,Audi,1,,False,243.0,205.0,58.0,235.0,,,False,,False
4934.23,BOR,5,28.0,136.679,63.153,42.125,31.401,5.0,MEDIUM,8.0,False,Audi,1,,False,269.0,214.0,,212.0,,4928.023,False,,False
1108.488,HAD,6,1.0,,,44.225,37.003,1.0,HARD,1.0,True,Red Bull Racing,1,,False,264.0,204.0,238.0,258.0,983.578,,False,,False
1201.665,HAD,6,2.0,93.177,29.716,37.74,25.721,1.0,HARD,2.0,True,Red Bull Racing,1,,True,300.0,260.0,228.0,303.0,,,False,,False
1354.742,HAD,6,3.0,,52.93,58.373,41.75,1.0,HARD,3.0,True,Red Bull Racing,1,,False,158.0,184.0,241.0,135.0,,,False,,False
1446.439,HAD,6,4.0,91.697,29.009,37.093,25.595,1.0,HARD,4.0,True,Red Bull Racing,1,,True,302.0,260.0,227.0,300.0,,,False,,False
1600.322,HAD,6,5.0,,57.235,62.269,34.36,1.0,HARD,5.0,True,Red Bull Racing,1,,False,135.0,198.0,245.0,135.0,,,False,,False
1691.291,HAD,6,6.0,90.969,28.809,36.816,25.344,1.0,HARD,6.0,True,Red Bull Racing,1,,True,302.0,262.0,237.0,297.0,,,False,,False
1812.557,HAD,6,7.0,121.266,37.689,53.462,30.115,1.0,HARD,7.0,True,Red Bull Racing,1,,False,230.0,205.0,,246.0,,1806.453,False,,False
2471.466,HAD,6,8.0,,,39.341,25.95,2.0,HARD,8.0,False,Red Bull Racing,1,,False,289.0,258.0,242.0,301.0,2376.536,,False,,False
2565.7,HAD,6,9.0,94.234,29.98,38.362,25.892,2.0,HARD,9.0,False,Red Bull Racing,1,,True,290.0,258.0,245.0,300.0,,,False,,False
2659.408,HAD,6,10.0,93.708,29.874,38.102,25.732,2.0,HARD,10.0,False,Red Bull Racing,1,,True,289.0,261.0,245.0,308.0,,,False,,False
2753.573,HAD,6,11.0,94.165,30.025,38.282,25.858,2.0,HARD,11.0,False,Red Bull Racing,1,,True,292.0,257.0,243.0,312.0,,,False,,False
2855.689,HAD,6,12.0,102.116,30.03,43.171,28.915,2.0,HARD,12.0,False,Red Bull Racing,1,,True,297.0,226.0,254.0,271.0,,,False,,False
2949.181,HAD,6,13.0,93.492,29.818,38.068,25.606,2.0,HARD,13.0,False,Red Bull Racing,1,,True,287.0,257.0,255.0,299.0,,,False,,False
3043.325,HAD,6,14.0,94.144,29.981,38.239,25.924,2.0,HARD,14.0,False,Red Bull Racing,12,,True,287.0,256.0,255.0,293.0,,,False,,False
3137.261,HAD,6,15.0,93.936,29.964,38.212,25.76,2.0,HARD,15.0,False,Red Bull Racing,1,,True,285.0,257.0,254.0,297.0,,,False,,False
3231.621,HAD,6,16.0,94.36,30.198,38.326,25.836,2.0,HARD,16.0,False,Red Bull Racing,1,,True,286.0,256.0,255.0,299.0,,,False,,False
3326.044,HAD,6,17.0,94.423,30.012,38.565,25.846,2.0,HARD,17.0,False,Red Bull Racing,1,,True,290.0,256.0,251.0,301.0,,,False,,False
3420.213,HAD,6,18.0,94.169,30.023,38.471,25.675,2.0,HARD,18.0,False,Red Bull Racing,1,,False,289.0,257.0,,297.0,,3414.24,False,,False
