Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
972.361,HAM,44,1.0,,,48.299,31.398,1.0,MEDIUM,1.0,True,Ferrari,1,,False,244.0,225.0,234.0,275.0,847.889,,False,,False
1061.943,HAM,44,2.0,89.582,28.539,36.252,24.791,1.0,MEDIUM,2.0,True,Ferrari,1,,True,299.0,264.0,241.0,301.0,,,False,,False
1188.224,HAM,44,3.0,126.281,42.271,51.332,32.678,1.0,MEDIUM,3.0,True,Ferrari,1,,True,217.0,228.0,236.0,276.0,,,False,,False
1277.497,HAM,44,4.0,89.273,28.501,36.067,24.705,1.0,MEDIUM,4.0,True,Ferrari,1,,True,302.0,268.0,239.0,308.0,,,False,,False
1400.304,HAM,44,5.0,122.807,38.371,52.917,31.519,1.0,MEDIUM,5.0,True,Ferrari,1,,True,190.0,231.0,236.0,205.0,,,False,,False
1512.388,HAM,44,6.0,112.084,34.774,48.776,28.534,1.0,MEDIUM,6.0,True,Ferrari,1,,False,272.0,217.0,,280.0,,1506.23,False,,False
2077.921,HAM,44,7.0,,,44.028,31.056,2.0,MEDIUM,1.0,True,Ferrari,12,,False,259.0,235.0,238.0,277.0,1963.884,,False,,False
2166.668,HAM,44,8.0,88.747,28.304,35.754,24.689,2.0,MEDIUM,2.0,True,Ferrari,1,,True,300.0,266.0,241.0,302.0,,,False,,False
2291.01,HAM,44,9.0,124.342,41.051,51.358,31.933,2.0,MEDIUM,3.0,True,Ferrari,1,,True,203.0,234.0,152.0,279.0,,,False,,False
2414.44,HAM,44,10.0,123.43,42.68,47.837,32.913,2.0,MEDIUM,4.0,True,Ferrari,1,,True,254.0,192.0,239.0,283.0,,,False,,False
2511.403,HAM,44,11.0,96.963,28.41,35.646,32.907,2.0,MEDIUM,5.0,True,Ferrari,1,,False,300.0,265.0,,298.0,,2502.475,False,,False
3360.362,HAM,44,12.0,,,45.957,27.451,3.0,SOFT,1.0,True,Ferrari,12,,False,266.0,236.0,240.0,278.0,3234.288,,False,,False
3448.738,HAM,44,13.0,88.376,28.113,35.706,24.557,3.0,SOFT,2.0,True,Ferrari,1,,True,300.0,267.0,241.0,298.0,,,False,,False
3559.656,HAM,44,14.0,,37.858,47.163,,3.0,SOFT,3.0,True,Ferrari,1,,False,219.0,219.0,,218.0,,3559.656,False,,False
937.022,ANT,12,1.0,,,41.414,27.801,1.0,MEDIUM,1.0,True,Mercedes,1,,False,234.0,237.0,247.0,249.0,832.529,,False,,False
1026.84,ANT,12,2.0,89.818,28.442,36.433,24.943,1.0,MEDIUM,2.0,True,Mercedes,1,,True,298.0,263.0,240.0,296.0,,,False,,False
1147.883,ANT,12,3.0,121.043,40.542,47.836,32.665,1.0,MEDIUM,3.0,True,Mercedes,1,,False,229.0,194.0,,219.0,,1141.925,False,,False
1306.369,ANT,12,4.0,,77.857,52.849,27.829,2.0,MEDIUM,4.0,False,Mercedes,1,,False,262.0,209.0,244.0,266.0,1190.504,,False,,False
1396.115,ANT,12,5.0,89.746,28.517,36.212,25.017,2.0,MEDIUM,5.0,False,Mercedes,1,,True,298.0,265.0,249.0,296.0,,,False,,False
1516.954,ANT,12,6.0,120.839,41.213,48.822,30.804,2.0,MEDIUM,6.0,False,Mercedes,1,,False,205.0,187.0,,279.0,,1511.049,False,,False
2083.445,ANT,12,7.0,,,41.467,28.912,3.0,MEDIUM,1.0,True,Mercedes,12,,False,248.0,237.0,248.0,256.0,1981.381,,False,,False
2172.291,ANT,12,8.0,88.846,28.157,35.623,25.066,3.0,MEDIUM,2.0,True,Mercedes,1,,True,297.0,255.0,247.0,292.0,,,False,,False
2297.052,ANT,12,9.0,124.761,38.409,55.289,31.063,3.0,MEDIUM,3.0,True,Mercedes,1,,False,223.0,197.0,,241.0,,2291.047,False,,False
2455.152,ANT,12,10.0,,84.618,46.335,27.16,4.0,MEDIUM,4.0,False,Mercedes,1,,False,220.0,223.0,248.0,277.0,2345.705,,False,,False
2544.543,ANT,12,11.0,89.391,28.529,36.137,24.725,4.0,MEDIUM,5.0,False,Mercedes,1,,True,296.0,265.0,246.0,298.0,,,False,,False
2658.631,ANT,12,12.0,114.088,36.875,46.243,30.97,4.0,MEDIUM,6.0,False,Mercedes,12,,False,225.0,217.0,,241.0,,2652.116,False,,False
3338.853,ANT,12,13.0,,,42.031,27.799,5.0,SOFT,1.0,True,Mercedes,21,,False,244.0,238.0,249.0,258.0,3219.171,,False,,False
3427.24,ANT,12,14.0,88.387,28.094,35.75,24.543,5.0,SOFT,2.0,True,Mercedes,1,,True,302.0,268.0,245.0,301.0,,,False,,False
3546.551,ANT,12,15.0,,40.459,51.677,,5.0,SOFT,3.0,True,Mercedes,1,,False,214.0,203.0,,242.0,,3546.551,False,,False
960.301,LEC,16,1.0,,,47.665,29.718,1.0,MEDIUM,1.0,True,Ferrari,1,,False,266.0,233.0,239.0,250.0,842.654,,False,,False
1050.094,LEC,16,2.0,89.793,28.668,36.235,24.89,1.0,MEDIUM,2.0,True,Ferrari,1,,True,298.0,267.0,241.0,304.0,,,False,,False
1172.91,LEC,16,3.0,122.816,45.221,48.237,29.358,1.0,MEDIUM,3.0,True,Ferrari,1,,True,218.0,228.0,240.0,276.0,,,False,,False
1262.29,LEC,16,4.0,89.38,28.518,36.067,24.795,1.0,MEDIUM,4.0,True,Ferrari,1,,True,298.0,266.0,242.0,299.0,,,False,,False
1380.528,LEC,16,5.0,118.238,38.415,45.406,34.417,1.0,MEDIUM,5.0,True,Ferrari,1,,False,249.0,231.0,,212.0,,1374.109,False,,False
2072.185,LEC,16,6.0,,,45.015,29.713,2.0,MEDIUM,1.0,True,Ferrari,12,,False,256.0,222.0,240.0,257.0,1960.242,,False,,False
2161.107,LEC,16,7.0,88.922,28.258,35.925,24.739,2.0,MEDIUM,2.0,True,Ferrari,1,,True,297.0,267.0,243.0,300.0,,,False,,False
2285.217,LEC,16,8.0,124.11,42.381,49.994,31.735,2.0,MEDIUM,3.0,True,Ferrari,1,,True,194.0,214.0,187.0,234.0,,,False,,False
2410.06,LEC,16,9.0,124.843,41.793,49.847,33.203,2.0,MEDIUM,4.0,True,Ferrari,1,,True,237.0,197.0,240.0,258.0,,,False,,False
2499.027,LEC,16,10.0,88.967,28.415,35.803,24.749,2.0,MEDIUM,5.0,True,Ferrari,1,,True,298.0,263.0,241.0,297.0,,,False,,False
2616.435,LEC,16,11.0,117.408,36.239,45.909,35.26,2.0,MEDIUM,6.0,True,Ferrari,1,,False,198.0,208.0,,167.0,,2610.427,False,,False
3349.286,LEC,16,12.0,,,42.555,29.245,3.0,SOFT,1.0,True,Ferrari,12,,False,296.0,225.0,240.0,260.0,3222.181,,False,,False
3437.989,LEC,16,13.0,88.703,28.159,35.841,24.703,3.0,SOFT,2.0,True,Ferrari,1,,True,300.0,267.0,243.0,300.0,,,False,,False
3551.676,LEC,16,14.0,,38.443,46.383,,3.0,SOFT,3.0,True,Ferrari,1,,False,177.0,216.0,,192.0,,3551.676,False,,False
948.43,RUS,63,1.0,,,43.767,28.252,1.0,MEDIUM,1.0,True,Mercedes,1,,False,232.0,236.0,245.0,252.0,838.207,,False,,False
1038.582,RUS,63,2.0,90.152,28.734,36.43,24.988,1.0,MEDIUM,2.0,True,Mercedes,1,,True,294.0,263.0,243.0,294.0,,,False,,False
1166.144,RUS,63,3.0,127.562,43.583,53.505,30.474,1.0,MEDIUM,3.0,True,Mercedes,1,,False,219.0,219.0,,270.0,,1159.405,False,,False
1345.009,RUS,63,4.0,,,43.778,28.873,2.0,MEDIUM,4.0,False,Mercedes,1,,False,273.0,236.0,244.0,255.0,1235.553,,False,,False
1434.684,RUS,63,5.0,89.675,28.577,36.251,24.847,2.0,MEDIUM,5.0,False,Mercedes,1,,True,294.0,265.0,242.0,296.0,,,False,,False
1551.481,RUS,63,6.0,116.797,37.226,49.357,30.214,2.0,MEDIUM,6.0,False,Mercedes,1,,False,246.0,213.0,,269.0,,1545.434,False,,False
2093.215,RUS,63,7.0,,,43.602,28.157,3.0,MEDIUM,1.0,True,Mercedes,12,,False,255.0,232.0,245.0,257.0,1988.801,,False,,False
2182.689,RUS,63,8.0,89.474,28.549,36.034,24.891,3.0,MEDIUM,2.0,True,Mercedes,1,,True,295.0,264.0,244.0,295.0,,,False,,False
2311.021,RUS,63,9.0,128.332,44.844,50.831,32.657,3.0,MEDIUM,3.0,True,Mercedes,1,,True,224.0,229.0,157.0,272.0,,,False,,False
2430.089,RUS,63,10.0,119.068,39.097,50.415,29.556,3.0,MEDIUM,4.0,True,Mercedes,1,,True,264.0,180.0,244.0,267.0,,,False,,False
2519.335,RUS,63,11.0,89.246,28.493,36.002,24.751,3.0,MEDIUM,5.0,True,Mercedes,1,,True,297.0,265.0,244.0,295.0,,,False,,False
2631.189,RUS,63,12.0,111.854,36.554,46.29,29.01,3.0,MEDIUM,6.0,True,Mercedes,1,,False,266.0,230.0,,269.0,,2625.301,False,,False
3383.004,RUS,63,13.0,,,44.649,30.979,4.0,SOFT,1.0,True,Mercedes,12,,False,258.0,237.0,247.0,153.0,3267.359,,False,,False
3471.737,RUS,63,14.0,88.733,28.301,35.854,24.578,4.0,SOFT,2.0,True,Mercedes,1,,True,295.0,267.0,243.0,299.0,,,False,,False
