Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
2949.819,ANT,12,1.0,,,38.78,25.089,1.0,MEDIUM,1.0,True,Mercedes,1,2.0,False,310.0,265.0,254.0,317.0,,,False,,False
3042.2,ANT,12,2.0,92.381,29.664,37.183,25.534,1.0,MEDIUM,2.0,True,Mercedes,12,2.0,True,295.0,261.0,254.0,301.0,,,False,,False
3134.53,ANT,12,3.0,92.33,29.633,37.217,25.48,1.0,MEDIUM,3.0,True,Mercedes,1,2.0,True,297.0,262.0,254.0,303.0,,,False,,False
3226.5,ANT,12,4.0,91.97,29.446,37.273,25.251,1.0,MEDIUM,4.0,True,Mercedes,1,2.0,True,307.0,262.0,256.0,303.0,,,False,,False
3318.475,ANT,12,5.0,91.975,29.367,37.193,25.415,1.0,MEDIUM,5.0,True,Mercedes,1,2.0,True,312.0,265.0,250.0,308.0,,,False,,False
3410.579,ANT,12,6.0,92.104,29.434,37.345,25.325,1.0,MEDIUM,6.0,True,Mercedes,1,2.0,True,313.0,262.0,255.0,309.0,,,False,,False
3503.029,ANT,12,7.0,92.45,29.386,37.522,25.542,1.0,MEDIUM,7.0,True,Mercedes,1,2.0,True,318.0,264.0,255.0,314.0,,,False,,False
3595.478,ANT,12,8.0,92.449,29.6,37.846,25.003,1.0,MEDIUM,8.0,True,Mercedes,1,1.0,True,305.0,262.0,252.0,318.0,,,False,,False
3687.941,ANT,12,9.0,92.463,29.759,37.16,25.544,1.0,MEDIUM,9.0,True,Mercedes,1,1.0,True,294.0,262.0,255.0,296.0,,,False,,False
3780.385,ANT,12,10.0,92.444,29.588,37.223,25.633,1.0,MEDIUM,10.0,True,Mercedes,1,1.0,True,302.0,261.0,253.0,294.0,,,False,,False
3872.468,ANT,12,11.0,92.083,29.612,37.121,25.35,1.0,MEDIUM,11.0,True,Mercedes,1,1.0,True,302.0,263.0,253.0,297.0,,,False,,False
3964.751,ANT,12,12.0,92.283,29.798,37.144,25.341,1.0,MEDIUM,12.0,True,Mercedes,1,1.0,True,301.0,262.0,254.0,299.0,,,False,,False
4057.325,ANT,12,13.0,92.574,29.934,37.266,25.374,1.0,MEDIUM,13.0,True,Mercedes,1,1.0,True,299.0,262.0,253.0,302.0,,,False,,False
4149.671,ANT,12,14.0,92.346,29.794,37.253,25.299,1.0,MEDIUM,14.0,True,Mercedes,1,1.0,True,300.0,261.0,253.0,298.0,,,False,,False
4241.739,ANT,12,15.0,92.068,29.699,37.135,25.234,1.0,MEDIUM,15.0,True,Mercedes,1,1.0,True,303.0,262.0,255.0,299.0,,,False,,False
4333.786,ANT,12,16.0,92.047,29.709,37.134,25.204,1.0,MEDIUM,16.0,True,Mercedes,1,1.0,True,299.0,262.0,254.0,299.0,,,False,,False
4425.393,ANT,12,17.0,91.607,29.606,37.078,24.923,1.0,MEDIUM,17.0,True,Mercedes,1,1.0,True,294.0,266.0,255.0,312.0,,,False,,False
2948.748,HAM,44,1.0,,,37.302,25.686,1.0,MEDIUM,1.0,True,Ferrari,1,1.0,False,290.0,261.0,250.0,297.0,,,False,,False
3040.863,HAM,44,2.0,92.115,29.928,36.754,25.433,1.0,MEDIUM,2.0,True,Ferrari,12,1.0,True,286.0,260.0,250.0,298.0,,,False,,False
3133.407,HAM,44,3.0,92.544,30.141,37.124,25.279,1.0,MEDIUM,3.0,True,Ferrari,1,1.0,True,289.0,261.0,249.0,300.0,,,False,,False
3225.626,HAM,44,4.0,92.219,29.853,36.911,25.455,1.0,MEDIUM,4.0,True,Ferrari,1,1.0,True,291.0,259.0,250.0,299.0,,,False,,False
3317.534,HAM,44,5.0,91.908,29.74,36.889,25.279,1.0,MEDIUM,5.0,True,Ferrari,1,1.0,True,300.0,261.0,250.0,299.0,,,False,,False
