Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
29.599,21.7,58.8,1008.8,False,35.2,134,0.3
89.611,21.7,58.3,1008.8,False,31.8,109,2.1
149.608,22.0,58.3,1008.8,False,31.8,109,2.1
209.602,21.7,58.0,1008.8,False,33.5,166,1.1
269.614,21.7,58.0,1008.8,False,33.5,166,1.1
329.599,21.4,58.5,1008.8,False,36.5,288,2.2
389.605,21.6,58.5,1008.8,False,36.5,288,2.2
449.615,21.6,58.5,1008.8,False,36.5,288,2.2
509.622,21.8,58.5,1008.8,False,36.5,288,2.2
569.639,21.8,58.5,1008.8,False,36.5,288,2.2
629.642,21.9,58.5,1008.8,False,36.5,288,2.2
689.648,21.9,58.5,1008.8,False,36.5,288,2.2
749.658,21.7,57.4,1008.9,False,34.7,0,0.0
809.67,21.9,57.4,1008.9,False,34.7,0,0.0
869.699,22.4,57.4,1008.9,False,34.7,0,0.0
929.716,22.1,58.1,1008.8,False,37.5,258,1.5
989.717,22.3,58.1,1008.8,False,37.5,258,1.5
1049.721,22.2,56.0,1008.8,False,35.2,132,1.9
1109.715,21.6,56.0,1008.8,False,35.2,132,1.9
1169.729,23.0,56.0,1008.8,False,35.2,132,1.9
1229.757,21.4,56.0,1008.8,False,35.2,132,1.9
1289.748,22.5,56.0,1008.8,False,35.2,132,1.9
1349.757,21.8,57.9,1008.7,False,36.0,222,2.9
1409.741,21.9,56.9,1008.7,False,35.5,212,3.4
1469.77,22.1,56.9,1008.7,False,35.5,212,3.4
1529.765,22.1,56.3,1008.9,False,36.2,156,1.6
1589.772,22.1,56.3,1008.9,False,36.2,156,1.6
1649.788,22.4,55.6,1008.7,False,36.3,269,1.5
1709.788,23.0,53.7,1008.8,False,37.3,255,2.5
1769.8,22.9,53.7,1008.8,False,37.3,255,2.5
1829.803,22.7,54.9,1008.7,False,36.3,240,3.5
1889.791,22.7,56.0,1008.9,False,37.4,223,3.6
1949.784,22.5,56.0,1008.9,False,37.4,223,3.6
2009.799,22.4,55.0,1008.8,False,38.3,250,2.8
2069.803,22.7,54.8,1008.6,False,37.4,189,1.2
2129.802,22.8,54.8,1008.6,False,37.4,189,1.2
2189.802,22.7,54.8,1008.6,False,37.4,189,1.2
2249.805,22.4,54.8,1008.6,False,37.4,189,1.2
2309.802,22.5,54.8,1008.6,False,37.4,189,1.2
2369.805,22.6,54.8,1008.6,False,37.4,189,1.2
2429.802,22.5,54.8,1008.6,False,37.4,189,1.2
2489.802,22.8,54.1,1008.6,False,38.5,255,5.6
2549.802,22.7,52.9,1008.5,False,37.7,236,3.1
2609.827,22.3,52.9,1008.5,False,37.7,236,3.1
2669.846,23.0,52.9,1008.5,False,37.7,236,3.1
2729.852,22.6,53.8,1008.8,False,38.4,257,2.5
2789.864,22.6,54.2,1008.8,False,38.9,96,0.8
2849.877,22.7,53.7,1008.7,False,39.4,251,1.3
2909.849,22.9,53.1,1008.6,False,37.2,302,2.3
2969.87,22.9,52.7,1008.5,False,37.7,273,1.7
3029.892,22.9,52.7,1008.5,False,37.7,273,1.7
3089.908,22.8,53.8,1008.7,False,38.9,206,3.6
3149.905,22.7,53.2,1008.7,False,39.7,242,1.8
3209.917,22.8,53.5,1008.8,False,40.5,212,1.5
3269.942,22.8,53.5,1008.7,False,40.8,251,3.5
3329.951,22.9,52.5,1008.7,False,40.8,238,3.4
3389.938,22.9,52.1,1008.7,False,40.4,241,3.8
3449.945,22.8,52.3,1008.7,False,40.8,228,1.9
3509.955,22.7,54.0,1008.7,False,39.1,266,2.2
3569.979,22.6,54.1,1008.8,False,38.7,257,3.3
3629.998,22.7,53.8,1008.7,False,37.3,235,4.5
3689.988,22.8,54.0,1008.6,False,36.7,244,4.9
3750.002,23.4,54.0,1008.6,False,36.7,244,4.9
3809.994,23.0,54.0,1008.7,False,39.3,238,1.9
3870.001,23.1,54.8,1008.6,False,39.1,266,3.5
3930.001,23.2,53.5,1008.6,False,38.8,91,1.6
3989.994,23.2,53.6,1008.7,False,39.5,256,2.1
4050.0,23.3,53.6,1008.7,False,39.0,254,3.7
4110.009,23.2,51.8,1008.8,False,39.3,223,3.0
4170.009,23.7,51.8,1008.8,False,39.3,223,3.0
4230.012,23.2,53.1,1008.6,False,40.5,130,1.9
4290.019,23.4,52.6,1008.8,False,40.2,208,1.6
4350.031,23.4,52.7,1008.5,False,38.8,239,2.0
4410.025,23.4,52.2,1008.6,False,38.6,266,1.9
4470.022,24.3,52.2,1008.6,False,38.6,266,1.9
4530.012,23.3,52.1,1008.5,False,38.7,242,3.2
4590.034,23.2,53.0,1008.5,False,36.9,299,0.4
4650.043,23.2,53.7,1008.5,False,37.9,40,0.8
4710.034,23.1,53.6,1008.5,False,38.7,238,3.1
