Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
1173.337,ANT,12,1.0,,,43.746,33.463,1.0,SOFT,4.0,False,Mercedes,1,,False,202.0,214.0,242.0,192.0,1057.655,,False,,False
1263.056,ANT,12,2.0,89.719,28.836,36.103,24.78,1.0,SOFT,5.0,False,Mercedes,12,,True,297.0,264.0,236.0,300.0,,,False,,False
1377.288,ANT,12,3.0,114.232,37.174,48.537,28.521,1.0,SOFT,6.0,False,Mercedes,1,,False,255.0,232.0,,284.0,,1371.342,False,,False
1643.885,ANT,12,4.0,,,41.007,27.035,2.0,SOFT,8.0,False,Mercedes,1,,False,254.0,242.0,246.0,285.0,1543.836,,False,,False
1734.146,ANT,12,5.0,90.261,28.857,36.484,24.92,2.0,SOFT,9.0,False,Mercedes,1,,True,296.0,263.0,230.0,299.0,,,False,,False
1843.835,ANT,12,6.0,109.689,35.142,44.525,30.022,2.0,SOFT,10.0,False,Mercedes,12,,False,255.0,233.0,,260.0,,1837.815,False,,False
3026.744,ANT,12,7.0,,,41.831,35.344,3.0,SOFT,1.0,True,Mercedes,12,,False,210.0,239.0,242.0,257.0,2903.322,,False,,False
3143.493,ANT,12,8.0,116.749,37.484,51.124,28.141,3.0,SOFT,2.0,True,Mercedes,1,,True,112.0,217.0,245.0,280.0,,,True,TRACK LIMITS AT TURN 3 LAP 9 ,False
3232.536,ANT,12,9.0,89.043,28.692,35.864,24.487,3.0,SOFT,3.0,True,Mercedes,1,,True,296.0,266.0,245.0,300.0,,,False,,False
3333.996,ANT,12,10.0,101.46,32.843,41.288,27.329,3.0,SOFT,4.0,True,Mercedes,1,,False,266.0,225.0,,280.0,,3327.48,False,,False
3589.167,ANT,12,11.0,,,43.13,32.118,4.0,SOFT,1.0,True,Mercedes,1,,False,250.0,183.0,250.0,232.0,3481.94,,False,,False
3677.66,ANT,12,12.0,88.493,28.292,35.731,24.47,4.0,SOFT,2.0,True,Mercedes,1,,True,297.0,267.0,248.0,299.0,,,False,,False
3788.548,ANT,12,13.0,110.888,36.525,43.221,31.142,4.0,SOFT,3.0,True,Mercedes,1,,False,247.0,219.0,,270.0,,3782.674,False,,False
4331.177,ANT,12,14.0,,,41.673,27.195,5.0,SOFT,1.0,True,Mercedes,1,,False,241.0,234.0,249.0,269.0,4229.655,,False,,False
4419.562,ANT,12,15.0,88.385,28.398,35.547,24.44,5.0,SOFT,2.0,True,Mercedes,1,,True,297.0,267.0,249.0,300.0,,,False,,False
