Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
58.41,25.3,45.4,1007.8,False,43.7,278,1.1
118.412,25.4,46.1,1007.7,False,43.7,253,3.4
178.428,25.5,46.4,1007.8,False,44.0,259,3.4
238.434,25.5,46.9,1007.7,False,44.4,262,2.0
298.451,25.4,46.3,1007.8,False,41.1,261,2.2
358.453,25.2,46.6,1007.7,False,41.2,330,1.6
418.453,25.1,47.5,1007.7,False,43.2,281,1.9
478.468,25.2,47.4,1007.7,False,43.9,230,1.4
538.477,25.2,48.1,1007.8,False,42.2,244,3.6
598.48,25.2,46.9,1007.6,False,43.7,256,2.6
658.499,25.3,47.5,1007.8,False,41.5,179,1.3
718.515,25.3,47.7,1007.7,False,40.5,262,3.1
778.515,25.1,47.7,1007.7,False,40.2,239,2.8
838.531,25.1,48.2,1007.7,False,39.1,267,3.7
898.536,25.1,49.0,1007.8,False,39.1,264,2.8
958.553,25.0,49.6,1007.8,False,39.2,265,2.8
1018.556,25.1,49.3,1007.6,False,39.7,219,0.5
1078.546,25.1,49.5,1007.7,False,40.9,265,2.1
1138.552,25.1,49.8,1007.7,False,39.9,200,2.3
1198.552,25.1,49.4,1007.6,False,39.2,231,1.6
1258.549,25.0,49.8,1007.7,False,38.5,285,2.6
1318.561,25.0,49.6,1007.7,False,38.4,259,3.1
1378.542,25.0,50.0,1007.7,False,40.1,145,1.6
1438.561,25.2,50.0,1007.7,False,40.1,145,1.6
1498.562,25.2,49.1,1007.7,False,41.2,212,2.8
1558.564,25.2,48.8,1007.7,False,41.6,53,0.7
1618.561,25.2,49.0,1007.6,False,42.1,358,1.7
1678.561,25.2,48.0,1007.7,False,42.3,123,2.5
1738.569,25.3,48.0,1007.7,False,42.6,165,0.8
1798.576,25.3,48.1,1007.6,False,41.0,238,2.9
1858.564,25.2,47.2,1007.7,False,40.7,234,2.8
1918.556,25.2,47.9,1007.6,False,40.2,221,2.7
1978.573,25.2,48.3,1007.6,False,40.0,226,2.4
2038.58,25.1,48.8,1007.6,False,39.6,254,2.5
2098.601,25.1,48.5,1007.6,False,40.5,232,1.8
2158.594,25.1,49.5,1007.6,False,41.1,102,2.8
2218.612,25.1,48.5,1007.5,False,42.1,247,1.1
2278.616,25.2,48.2,1007.7,False,42.3,240,1.9
2338.629,25.1,48.2,1007.6,False,42.2,248,2.7
2398.644,25.2,47.4,1007.7,False,42.6,43,0.3
2458.666,25.1,47.9,1007.6,False,42.5,176,1.9
2518.68,25.2,48.0,1007.6,False,42.5,295,1.6
2578.672,25.2,48.1,1007.5,False,42.5,270,3.3
2638.675,25.3,48.0,1007.6,False,42.2,257,1.3
2698.675,25.3,47.6,1007.6,False,42.5,225,1.5
2758.688,25.3,46.9,1007.8,False,41.4,264,2.4
2818.704,25.3,47.0,1007.6,False,40.9,87,2.5
2878.697,25.3,46.7,1007.5,False,42.1,202,0.3
2938.706,25.2,47.5,1007.6,False,41.3,10,2.5
2998.703,25.1,47.2,1007.5,False,40.4,284,1.5
3058.697,25.2,47.4,1007.6,False,41.6,31,1.0
3118.694,25.3,46.9,1007.6,False,41.9,270,2.1
3178.7,25.5,46.7,1007.6,False,41.4,255,3.5
3238.681,25.5,46.2,1007.4,False,41.5,259,2.6
3298.705,25.6,46.9,1007.4,False,41.7,245,3.8
3358.706,25.5,46.8,1007.6,False,40.4,212,2.6
3418.715,25.4,46.5,1007.5,False,41.5,258,2.2
3478.706,25.2,47.8,1007.6,False,41.7,123,1.7
3538.715,25.3,47.4,1007.5,False,41.6,106,4.1
3598.706,25.3,46.8,1007.4,False,41.9,111,1.9
3658.709,25.3,47.6,1007.5,False,41.7,243,4.9
3718.703,25.3,47.6,1007.6,False,41.2,239,4.7
3778.708,25.2,47.5,1007.6,False,41.6,106,1.9
3838.708,25.3,47.4,1007.5,False,41.4,157,0.9
3898.712,25.2,47.3,1007.6,False,39.6,203,2.7
3958.715,25.2,47.2,1007.4,False,39.9,282,1.7
4018.727,25.2,47.9,1007.6,False,40.5,194,1.0
4078.752,25.1,48.3,1007.5,False,39.7,87,1.6
4138.768,25.1,48.3,1007.6,False,39.2,274,3.4
4198.758,25.0,48.7,1007.5,False,39.4,276,0.9
4258.764,24.9,49.1,1007.6,False,38.2,267,2.2
4318.794,25.0,49.0,1007.5,False,38.2,244,3.6
4378.783,25.3,49.0,1007.5,False,38.2,244,3.6
4438.808,25.0,49.7,1007.5,False,39.2,168,1.4
4498.832,25.3,49.7,1007.5,False,39.2,168,1.4
4558.842,24.9,50.2,1007.4,False,41.4,187,1.4
4618.836,24.9,49.6,1007.4,False,41.7,213,1.0
4678.854,25.4,49.6,1007.4,False,41.7,213,1.0
4738.87,25.0,49.3,1007.4,False,41.2,105,2.2
4798.861,25.4,49.3,1007.4,False,41.2,105,2.2
4858.857,25.3,49.3,1007.4,False,41.2,105,2.2
4918.867,25.9,49.3,1007.4,False,41.2,105,2.2
4978.863,25.8,49.3,1007.4,False,41.2,105,2.2
5038.847,25.7,49.3,1007.4,False,41.2,105,2.2
