Time,Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,IsAccurate,SpeedI1,SpeedI2,SpeedFL,SpeedST,PitOutTime,PitInTime,Deleted,DeletedReason,FastF1Generated
3440.252,NOR,1,1.0,100.454,,39.496,26.468,1.0,MEDIUM,1.0,True,McLaren,12,7.0,False,325.0,254.0,244.0,307.0,,,False,,False
3535.088,NOR,1,2.0,94.836,30.17,38.718,25.948,1.0,MEDIUM,2.0,True,McLaren,12,7.0,True,301.0,255.0,248.0,304.0,,,False,,False
3630.329,NOR,1,3.0,95.241,30.061,38.936,26.244,1.0,MEDIUM,3.0,True,McLaren,1,7.0,True,299.0,255.0,243.0,308.0,,,False,,False
3725.445,NOR,1,4.0,95.116,29.899,39.002,26.215,1.0,MEDIUM,4.0,True,McLaren,1,7.0,True,311.0,256.0,246.0,310.0,,,False,,False
3820.599,NOR,1,5.0,95.154,29.884,38.996,26.274,1.0,MEDIUM,5.0,True,McLaren,1,7.0,True,305.0,257.0,245.0,304.0,,,False,,False
3915.474,NOR,1,6.0,94.875,29.883,38.807,26.185,1.0,MEDIUM,6.0,True,McLaren,1,7.0,True,306.0,256.0,246.0,303.0,,,False,,False
4010.56,NOR,1,7.0,95.086,30.129,38.659,26.298,1.0,MEDIUM,7.0,True,McLaren,1,7.0,True,300.0,255.0,246.0,299.0,,,False,,False
4105.841,NOR,1,8.0,95.281,30.385,38.638,26.258,1.0,MEDIUM,8.0,True,McLaren,1,7.0,True,296.0,254.0,247.0,298.0,,,False,,False
4201.461,NOR,1,9.0,95.62,30.516,38.839,26.265,1.0,MEDIUM,9.0,True,McLaren,1,7.0,True,296.0,254.0,246.0,300.0,,,False,,False
4296.747,NOR,1,10.0,95.286,30.408,38.711,26.167,1.0,MEDIUM,10.0,True,McLaren,1,7.0,True,295.0,253.0,246.0,299.0,,,False,,False
4392.065,NOR,1,11.0,95.318,30.259,38.809,26.25,1.0,MEDIUM,11.0,True,McLaren,1,7.0,True,297.0,254.0,245.0,302.0,,,False,,False
4487.507,NOR,1,12.0,95.442,30.276,38.887,26.279,1.0,MEDIUM,12.0,True,McLaren,1,7.0,True,296.0,250.0,245.0,302.0,,,False,,False
4582.654,NOR,1,13.0,95.147,30.217,38.838,26.092,1.0,MEDIUM,13.0,True,McLaren,1,7.0,True,298.0,254.0,244.0,309.0,,,False,,False
4677.744,NOR,1,14.0,95.09,29.919,38.986,26.185,1.0,MEDIUM,14.0,True,McLaren,1,7.0,True,303.0,254.0,249.0,303.0,,,False,,False
