Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
44.672,22.8,55.9,1007.0,False,37.9,212,1.4
104.692,22.8,56.5,1007.1,False,37.5,280,1.1
164.707,22.9,56.6,1007.1,False,37.8,345,0.5
224.723,23.0,55.8,1007.1,False,37.6,248,0.7
284.721,23.1,54.9,1007.0,False,38.5,158,1.0
344.724,23.2,54.5,1007.0,False,39.2,123,0.9
404.74,23.3,54.8,1006.9,False,38.1,100,1.4
464.717,23.2,55.3,1007.0,False,37.6,171,1.5
524.724,23.1,55.9,1006.9,False,37.8,220,1.8
584.739,23.1,56.2,1006.9,False,37.5,229,1.4
644.768,23.4,56.2,1006.7,False,38.2,233,1.6
704.766,23.1,55.8,1006.8,False,38.7,294,1.1
764.789,23.2,54.2,1006.8,False,40.2,181,1.6
824.814,23.3,54.5,1007.0,False,40.7,238,1.0
884.815,23.3,54.1,1006.9,False,41.1,264,1.9
944.814,23.4,53.5,1006.9,False,41.1,193,0.8
1004.809,23.4,53.5,1006.9,False,41.1,193,0.8
1064.807,23.4,53.5,1006.9,False,41.1,193,0.8
1124.809,23.4,53.5,1006.9,False,41.1,193,0.8
1184.801,23.7,53.3,1006.8,False,40.2,227,2.9
1244.81,23.8,52.8,1006.8,False,40.0,248,2.6
1304.812,23.8,53.2,1006.8,False,39.2,246,2.8
1364.811,23.7,53.2,1006.8,False,39.2,246,2.8
1424.812,23.5,53.2,1006.8,False,39.2,246,2.8
1484.814,23.6,53.2,1006.8,False,39.2,246,2.8
1544.815,23.6,53.5,1006.8,False,38.6,288,1.3
1604.824,23.5,54.3,1006.8,False,37.6,267,3.1
1664.832,23.4,54.3,1006.8,False,37.6,267,3.1
1724.833,23.5,54.3,1006.8,False,37.6,267,3.1
1784.85,23.7,53.4,1006.7,False,38.9,295,1.3
1844.864,23.7,53.4,1006.7,False,38.9,295,1.3
1904.865,24.3,53.4,1006.7,False,38.9,295,1.3
1964.882,23.9,53.4,1006.7,False,38.9,295,1.3
2024.902,24.0,52.5,1006.8,False,39.3,248,1.3
2084.914,23.8,51.4,1006.8,False,38.9,209,2.4
2144.92,23.9,51.4,1006.8,False,38.9,209,2.4
2204.934,23.8,53.9,1006.7,False,40.7,223,1.3
2264.933,24.0,54.4,1006.7,False,40.6,230,2.2
2324.949,23.9,52.8,1006.7,False,40.6,241,2.7
2384.949,24.3,52.8,1006.7,False,40.6,241,2.7
2444.998,24.0,52.8,1006.7,False,40.6,241,2.7
2504.969,24.6,52.8,1006.7,False,40.6,241,2.7
2564.971,24.6,51.0,1006.8,False,41.5,244,0.9
2624.983,24.4,51.0,1006.8,False,41.5,244,0.9
2685.001,24.4,49.7,1006.7,False,41.5,167,0.7
2745.017,24.1,49.7,1006.7,False,41.5,167,0.7
2805.033,24.5,49.9,1006.7,False,41.2,12,1.1
2865.078,24.5,50.2,1006.5,False,42.1,323,1.5
2925.056,24.8,50.8,1006.5,False,41.9,205,3.3
2985.066,24.9,49.0,1006.6,False,40.4,286,1.0
3045.067,24.4,50.3,1006.6,False,39.4,206,1.6
3105.069,24.4,49.5,1006.6,False,39.3,171,1.2
3165.059,24.3,49.5,1006.6,False,39.3,171,1.2
3225.069,24.3,51.2,1006.6,False,41.1,167,1.6
3285.069,24.3,51.2,1006.6,False,41.1,167,1.6
3345.076,24.5,52.3,1006.6,False,40.6,185,1.3
3405.093,24.4,52.3,1006.6,False,40.6,185,1.3
3465.086,24.6,50.7,1006.5,False,42.2,273,1.4
