mode,round,unit,delta_candidate_minus_baseline,series,mae
Qualifying,7,positions,0.0,baseline,1.7272727272727273
Qualifying,8,positions,0.09090909090909094,baseline,0.9090909090909091
Qualifying,9,positions,-0.09090909090909105,baseline,1.4545454545454546
Race survival,7,positions,0.1818181818181821,baseline,3.090909090909091
Race survival,8,positions,1.909090909090909,baseline,1.8181818181818181
Race survival,9,positions,0.0,baseline,4.363636363636363
Best lap,7,seconds,0.005337913805059269,baseline,0.3930499059816684
Best lap,8,seconds,-0.0025276191255559632,baseline,0.221588683372802
Best lap,9,seconds,0.01680685897704076,baseline,0.49949999999999634
Qualifying,7,positions,0.0,candidate,1.7272727272727273
Qualifying,8,positions,0.09090909090909094,candidate,1.0
Qualifying,9,positions,-0.09090909090909105,candidate,1.3636363636363635
Race survival,7,positions,0.1818181818181821,candidate,3.272727272727273
Race survival,8,positions,1.909090909090909,candidate,3.727272727272727
Race survival,9,positions,0.0,candidate,4.363636363636363
Best lap,7,seconds,0.005337913805059269,candidate,0.39838781978672766
Best lap,8,seconds,-0.0025276191255559632,candidate,0.21906106424724603
Best lap,9,seconds,0.01680685897704076,candidate,0.5163068589770371
