artifact,path,schema_version,sha256,artifact_sha256_valid,schema_version_valid,implementation_manifest_direct_entries,input_manifest_direct_entries,implementation_manifest_files,input_manifest_files,transitive_file_count,nested_json_count,aggregate_manifest_digest_count,implementation_manifest_valid,input_manifest_valid,aggregate_manifest_digests_valid,provenance_closure_status
best_lap,artifacts/backtests/f1/best_estimated_lap/same_season_event_gated_v18_tcn_matrix_bound_20260714.json,f1_best_estimated_lap_shared_latent_v11,dcc0a2bc5d89aa1a89400598eb38f7dfca5334712b839f4fd46442d1c2029133,True,True,19,642,21,764,778,28,10,True,True,True,pass
live_next_lap,artifacts/backtests/f1/live_next_lap/2026_walk_forward_ssm_naive_emitted_forecast_v7_20260714.json,f1_live_next_lap_walk_forward_emitted_forecast_v3,13de7a53e2b5eda07a92acb2bb8dea5fbcff435565676796b052fa8831c84c53,True,True,30,9,30,9,39,0,0,True,True,True,pass
live_strategy_replay,artifacts/backtests/f1/live_strategy/live_strategy_replay_audit_v2_20260714.json,f1_live_strategy_replay_audit_v1,004a5028eedd335247548db7fe18187c24165eeed2f521704a2524d0845d044e,True,True,19,18,19,21,40,0,4,True,True,True,pass
qualifying,artifacts/backtests/f1/qualifying/shared_latent_same_season_v2_20260713.json,f1_shared_qualifying_latent_event_block_v6,9a14686c8d1dcf44489d8af64955e4bd06e154bb5164ecedb79fec5faeae70da,True,True,8,50,8,189,197,9,0,True,True,True,pass
qualifying_probability,artifacts/backtests/f1/qualifying/shared_latent_same_season_probability_audit_v4_20260714.json,f1_qualifying_probability_temperature_sinkhorn_audit_v3,082387f0afe451c1a5d1b9c0634e0545330e886ee8f0161aebb3bf8428c27a20,True,True,3,1,11,190,201,10,1,True,True,True,pass
race_certified,artifacts/backtests/f1/race_final_position/certified_grid_prior_state_ablation_v1_20260714.json,f1_race_certified_grid_prior_ablation_v1,b85f0312eead971e8f1ea3669247d89091d556352ba21eca0b057f1ef2500dbd,True,True,3,36,3,207,210,18,4,True,True,True,pass
race_main,artifacts/backtests/f1/race_final_position/survival_order_same_season_v8_selector_safe_20260713.json,f1_race_survival_order_event_block_v8,92c0179d7312367ecda253c0a8b6427721267efe572b3051a9cfc9ed25d69639,True,True,11,198,11,198,209,18,4,True,True,True,pass
same_season_residual,artifacts/backtests/f1/research/same_season_latent_residual_frozen_audit_v2_20260713.json,f1_same_season_latent_residual_research_v3,757c57d15facd1a789437db783899717da2b81707a41a3d250e9392c5d18b479,True,True,4,50,4,189,193,9,2,True,True,True,pass
telemetry_sequence,artifacts/backtests/f1/telemetry/prequal_telemetry_residual_sequence_v6_repository_bound_2026.json,f1_prequal_telemetry_residual_research_v4,1743e0a5a492f05ec0507092b192332e33f22102a585af45a1a051472c87e4f8,True,True,5,1,5,749,754,19,3,True,True,True,pass
telemetry_tcn,artifacts/backtests/f1/telemetry/prequal_telemetry_true_tcn_research_v2_2026.json,f1_prequal_telemetry_true_tcn_research_v2,9c98244bd4c854b86850bda00a8dfd2454a845a2cbf83b1944c21e3bff09f999,True,True,6,1,6,750,756,20,3,True,True,True,pass
telemetry_tcn_matrix,artifacts/backtests/f1/telemetry/prequal_telemetry_tcn_sensitivity_matrix_v1_2026.json,f1_prequal_telemetry_tcn_sensitivity_matrix_v1,d148d512376bc7c14479ff48f07c73181fe7cf033b5a2eea8936d0067ef35197,True,True,3,1,7,757,763,27,10,True,True,True,pass
