candidate,period,role,events,matched_rows,baseline_mae_seconds,candidate_mae_seconds,relative_reduction_percent,delta_seconds,block3_ci95_low,block3_ci95_high,events_improved
expert_mean_2,2023,candidate selection only,22,20007,0.5661628581239757,0.5869656663419462,-3.674350572360452,0.020802808217970554,0.004698733948535692,0.03860473925932569,9
expert_median_2,2023,candidate selection only,22,20007,0.5661628581239757,0.5869656663419462,-3.674350572360452,0.020802808217970554,0.004698733948535692,0.03860473925932569,9
expert_trend_2,2023,candidate selection only,22,20007,0.5661628581239757,0.7265920262218183,-28.336222660284882,0.16042916809784266,0.15069472379092627,0.1712133739641492,0
expert_mean_3,2023,candidate selection only,22,20007,0.5661628581239757,0.61549152162176,-8.712804591463064,0.04932866349778437,0.02334144014222258,0.07716753142759619,6
expert_median_3,2023,candidate selection only,22,20007,0.5661628581239757,0.600961613657394,-6.146421481749376,0.034798755533418387,0.011483503450540895,0.06136528638481938,9
expert_trend_3,2023,candidate selection only,22,20007,0.5661628581239757,0.690656766772477,-21.98906319305747,0.12449390864850128,0.11260760973893205,0.13726590650357723,0
expert_mean_5,2023,candidate selection only,22,20007,0.5661628581239757,0.6601181103890856,-16.595092898965124,0.09395525226510987,0.05316121490323938,0.1353640419354039,2
expert_median_5,2023,candidate selection only,22,20007,0.5661628581239757,0.6284432839158351,-11.000443582298992,0.06228042579185955,0.02780594363168375,0.10261435548525491,4
expert_trend_5,2023,candidate selection only,22,20007,0.5661628581239757,0.6811457198812784,-20.309149586093866,0.11498286175730271,0.09687397355842724,0.13507722701438785,0
expert_mean_8,2023,candidate selection only,22,20007,0.5661628581239757,0.7066099354628431,-24.80683346206243,0.14044707733886733,0.0845706780507135,0.19554571085313116,2
expert_median_8,2023,candidate selection only,22,20007,0.5661628581239757,0.6556948942530909,-15.813830745765722,0.08953203612911531,0.04593196025621378,0.1415873694732959,4
expert_trend_8,2023,candidate selection only,22,20007,0.5661628581239757,0.693028412979798,-22.407961425834454,0.12686555485582235,0.09882465729774105,0.15624118584509394,0
expert_reset_ewma_0.25,2023,candidate selection only,22,20007,0.5661628581239757,0.6236768060506599,-10.15855192572348,0.057513947926684184,0.04071517468623255,0.0723298743958047,2
expert_reset_ewma_0.5,2023,candidate selection only,22,20007,0.5661628581239757,0.5708067724073255,-0.820243542421295,0.004643914283349812,-0.003493007921584098,0.012136769284403218,12
expert_reset_ewma_0.75,2023,candidate selection only,22,20007,0.5661628581239757,0.558587633044829,1.3379940012751557,-0.0075752250791466655,-0.010935432194962205,-0.00437226888926173,18
online_expert_eta0.1,2023,candidate selection only,22,20007,0.5661628581239757,0.5685969036411922,-0.4299196745759515,0.002434045517216493,-0.01124149150988869,0.017022927081599894,14
online_expert_eta0.5,2023,candidate selection only,22,20007,0.5661628581239757,0.5665934574373032,-0.07605573328393067,0.0004305993133274536,-0.011524044656653833,0.012893034307148233,14
online_expert_eta1.0,2023,candidate selection only,22,20007,0.5661628581239757,0.5675338802806108,-0.2421603849426024,0.001371022156635121,-0.010057558518244672,0.013081365932742894,11
hgb_l7_i150,2023,candidate selection only,22,20007,0.5661628581239757,0.5148555001964857,9.062296685709981,-0.05130735792748991,-0.05958183361641255,-0.04283714209846139,22
hgb_l7_i150_half,2023,candidate selection only,22,20007,0.5661628581239757,0.5308382085038883,6.239308904356311,-0.03532464962008731,-0.03927734739868447,-0.031197696743405202,22
hgb_l7_i300,2023,candidate selection only,22,20007,0.5661628581239757,0.5136959349665959,9.267107936262898,-0.05246692315737977,-0.06257176376668128,-0.04218104221378743,21
hgb_l7_i300_half,2023,candidate selection only,22,20007,0.5661628581239757,0.5283081769780523,6.686182359499493,-0.03785468114592338,-0.042844004847580525,-0.03270038139479064,22
hgb_l15_i150,2023,candidate selection only,22,20007,0.5661628581239757,0.512080723333514,9.552398928051742,-0.054082134790461846,-0.06380807163884698,-0.04470701135458959,22
hgb_l15_i150_half,2023,candidate selection only,22,20007,0.5661628581239757,0.5277745364280466,6.780438021514124,-0.03838832169592911,-0.042868964502316795,-0.03398513795158845,22
hgb_l15_i300,2023,candidate selection only,22,20007,0.5661628581239757,0.5124252565491755,9.491544845040512,-0.0537376015748003,-0.06483888834512852,-0.04280409806549141,21
hgb_l15_i300_half,2023,candidate selection only,22,20007,0.5661628581239757,0.5265602234417335,6.994919238162078,-0.03960263468224219,-0.0448349512621654,-0.034430641405528185,22
hgb_l31_i150,2023,candidate selection only,22,20007,0.5661628581239757,0.5122261244173918,9.526717080189162,-0.05393673370658394,-0.06493133788400954,-0.042835734708427345,21
hgb_l31_i150_half,2023,candidate selection only,22,20007,0.5661628581239757,0.5270977046988915,6.899985201171555,-0.03906515342508421,-0.04429701767534735,-0.0337964093360507,22
hgb_l31_i300,2023,candidate selection only,22,20007,0.5661628581239757,0.5132345855326089,9.348594990273417,-0.052928272591366815,-0.06448489788517422,-0.04079326990810903,21
hgb_l31_i300_half,2023,candidate selection only,22,20007,0.5661628581239757,0.5264230866660227,7.01914138091535,-0.03973977145795313,-0.04536181089213931,-0.03392854129833167,22
extra_trees_leaf32,2023,candidate selection only,22,20007,0.5661628581239757,0.5289774933153598,6.567962605641863,-0.03718536480861594,-0.04548937014955948,-0.026866228838021502,21
extra_trees_leaf32_half,2023,candidate selection only,22,20007,0.5661628581239757,0.537482015620987,5.065829043965353,-0.028680842502988788,-0.03234367069818552,-0.024211892627650677,21
extra_trees_leaf128,2023,candidate selection only,22,20007,0.5661628581239757,0.5322430315318751,5.99117835184324,-0.033919826592100605,-0.039287162077938254,-0.027875726068549087,22
extra_trees_leaf128_half,2023,candidate selection only,22,20007,0.5661628581239757,0.5415743378704863,4.343011891483917,-0.024588520253489374,-0.02686830592888643,-0.022101853992703153,22
neural_residual,2023,candidate selection only,22,20007,0.5661628581239757,0.521007308105204,7.975717476133648,-0.045155550018771654,-0.059044329033482786,-0.030823766445658828,21
neural_residual_half,2023,candidate selection only,22,20007,0.5661628581239757,0.5245111750018949,7.3568377940045115,-0.041651683122080785,-0.04851615721602473,-0.03466861464829446,21
expert_reset_ewma_0.75,2024,fixed family comparator,24,22171,0.5425642021317348,0.536793143270664,1.063663772581458,-0.005771058861070916,-0.011367033302638534,0.00028983266659605723,19
online_expert_eta0.5,2024,fixed family comparator,24,22171,0.5425642021317348,0.5327139028781336,1.8155085084676448,-0.009850299253601263,-0.019320734931294416,0.001255968061407399,17
hgb_l15_i150,2024,fixed preferred model,24,22171,0.5425642021317348,0.4840928704958151,10.776850261441107,-0.05847133163591969,-0.07052068044724745,-0.04725293314004072,24
extra_trees_leaf32,2024,fixed family comparator,24,22171,0.5425642021317348,0.49269666123264977,9.191085719101167,-0.04986754089908509,-0.059486237852147496,-0.040145845272756005,23
neural_residual,2024,fixed family comparator,24,22171,0.5425642021317348,0.4961836745068908,8.548394354551025,-0.046380527624843994,-0.05723511466511544,-0.03493544993374264,22
previous_ridge,2024,fixed family comparator,24,22171,0.5425642021317348,0.5285735800343064,2.5786113500410157,-0.013990622097428428,-0.02144108375010847,-0.007016334700425411,19
expert_reset_ewma_0.75,2025,fixed family comparator,24,21663,0.4784284250950013,0.4743842615504746,0.8453016861871498,-0.00404416354452664,-0.010144773433643521,0.002952069091834978,20
online_expert_eta0.5,2025,fixed family comparator,24,21663,0.4784284250950013,0.4727339553429741,1.190244862833234,-0.005694469752027166,-0.017076660313117418,0.007221228297768256,19
hgb_l15_i150,2025,fixed preferred model,24,21663,0.4784284250950013,0.4340856839886926,9.268416920985311,-0.04434274110630865,-0.05636407736505966,-0.029367879170558327,22
extra_trees_leaf32,2025,fixed family comparator,24,21663,0.4784284250950013,0.4365113116088439,8.761417860536602,-0.041917113486157405,-0.05308560856597978,-0.03236562377113215,23
neural_residual,2025,fixed family comparator,24,21663,0.4784284250950013,0.4361476151528217,8.83743685040953,-0.042280809942179594,-0.052968340256867384,-0.031143121142859033,21
previous_ridge,2025,fixed family comparator,24,21663,0.4784284250950013,0.4645859434500255,2.893323414516402,-0.013842481644975696,-0.02417423389622922,-0.004462662833456448,20
expert_reset_ewma_0.75,2024_2025,fixed family comparator,48,43834,0.5104963136133681,0.5055887024105693,0.9613411638689451,-0.004907611202798778,-0.009104211250723637,-0.00021199105293248765,39
online_expert_eta0.5,2024_2025,fixed family comparator,48,43834,0.5104963136133681,0.5027239291105539,1.522515304332006,-0.007772384502814214,-0.015372441609208962,0.0008244193358086351,36
hgb_l15_i150,2024_2025,fixed preferred model,48,43834,0.5104963136133681,0.4590892772422539,10.070011281227021,-0.05140703637111416,-0.060812440449603065,-0.04124327615380216,46
extra_trees_leaf32,2024_2025,fixed family comparator,48,43834,0.5104963136133681,0.4646039864207468,8.989747030255458,-0.04589232719262124,-0.05341318150825996,-0.03854954811653532,46
neural_residual,2024_2025,fixed family comparator,48,43834,0.5104963136133681,0.4661656448298562,8.68383719947612,-0.0443306687835118,-0.05238241143686369,-0.036156143862347646,43
previous_ridge,2024_2025,fixed family comparator,48,43834,0.5104963136133681,0.49657976174216606,2.7260827355830686,-0.013916551871202063,-0.020638317754059745,-0.00777406454307854,39
expert_reset_ewma_0.75,2026,fixed family comparator,13,11923,0.5318265948398261,0.5170924611939278,2.7704770293286773,-0.014734133645898186,-0.018720616031564587,-0.010197210807437001,13
online_expert_eta0.5,2026,fixed family comparator,13,11923,0.5318265948398261,0.5086755793480852,4.353113536699582,-0.023151015491740742,-0.03424181300892586,-0.011562784441930573,12
hgb_l15_i150,2026,fixed preferred model,13,11923,0.5318265948398261,0.47554158184247963,10.583339295827843,-0.056285012997346305,-0.06994767462661593,-0.043382627371712376,13
extra_trees_leaf32,2026,fixed family comparator,13,11923,0.5318265948398261,0.47605215809906765,10.487335022716648,-0.05577443674075837,-0.06691787645642584,-0.046004248865822404,13
neural_residual,2026,fixed family comparator,13,11923,0.5318265948398261,0.47953687945233325,9.832098637948194,-0.05228971538749275,-0.06535323757752344,-0.03989448862632064,12
previous_ridge,2026,fixed family comparator,13,11923,0.5318265948398261,0.5258637673799071,1.1211976831874693,-0.005962827459918855,-0.01667501613315352,0.0038920270522379433,9
expert_reset_ewma_0.75,2026_R1_R9,fixed family comparator,9,8144,0.5491839143927713,0.5356545923190495,2.463532109945532,-0.013529322073721619,-0.0174741840414328,-0.008011982671254803,9
online_expert_eta0.5,2026_R1_R9,fixed family comparator,9,8144,0.5491839143927713,0.5259360976977605,4.233156887108702,-0.023247816695010706,-0.03337919770058231,-0.011842813319947465,8
hgb_l15_i150,2026_R1_R9,fixed preferred model,9,8144,0.5491839143927713,0.49173810572204146,10.460213266487827,-0.05744580867072978,-0.0751586589857241,-0.04013956977859957,9
extra_trees_leaf32,2026_R1_R9,fixed family comparator,9,8144,0.5491839143927713,0.49224214615040496,10.368433369962482,-0.056941768242366325,-0.07172858104055735,-0.043810361449088286,9
neural_residual,2026_R1_R9,fixed family comparator,9,8144,0.5491839143927713,0.4971845799227936,9.468473694731749,-0.0519993344699777,-0.0700651799605511,-0.03322505643171228,8
previous_ridge,2026_R1_R9,fixed family comparator,9,8144,0.5491839143927713,0.5410813429012742,1.475383979601086,-0.008102571491497006,-0.022276036465267355,0.005612939870218307,6
expert_reset_ewma_0.75,2026_recent,fixed family comparator,4,3779,0.49277262584569914,0.47532766616240374,3.540164117955269,-0.017444959683295458,-0.020909908432529517,-0.013980010934061399,4
online_expert_eta0.5,2026_recent,fixed family comparator,4,3779,0.49277262584569914,0.4698394130613158,4.653913708178337,-0.02293321278438333,-0.03467932887979808,-0.011187096688968584,4
hgb_l15_i150,2026_recent,fixed preferred model,4,3779,0.49277262584569914,0.4390994031134657,10.892086921451693,-0.0536732227322335,-0.07037768549427491,-0.0369687599701921,4
extra_trees_leaf32,2026_recent,fixed family comparator,4,3779,0.49277262584569914,0.4396246849835587,10.785489711594188,-0.05314794086214049,-0.06737368164987122,-0.03892220007440976,4
neural_residual,2026_recent,fixed family comparator,4,3779,0.49277262584569914,0.43982955339379753,10.743915078691801,-0.05294307245190162,-0.06834742646522916,-0.03753871843857408,4
previous_ridge,2026_recent,fixed family comparator,4,3779,0.49277262584569914,0.49162422245683113,0.23304934743424432,-0.0011484033888680134,-0.00947959974449003,0.007182792966754004,3
published_nine_features_only,2024_2025,post-discovery attribution; no reselection,48,43834,0.5104963136133681,0.46827336526936675,8.270960478664602,-0.042222948344001275,-0.0497655378395787,-0.03517765949799818,48
published_nine_features_only,2026,post-discovery attribution; no reselection,13,11923,0.5318265948398261,0.4772230627006803,10.267168409581151,-0.0546035321391457,-0.06607454462813583,-0.045783067000198144,13
without_sector_or_speed_features,2024_2025,post-discovery attribution; no reselection,48,43834,0.5104963136133681,0.4568398224017935,10.51065204208549,-0.05365649121157456,-0.06243952551925788,-0.04558875894020287,48
without_sector_or_speed_features,2026,post-discovery attribution; no reselection,13,11923,0.5318265948398261,0.4772297180185244,10.265917002090696,-0.054596876821301654,-0.06536248455056193,-0.0438365494599164,13
without_rich_peer_features,2024_2025,post-discovery attribution; no reselection,48,43834,0.5104963136133681,0.4664278621897265,8.632472017617253,-0.044068451423641596,-0.052861887729446805,-0.03440632768436205,44
without_rich_peer_features,2026,post-discovery attribution; no reselection,13,11923,0.5318265948398261,0.470388327241876,11.552312011860533,-0.06143826759794995,-0.07258842841652975,-0.051717233136365066,13
